split,year,conditioning_state,conditioning_key,seed_episode_count,big_winner_label_denominator,big_winner_count_close_anchor,big_winner_rate_close_anchor,big_winner_rate_close_anchor_lower,big_winner_rate_close_anchor_upper,path_label_denominator,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,censored_or_invalid_count,failed_before_condition_count,sample_sufficiency_status,no_fresh_episode_count,fresh_episode_count,failed_before_first_primary_fresh_count
train,all,seed_base,seed_base,5139,4134,628,0.15191098209966133,0.142909405788326,0.16127232276461825,4270,1460,2688,122,0.34192037470725994,0.6295081967213115,0.02857142857142857,0.33006159958405124,0.3539373330964806,0.6172895764771988,0.6415972237233618,869,0,sufficient,2288,2851,2227
validation,all,seed_base,seed_base,2891,2199,122,0.05547976352887676,0.04787812623889225,0.06394472764081863,2216,729,1406,81,0.328971119133574,0.6344765342960289,0.03655234657039711,0.3127253792400778,0.3455465394787243,0.6175266028924316,0.6511672439242693,675,0,sufficient,1216,1675,1194
robustness,all,seed_base,seed_base,2973,2092,200,0.09560229445506692,0.08544027948779215,0.10658993635044671,2123,879,1183,61,0.41403674046161093,0.557230334432407,0.0287329251059821,0.39654719494526214,0.43169924688999145,0.5394484014896082,0.574897117948407,850,0,sufficient,1156,1817,1079
all,all,seed_base,seed_base,11003,8425,950,0.11275964391691394,0.10718981827480831,0.11852588609850855,8609,3068,5277,264,0.35637123940062726,0.6129631780694622,0.03066558252991056,0.3479175149643784,0.36489625994105107,0.6043014018512715,0.6215688802926547,2394,0,sufficient,4660,6343,4500
