split,offset,fresh_family_id,kth_fresh_step_index,at_risk_episode_count,fresh_event_count,fresh_hazard_rate,failed_before_offset_count,censored_before_offset_count
train,3,momentum_rps,1,2908,651,0.22386519944979366,573,2
train,3,oscillator,1,3121,311,0.09964754886254405,852,4
train,3,price_trend,1,2670,346,0.1295880149812734,509,0
train,3,pullback_drawdown,1,2778,955,0.343772498200144,567,1
train,3,range_breakout,1,935,292,0.3122994652406417,325,0
train,3,volatility_band,1,2984,340,0.11394101876675604,746,3
train,3,volume_money,1,2324,177,0.0761617900172117,734,5
train,4,momentum_rps,1,2779,87,0.03130622526088521,702,2
train,4,momentum_rps,2,2779,74,0.026628283555235697,702,2
train,4,oscillator,1,2963,78,0.02632467094161323,1010,4
train,4,oscillator,2,2963,75,0.02531218359770503,1010,4
train,4,price_trend,1,2559,58,0.022665103556076593,620,0
train,4,price_trend,2,2559,48,0.01875732708089097,620,0
train,4,pullback_drawdown,1,2667,110,0.0412448443944507,678,1
train,4,pullback_drawdown,2,2667,32,0.011998500187476566,678,1
train,4,range_breakout,1,880,83,0.09431818181818181,380,0
train,4,range_breakout,2,880,60,0.06818181818181818,380,0
train,4,volatility_band,1,2839,102,0.03592814371257485,891,3
train,4,volatility_band,2,2839,94,0.03311025008805918,891,3
train,4,volume_money,1,2190,89,0.040639269406392696,868,5
train,4,volume_money,2,2190,42,0.019178082191780823,868,5
train,5,momentum_rps,1,2630,13,0.00494296577946768,851,2
train,5,momentum_rps,2,2630,28,0.01064638783269962,851,2
train,5,momentum_rps,3,2630,5,0.0019011406844106464,851,2
train,5,oscillator,1,2795,44,0.015742397137745976,1178,4
train,5,oscillator,2,2795,49,0.017531305903398926,1178,4
train,5,oscillator,3,2795,8,0.0028622540250447226,1178,4
train,5,price_trend,1,2432,33,0.013569078947368422,747,0
train,5,price_trend,2,2432,48,0.019736842105263157,747,0
train,5,price_trend,3,2432,7,0.0028782894736842104,747,0
train,5,pullback_drawdown,1,2536,29,0.011435331230283912,809,1
train,5,pullback_drawdown,2,2536,24,0.00946372239747634,809,1
train,5,range_breakout,1,826,36,0.043583535108958835,434,0
