split,year,conditioning_state,conditioning_key,seed_episode_count,big_winner_label_denominator,big_winner_count_close_anchor,big_winner_rate_close_anchor,big_winner_rate_close_anchor_lower,big_winner_rate_close_anchor_upper,path_label_denominator,good_count,bad_count,neutral_count,P_good,P_bad,P_neutral,P_good_lower,P_good_upper,P_bad_lower,P_bad_upper,censored_or_invalid_count,failed_before_condition_count,sample_sufficiency_status
train,all,checkpoint=T+10|fresh_distinct_family_count_bucket=0,T+10|0,784,656,69,0.10518292682926829,0.0867658747150018,0.12616672241734547,680,273,361,46,0.40147058823529413,0.5308823529411765,0.06764705882352941,0.3709005651881921,0.43265876949863463,0.49934979647050654,0.5622211571290168,104,0,sufficient
train,all,checkpoint=T+10|fresh_distinct_family_count_bucket=1,T+10|1,544,442,60,0.13574660633484162,0.11072458584188691,0.16427995344214708,458,235,190,33,0.5131004366812227,0.4148471615720524,0.07205240174672489,0.47470070328430086,0.5513782484514307,0.3774504782970392,0.4530363296024191,86,0,sufficient
train,all,checkpoint=T+10|fresh_distinct_family_count_bucket=2,T+10|2,413,337,44,0.13056379821958458,0.10273488470853621,0.16305896401532902,346,207,121,18,0.5982658959537572,0.34971098265895956,0.05202312138728324,0.5544226318398506,0.6408996773323147,0.30857278493813467,0.3926989410607865,67,0,sufficient
train,all,checkpoint=T+10|fresh_distinct_family_count_bucket=3plus,T+10|3plus,1118,933,215,0.2304394426580922,0.20839627178597808,0.2537157577300295,960,745,190,25,0.7760416666666666,0.19791666666666666,0.026041666666666668,0.7533122089018207,0.7975438039420897,0.17745041385308372,0.2197260029522881,158,0,sufficient
train,all,checkpoint=T+20|fresh_distinct_family_count_bucket=0,T+20|0,258,216,32,0.14814814814814814,0.11192452287867366,0.19129037564499657,223,113,95,15,0.5067264573991032,0.4260089686098655,0.06726457399103139,0.4518213567778565,0.5615033546396841,0.37246914213643184,0.48095901606715263,35,0,sufficient
train,all,checkpoint=T+20|fresh_distinct_family_count_bucket=1,T+20|1,278,232,32,0.13793103448275862,0.10406440495745127,0.1784286402834412,239,140,76,23,0.5857740585774058,0.3179916317991632,0.09623430962343096,0.5328002464363929,0.63722195074164,0.2702367457224802,0.3689842543454203,39,0,sufficient
train,all,checkpoint=T+20|fresh_distinct_family_count_bucket=2,T+20|2,324,257,30,0.11673151750972763,0.08697822354090658,0.15282396197367618,263,164,79,20,0.623574144486692,0.30038022813688214,0.07604562737642585,0.5736011649118066,0.6715484329459835,0.2556441334917299,0.3483448013604332,61,0,sufficient
train,all,checkpoint=T+20|fresh_distinct_family_count_bucket=3plus,T+20|3plus,1298,1084,243,0.22416974169741696,0.20389170238492052,0.2455340421693602,1115,928,162,25,0.8322869955156951,0.1452914798206278,0.02242152466367713,0.8132554508986125,0.8500463305087632,0.12861788990219064,0.16332309232948153,183,0,sufficient
train,all,checkpoint=T+3|fresh_distinct_family_count_bucket=0,T+3|0,2530,2088,261,0.125,0.11348022636324624,0.1372868728428823,2167,765,1317,85,0.35302261190586065,0.6077526534379326,0.03922473465620674,0.3362876488561237,0.3700472962419875,0.5904015506055931,0.6248913541188617,363,0,sufficient
train,all,checkpoint=T+3|fresh_distinct_family_count_bucket=1,T+3|1,706,564,97,0.17198581560283688,0.14711349360745354,0.1993380066618184,580,256,300,24,0.4413793103448276,0.5172413793103449,0.041379310344827586,0.407734590616642,0.4754550827779693,0.4831032707804506,0.5512527073119486,126,0,sufficient
