anchor_family_id,anchor_window_measure,train_observation_count,raw_quantile_low,raw_quantile_high,train_median_anchor_window_days,frozen_window_low,frozen_window_high,window_derivation_status,window_hash
pullback_hold_restrengthen,"trading_days_between(winner_start_anchor, first_observable_pullback_low_date)",204,3.3000000000000007,46.0,12,3,46,derived,10b19f447d05727026db11269ca532b91b9e72f14239a37cb90e6aba5bc63e5b
second_breakout,"trading_days_between(winner_start_anchor, second_breakout_signal_date)",273,3.0,42.80000000000001,8,3,43,derived,6fb0829b124d70b61903a5ddcf423684277b43eed4d0f46b059ad4a140cc72c9
