anchor_family_id,lead_status,ep3_p1_decision_status,passed_gate_count,failed_gate_count,go_no_go
pullback_hold_restrengthen,validation_failed,failed_trigger_budget,7,8,no-go
second_breakout,validation_failed,failed_trigger_budget,9,6,no-go
