split,anchor_family_id,baseline_id,unique_instrument_year_count,instrument_year_positive_rate
train,pullback_hold_restrengthen,anchor,149,0.48322147651006714
train,pullback_hold_restrengthen,all_launch_direct_baseline,594,0.33164983164983164
train,pullback_hold_restrengthen,matched_delay_baseline,148,0.39864864864864863
train,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,123,0.5447154471544715
train,pullback_hold_restrengthen,industry_matched_baseline,108,0.4351851851851852
train,pullback_hold_restrengthen,failed_lookalike_baseline,404,0.3910891089108911
train,second_breakout,anchor,158,0.4240506329113924
train,second_breakout,all_launch_direct_baseline,594,0.33164983164983164
train,second_breakout,matched_delay_baseline,155,0.44516129032258067
train,second_breakout,same_instrument_nonanchor_baseline,120,0.4583333333333333
train,second_breakout,industry_matched_baseline,111,0.40540540540540543
train,second_breakout,failed_lookalike_baseline,343,0.42565597667638483
validation,pullback_hold_restrengthen,anchor,70,0.21428571428571427
validation,pullback_hold_restrengthen,all_launch_direct_baseline,314,0.25477707006369427
validation,pullback_hold_restrengthen,matched_delay_baseline,66,0.3484848484848485
validation,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,62,0.25806451612903225
validation,pullback_hold_restrengthen,industry_matched_baseline,44,0.3181818181818182
validation,pullback_hold_restrengthen,failed_lookalike_baseline,196,0.27040816326530615
validation,second_breakout,anchor,62,0.3548387096774194
validation,second_breakout,all_launch_direct_baseline,314,0.25477707006369427
validation,second_breakout,matched_delay_baseline,61,0.32786885245901637
validation,second_breakout,same_instrument_nonanchor_baseline,43,0.4418604651162791
validation,second_breakout,industry_matched_baseline,37,0.2702702702702703
validation,second_breakout,failed_lookalike_baseline,146,0.2808219178082192
robustness,pullback_hold_restrengthen,anchor,49,0.3877551020408163
robustness,pullback_hold_restrengthen,all_launch_direct_baseline,312,0.3814102564102564
robustness,pullback_hold_restrengthen,matched_delay_baseline,50,0.32
robustness,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,42,0.38095238095238093
robustness,pullback_hold_restrengthen,industry_matched_baseline,32,0.34375
robustness,pullback_hold_restrengthen,failed_lookalike_baseline,184,0.3423913043478261
robustness,second_breakout,anchor,56,0.42857142857142855
robustness,second_breakout,all_launch_direct_baseline,312,0.3814102564102564
robustness,second_breakout,matched_delay_baseline,55,0.34545454545454546
robustness,second_breakout,same_instrument_nonanchor_baseline,44,0.5681818181818182
robustness,second_breakout,industry_matched_baseline,32,0.375
robustness,second_breakout,failed_lookalike_baseline,140,0.42857142857142855
