split,anchor_family_id,baseline_id,top1_instrument_year_pnl_share,top5_instrument_exposure_share
train,pullback_hold_restrengthen,anchor,0.04671270876548824,0.12154696132596685
train,pullback_hold_restrengthen,all_launch_direct_baseline,0.04280662837532318,0.0596475372797108
train,pullback_hold_restrengthen,matched_delay_baseline,0.10513590330084546,0.12222222222222222
train,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,0.06188507556709902,0.14285714285714285
train,pullback_hold_restrengthen,industry_matched_baseline,0.128992645298711,0.152
train,pullback_hold_restrengthen,failed_lookalike_baseline,0.03654569595015848,0.06725663716814159
train,second_breakout,anchor,0.08016826987424333,0.09782608695652174
train,second_breakout,all_launch_direct_baseline,0.04280662837532318,0.0596475372797108
train,second_breakout,matched_delay_baseline,0.09184346856840613,0.09340659340659341
train,second_breakout,same_instrument_nonanchor_baseline,0.08367408298524574,0.10869565217391304
train,second_breakout,industry_matched_baseline,0.08675058862471671,0.1323529411764706
train,second_breakout,failed_lookalike_baseline,0.05009298381443533,0.07317073170731707
validation,pullback_hold_restrengthen,anchor,0.2055002536950017,0.12987012987012986
validation,pullback_hold_restrengthen,all_launch_direct_baseline,0.10752879959561508,0.07970244420828905
validation,pullback_hold_restrengthen,matched_delay_baseline,0.18691648747037634,0.136986301369863
validation,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,0.2980070882708635,0.15151515151515152
validation,pullback_hold_restrengthen,industry_matched_baseline,0.1878217700036612,0.24
validation,pullback_hold_restrengthen,failed_lookalike_baseline,0.10573469989090001,0.06382978723404255
validation,second_breakout,anchor,0.17667182636981177,0.15625
validation,second_breakout,all_launch_direct_baseline,0.10752879959561508,0.07970244420828905
validation,second_breakout,matched_delay_baseline,0.21351043119870677,0.15873015873015872
validation,second_breakout,same_instrument_nonanchor_baseline,0.13884863686567994,0.20454545454545456
validation,second_breakout,industry_matched_baseline,0.3346872790137858,0.2558139534883721
validation,second_breakout,failed_lookalike_baseline,0.13233771999407032,0.08771929824561403
robustness,pullback_hold_restrengthen,anchor,0.1336484732963087,0.19298245614035087
robustness,pullback_hold_restrengthen,all_launch_direct_baseline,0.1027554723891902,0.06018054162487462
robustness,pullback_hold_restrengthen,matched_delay_baseline,0.2758527451255992,0.19298245614035087
robustness,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,0.23108540588814985,0.22916666666666666
robustness,pullback_hold_restrengthen,industry_matched_baseline,0.3154409995984132,0.3333333333333333
robustness,pullback_hold_restrengthen,failed_lookalike_baseline,0.0608811427231696,0.06504065040650407
robustness,second_breakout,anchor,0.11783475455908765,0.15517241379310345
robustness,second_breakout,all_launch_direct_baseline,0.1027554723891902,0.06018054162487462
robustness,second_breakout,matched_delay_baseline,0.2799769482513201,0.14035087719298245
robustness,second_breakout,same_instrument_nonanchor_baseline,0.12011346637331008,0.17777777777777778
robustness,second_breakout,industry_matched_baseline,0.37670870340649304,0.30952380952380953
robustness,second_breakout,failed_lookalike_baseline,0.08605564883790583,0.08771929824561403
