year,provider_rows,pit_universe_rows,instrument_count,missing_close_rows,missing_money_rows
2017,57494,18497,474,2412,2412
2018,117200,33698,490,4378,4378
2019,121804,36651,506,479,479
2020,124880,48165,519,834,834
2021,126999,59241,527,445,445
2022,127823,55241,530,191,191
2023,128283,54481,533,103,103
2024,128241,51916,532,231,231
2025,128452,58503,532,226,226
