year,label_id,eligible_rows,winner_rows,winner_rate,unique_winner_instruments
2017,winner_100h240,17395,473,0.027191721759126184,18
2017,winner_50h120,17395,2182,0.12543834435182524,55
2018,winner_100h240,32564,1507,0.0462780985136961,35
2018,winner_50h120,32564,3140,0.09642550055275764,94
2019,winner_100h240,36175,4620,0.12771250863856254,69
2019,winner_50h120,36175,4388,0.12129923980649619,107
2020,winner_100h240,46387,8767,0.1889969172397439,114
2020,winner_50h120,46387,13613,0.2934658417228965,165
2021,winner_100h240,27056,2507,0.09265966883500887,50
2021,winner_50h120,27056,5222,0.19300709639266705,117
2022,winner_100h240,52399,1304,0.02488597110631882,29
2022,winner_50h120,52399,4225,0.0806313097578198,132
2023,winner_100h240,26830,212,0.007901602683563175,10
2023,winner_50h120,26830,1207,0.04498695490122997,43
2024,winner_100h240,50000,2343,0.04686,47
2024,winner_50h120,50000,5601,0.11202,123
2025,winner_100h240,26484,49,0.0018501736897749584,17
2025,winner_50h120,26484,4008,0.15133665609424557,78
