episode_split,duration_bucket,metric,captured_count,target_episode_count,recall
all,all,captured_by_setup_inclusive_raw_pre_low_20d,515,866,0.5946882217090069
all,all,captured_by_setup_inclusive_canonical_pre_low_20d,515,866,0.5946882217090069
all,all,captured_by_setup_inclusive_density_kept_pre_low_20d,510,866,0.5889145496535797
all,all,captured_by_reclaim_based_raw_pre_low_20d,42,866,0.04849884526558892
all,all,captured_by_reclaim_based_canonical_pre_low_20d,42,866,0.04849884526558892
all,all,captured_by_reclaim_based_density_kept_pre_low_20d,36,866,0.04157043879907621
all,all,captured_by_setup_inclusive_raw_low_to_plus_10d,512,866,0.5912240184757506
all,all,captured_by_setup_inclusive_canonical_low_to_plus_10d,512,866,0.5912240184757506
all,all,captured_by_setup_inclusive_density_kept_low_to_plus_10d,119,866,0.1374133949191686
all,all,captured_by_reclaim_based_raw_low_to_plus_10d,166,866,0.19168591224018475
all,all,captured_by_reclaim_based_canonical_low_to_plus_10d,166,866,0.19168591224018475
all,all,captured_by_reclaim_based_density_kept_low_to_plus_10d,161,866,0.1859122401847575
all,all,captured_by_setup_inclusive_raw_low_to_plus_20d,515,866,0.5946882217090069
all,all,captured_by_setup_inclusive_canonical_low_to_plus_20d,515,866,0.5946882217090069
all,all,captured_by_setup_inclusive_density_kept_low_to_plus_20d,204,866,0.23556581986143188
all,all,captured_by_reclaim_based_raw_low_to_plus_20d,316,866,0.3648960739030023
all,all,captured_by_reclaim_based_canonical_low_to_plus_20d,316,866,0.3648960739030023
all,all,captured_by_reclaim_based_density_kept_low_to_plus_20d,311,866,0.35912240184757505
all,all,captured_by_setup_inclusive_raw_low_to_plus_30d,549,866,0.6339491916859122
all,all,captured_by_setup_inclusive_canonical_low_to_plus_30d,549,866,0.6339491916859122
all,all,captured_by_setup_inclusive_density_kept_low_to_plus_30d,342,866,0.394919168591224
all,all,captured_by_reclaim_based_raw_low_to_plus_30d,410,866,0.47344110854503463
all,all,captured_by_reclaim_based_canonical_low_to_plus_30d,410,866,0.47344110854503463
all,all,captured_by_reclaim_based_density_kept_low_to_plus_30d,405,866,0.4676674364896074
all,all,captured_by_setup_inclusive_raw_low_to_plus_60d,598,866,0.6905311778290993
all,all,captured_by_setup_inclusive_canonical_low_to_plus_60d,598,866,0.6905311778290993
all,all,captured_by_setup_inclusive_density_kept_low_to_plus_60d,456,866,0.5265588914549654
all,all,captured_by_reclaim_based_raw_low_to_plus_60d,539,866,0.6224018475750578
all,all,captured_by_reclaim_based_canonical_low_to_plus_60d,539,866,0.6224018475750578
all,all,captured_by_reclaim_based_density_kept_low_to_plus_60d,534,866,0.6166281755196305
all,all,captured_by_setup_inclusive_raw_low_to_plus_120d,697,866,0.8048498845265589
all,all,captured_by_setup_inclusive_canonical_low_to_plus_120d,697,866,0.8048498845265589
all,all,captured_by_setup_inclusive_density_kept_low_to_plus_120d,618,866,0.7136258660508084
all,all,captured_by_reclaim_based_raw_low_to_plus_120d,644,866,0.74364896073903
all,all,captured_by_reclaim_based_canonical_low_to_plus_120d,644,866,0.74364896073903
all,all,captured_by_reclaim_based_density_kept_low_to_plus_120d,641,866,0.7401847575057737
all,all,captured_by_setup_inclusive_raw_before_first_50pct,617,866,0.7124711316397229
all,all,captured_by_setup_inclusive_canonical_before_first_50pct,617,866,0.7124711316397229
all,all,captured_by_setup_inclusive_density_kept_before_first_50pct,479,866,0.5531177829099307
all,all,captured_by_reclaim_based_raw_before_first_50pct,606,866,0.6997690531177829
all,all,captured_by_reclaim_based_canonical_before_first_50pct,606,866,0.6997690531177829
all,all,captured_by_reclaim_based_density_kept_before_first_50pct,603,866,0.6963048498845266
all,all,captured_by_setup_inclusive_raw_before_episode_high,623,866,0.7193995381062356
all,all,captured_by_setup_inclusive_canonical_before_episode_high,623,866,0.7193995381062356
all,all,captured_by_setup_inclusive_density_kept_before_episode_high,494,866,0.5704387990762124
all,all,captured_by_reclaim_based_raw_before_episode_high,617,866,0.7124711316397229
all,all,captured_by_reclaim_based_canonical_before_episode_high,617,866,0.7124711316397229
all,all,captured_by_reclaim_based_density_kept_before_episode_high,614,866,0.7090069284064665
all,all,captured_by_E0_raw_pre_low_20d,506,866,0.5842956120092379
all,all,captured_by_E0_raw_low_to_plus_10d,507,866,0.5854503464203233
all,all,captured_by_E0_raw_low_to_plus_20d,508,866,0.5866050808314087
all,all,captured_by_E0_raw_low_to_plus_30d,541,866,0.6247113163972287
all,all,captured_by_E0_raw_low_to_plus_60d,593,866,0.684757505773672
all,all,captured_by_E0_raw_low_to_plus_120d,693,866,0.8002309468822171
all,all,captured_by_E0_raw_before_first_50pct,612,866,0.7066974595842956
all,all,captured_by_E0_raw_before_episode_high,618,866,0.7136258660508084
all,all,captured_by_E0,612,866,0.7066974595842956
all,all,captured_by_E1_raw_pre_low_20d,36,866,0.04157043879907621
