event_family,union_family,canonical_event_scope,event_split,year,raw_candidate_count,density_kept_count,density_folded_count,density_loss_capture_count,events_per_instrument_year_mean,events_per_instrument_year_p95
E0_seed_low_setup,raw_family,raw_family,robustness,2024,3615,3615,0,0,13.438661710037175,30.599999999999994
E0_seed_low_setup,raw_family,raw_family,robustness,2025,3371,3371,0,0,10.308868501529052,25.0
E0_seed_low_setup,raw_family,raw_family,robustness,2026,1837,1837,0,0,6.958333333333333,16.0
E0_seed_low_setup,raw_family,raw_family,train,2018,1451,1451,0,0,14.806122448979592,30.14999999999999
E0_seed_low_setup,raw_family,raw_family,train,2019,930,930,0,0,9.489795918367347,28.14999999999999
E0_seed_low_setup,raw_family,raw_family,train,2020,1273,1273,0,0,9.092857142857143,26.099999999999966
E0_seed_low_setup,raw_family,raw_family,train,2021,2496,2496,0,0,11.885714285714286,29.549999999999983
E0_seed_low_setup,raw_family,raw_family,validation,2022,3762,3762,0,0,14.304182509505704,30.899999999999977
E0_seed_low_setup,raw_family,raw_family,validation,2023,5050,5050,0,0,17.719298245614034,39.0
E1_first_ema60_reclaim,raw_family,raw_family,robustness,2024,865,865,0,0,3.056537102473498,6.0
E1_first_ema60_reclaim,raw_family,raw_family,robustness,2025,680,680,0,0,2.207792207792208,4.0
E1_first_ema60_reclaim,raw_family,raw_family,robustness,2026,340,340,0,0,1.7171717171717171,4.0
E1_first_ema60_reclaim,raw_family,raw_family,train,2018,280,280,0,0,2.978723404255319,5.0
E1_first_ema60_reclaim,raw_family,raw_family,train,2019,234,234,0,0,2.3168316831683167,5.0
E1_first_ema60_reclaim,raw_family,raw_family,train,2020,283,283,0,0,2.2283464566929134,5.0
E1_first_ema60_reclaim,raw_family,raw_family,train,2021,553,553,0,0,2.6844660194174756,5.0
E1_first_ema60_reclaim,raw_family,raw_family,validation,2022,766,766,0,0,3.051792828685259,6.0
E1_first_ema60_reclaim,raw_family,raw_family,validation,2023,723,723,0,0,2.835294117647059,6.299999999999983
E2_reclaim_quality_burst,raw_family,raw_family,robustness,2024,496,496,0,0,1.7526501766784452,3.0
E2_reclaim_quality_burst,raw_family,raw_family,robustness,2025,538,538,0,0,1.7467532467532467,3.0
E2_reclaim_quality_burst,raw_family,raw_family,robustness,2026,234,234,0,0,1.1818181818181819,2.0
E2_reclaim_quality_burst,raw_family,raw_family,train,2018,174,174,0,0,1.851063829787234,3.0
E2_reclaim_quality_burst,raw_family,raw_family,train,2019,188,188,0,0,1.8613861386138615,3.0
E2_reclaim_quality_burst,raw_family,raw_family,train,2020,204,204,0,0,1.6062992125984252,3.0
E2_reclaim_quality_burst,raw_family,raw_family,train,2021,378,378,0,0,1.8349514563106797,3.0
E2_reclaim_quality_burst,raw_family,raw_family,validation,2022,486,486,0,0,1.9362549800796813,3.0
E2_reclaim_quality_burst,raw_family,raw_family,validation,2023,439,439,0,0,1.7215686274509805,3.0
E3_early_no_false_repair,raw_family,raw_family,robustness,2024,970,970,0,0,3.4519572953736657,6.0
E3_early_no_false_repair,raw_family,raw_family,robustness,2025,982,982,0,0,3.2733333333333334,6.0
E3_early_no_false_repair,raw_family,raw_family,robustness,2026,462,462,0,0,2.2211538461538463,4.0
E3_early_no_false_repair,raw_family,raw_family,train,2018,299,299,0,0,3.25,6.0
E3_early_no_false_repair,raw_family,raw_family,train,2019,370,370,0,0,3.6633663366336635,6.0
E3_early_no_false_repair,raw_family,raw_family,train,2020,394,394,0,0,3.2295081967213113,6.949999999999989
E3_early_no_false_repair,raw_family,raw_family,train,2021,681,681,0,0,3.405,6.0
E3_early_no_false_repair,raw_family,raw_family,validation,2022,933,933,0,0,3.746987951807229,6.599999999999994
E3_early_no_false_repair,raw_family,raw_family,validation,2023,779,779,0,0,3.1538461538461537,6.0
E4_early_relative_strength_turn,raw_family,raw_family,robustness,2024,435,435,0,0,1.623134328358209,3.0
E4_early_relative_strength_turn,raw_family,raw_family,robustness,2025,457,457,0,0,1.5597269624573378,3.0
E4_early_relative_strength_turn,raw_family,raw_family,robustness,2026,215,215,0,0,1.1497326203208555,2.0
E4_early_relative_strength_turn,raw_family,raw_family,train,2018,162,162,0,0,1.7802197802197801,3.0
E4_early_relative_strength_turn,raw_family,raw_family,train,2019,129,129,0,0,1.5,2.0
E4_early_relative_strength_turn,raw_family,raw_family,train,2020,151,151,0,0,1.3981481481481481,3.0
E4_early_relative_strength_turn,raw_family,raw_family,train,2021,367,367,0,0,1.7902439024390244,3.0
E4_early_relative_strength_turn,raw_family,raw_family,validation,2022,464,464,0,0,1.848605577689243,3.0
E4_early_relative_strength_turn,raw_family,raw_family,validation,2023,398,398,0,0,1.6244897959183673,3.0
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,2024,283,283,0,0,1.4292929292929293,3.0
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,2025,258,258,0,0,1.2112676056338028,2.0
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,2026,126,126,0,0,1.0161290322580645,1.0
E5_strict_rank_persistence_reference,raw_family,raw_family,train,2018,110,110,0,0,1.3924050632911393,3.0
E5_strict_rank_persistence_reference,raw_family,raw_family,train,2019,69,69,0,0,1.1896551724137931,2.0
E5_strict_rank_persistence_reference,raw_family,raw_family,train,2020,87,87,0,0,1.2253521126760563,2.0
E5_strict_rank_persistence_reference,raw_family,raw_family,train,2021,225,225,0,0,1.4240506329113924,2.0
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,2022,353,353,0,0,1.6495327102803738,3.0
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,2023,260,260,0,0,1.306532663316583,2.0999999999999943
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,2024,4238,898,3340,321,14.766550522648084,33.39999999999998
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,2025,4029,1075,2954,302,12.172205438066465,27.0
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,2026,2126,492,1634,0,7.433566433566433,17.0
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,2018,1652,436,1216,112,16.857142857142858,32.14999999999999
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,2019,1164,314,850,70,11.192307692307692,29.0
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,2020,1532,434,1098,117,10.713286713286713,28.700000000000017
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,2021,2914,742,2172,116,13.30593607305936,31.099999999999994
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,2022,4330,1076,3254,268,16.096654275092938,33.0
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,2023,5557,1127,4430,98,19.162068965517243,44.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,2024,898,898,0,0,3.13986013986014,6.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,2025,1075,1075,0,0,3.277439024390244,6.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,2026,492,492,0,0,1.7697841726618706,3.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,2018,436,436,0,0,4.448979591836735,7.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,2019,314,314,0,0,3.019230769230769,6.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,2020,434,434,0,0,3.034965034965035,6.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,2021,742,742,0,0,3.3881278538812785,6.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,2022,1076,1076,0,0,4.0,7.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,2023,1127,1127,0,0,3.8996539792387543,7.599999999999966
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,2024,623,496,127,13,2.193661971830986,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,2025,660,538,122,1,2.142857142857143,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,2026,290,234,56,0,1.4427860696517414,3.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,2018,201,174,27,5,2.1382978723404253,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,2019,234,188,46,7,2.3168316831683167,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,2020,260,204,56,1,2.047244094488189,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,2021,420,378,42,0,2.0388349514563107,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,2022,569,486,83,8,2.266932270916335,4.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,2023,507,439,68,0,1.988235294117647,4.0
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,2024,496,496,0,0,1.7526501766784452,3.0
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,2025,538,538,0,0,1.7467532467532467,3.0
