event_family,union_family,canonical_event_scope,event_split,label_horizon,event_count,label_complete_20d_count,outcome_complete_120d_count,big_winner_120d_positive_count,near_winner_120d_count,negative_count,positive_rate,events_per_instrument_year_mean,events_per_instrument_year_p95,cluster_positive_count,feature_missing_rate_mean,feature_missing_rate_p95,status,event_concurrency_mean,event_concurrency_p95,average_uniqueness_mean,average_uniqueness_p25
E0_seed_low_setup,raw_family,raw_family,robustness,20,8823,8784,6427,1465,1502,4962,0.2279446086821223,10.235287848299853,30.039999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,68.98843640020111,327.5999999999999,0.01560294729081277,0.003234464959963616
E0_seed_low_setup,raw_family,raw_family,robustness,120,8823,8784,6427,1465,1502,4962,0.2279446086821223,10.235287848299853,30.039999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,388.0573852295409,1531.85,0.0025769384582346937,0.0006273144282633738
E0_seed_low_setup,raw_family,raw_family,train,20,6150,6142,6142,699,807,5443,0.11380657766199935,11.318622448979593,30.05999999999999,1,0.0,0.0,ready_for_downstream_model_diagnostic,95.23606889564337,204.69999999999993,0.010620350717011342,0.006333329769621155
E0_seed_low_setup,raw_family,raw_family,train,120,6150,6142,6142,699,807,5443,0.11380657766199935,11.318622448979593,30.05999999999999,1,0.0,0.0,ready_for_downstream_model_diagnostic,683.7000919963201,1204.6000000000004,0.001462629611589086,0.0009892314177153585
E0_seed_low_setup,raw_family,raw_family,validation,20,8812,8812,8812,675,1150,8137,0.07660009078529278,16.011740377559867,38.595,1,0.0,0.0,ready_for_downstream_model_diagnostic,86.97551020408163,332.0,0.012525654582320066,0.0031739915610304024
E0_seed_low_setup,raw_family,raw_family,validation,120,8812,8812,8812,675,1150,8137,0.07660009078529278,16.011740377559867,38.595,1,0.0,0.0,ready_for_downstream_model_diagnostic,679.1414012738853,1969.1,0.001472447413932166,0.0005945006378107688
E1_first_ema60_reclaim,raw_family,raw_family,robustness,20,3509,3502,2780,446,420,2334,0.160431654676259,2.327167009145808,5.8,1,0.0,0.0,ready_for_downstream_model_diagnostic,25.913677130044842,92.0,0.03880136282930195,0.007736681534002013
E1_first_ema60_reclaim,raw_family,raw_family,robustness,120,3509,3502,2780,446,420,2334,0.160431654676259,2.327167009145808,5.8,1,0.0,0.0,ready_for_downstream_model_diagnostic,169.88888888888889,751.0999999999999,0.005886200130804447,0.0015095750317166282
E1_first_ema60_reclaim,raw_family,raw_family,train,20,2440,2440,2440,225,320,2215,0.09221311475409837,2.5520918908835064,5.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,36.87155963302752,109.0,0.028374956125351562,0.01399825321016509
E1_first_ema60_reclaim,raw_family,raw_family,train,120,2440,2440,2440,225,320,2215,0.09221311475409837,2.5520918908835064,5.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,273.11748381128587,522.0,0.0036614279907871555,0.0024676282066231794
E1_first_ema60_reclaim,raw_family,raw_family,validation,20,2997,2997,2997,159,355,2838,0.05305305305305305,2.9435434731661587,6.284999999999984,1,0.0,0.0,ready_for_downstream_model_diagnostic,30.292054402290624,130.0,0.03386946838879802,0.008153596170572933
E1_first_ema60_reclaim,raw_family,raw_family,validation,120,2997,2997,2997,159,355,2838,0.05305305305305305,2.9435434731661587,6.284999999999984,1,0.0,0.0,ready_for_downstream_model_diagnostic,234.5646830530401,707.0,0.004263216384428506,0.0016134937505607669
