episode_split,duration_bucket,target_episode_count,setup_inclusive_recall_pre_low_20d,setup_inclusive_recall_low_to_plus_10d,setup_inclusive_recall_low_to_plus_20d,setup_inclusive_recall_low_to_plus_30d,recall_low_to_plus_30d,setup_inclusive_recall_low_to_plus_60d,setup_inclusive_recall_low_to_plus_120d,setup_inclusive_recall_before_first_50pct,recall_before_first_50pct,setup_inclusive_recall_before_episode_high,reclaim_based_recall_pre_low_20d,reclaim_based_recall_low_to_plus_10d,reclaim_based_recall_low_to_plus_20d,reclaim_based_recall_low_to_plus_30d,reclaim_based_recall_low_to_plus_60d,reclaim_based_recall_low_to_plus_120d,reclaim_based_recall_before_first_50pct,reclaim_based_recall_before_episode_high,late_after_first_50pct_capture_share
all,all,866,0.5889145496535797,0.1374133949191686,0.23556581986143188,0.394919168591224,0.394919168591224,0.5265588914549654,0.7136258660508084,0.5531177829099307,0.5531177829099307,0.5704387990762124,0.04157043879907621,0.1859122401847575,0.35912240184757505,0.4676674364896074,0.6166281755196305,0.7401847575057737,0.6963048498845266,0.7090069284064665,0.008771929824561403
robustness,fast,61,0.7377049180327869,0.19672131147540983,0.29508196721311475,0.4098360655737705,0.4098360655737705,0.5081967213114754,0.9016393442622951,0.3770491803278688,0.3770491803278688,0.39344262295081966,0.03278688524590164,0.4262295081967213,0.6229508196721312,0.7049180327868853,0.7377049180327869,0.8360655737704918,0.6885245901639344,0.7213114754098361,0.08
robustness,long,267,0.5280898876404494,0.12359550561797752,0.20599250936329588,0.33707865168539325,0.33707865168539325,0.5543071161048689,0.6666666666666666,0.6254681647940075,0.6254681647940075,0.6629213483146067,0.052434456928838954,0.15355805243445692,0.27340823970037453,0.3258426966292135,0.5543071161048689,0.7528089887640449,0.7303370786516854,0.7528089887640449,0.0
robustness,medium,84,0.4523809523809524,0.09523809523809523,0.20238095238095238,0.30952380952380953,0.30952380952380953,0.4166666666666667,0.6547619047619048,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.011904761904761904,0.10714285714285714,0.27380952380952384,0.3333333333333333,0.5,0.5714285714285714,0.5119047619047619,0.5119047619047619,0.0
train,fast,18,0.5555555555555556,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.5,0.5,0.7222222222222222,0.4444444444444444,0.5,0.0
train,long,187,0.5454545454545454,0.13903743315508021,0.24064171122994651,0.39572192513368987,0.39572192513368987,0.5347593582887701,0.6363636363636364,0.5989304812834224,0.5989304812834224,0.5989304812834224,0.0481283422459893,0.16042780748663102,0.3422459893048128,0.4385026737967914,0.5828877005347594,0.7112299465240641,0.7112299465240641,0.7112299465240641,0.0
train,medium,80,0.5625,0.1,0.175,0.425,0.425,0.45,0.8375,0.45,0.45,0.45,0.0125,0.0875,0.2875,0.5375,0.6,0.675,0.6,0.6,0.0
validation,fast,24,0.7083333333333334,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.9583333333333334,0.375,0.375,0.4166666666666667,0.08333333333333333,0.25,0.4583333333333333,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.625,0.7083333333333334,0.1
validation,long,97,0.7422680412371134,0.20618556701030927,0.31958762886597936,0.4948453608247423,0.4948453608247423,0.5670103092783505,0.6288659793814433,0.5876288659793815,0.5876288659793815,0.6185567010309279,0.041237113402061855,0.28865979381443296,0.5360824742268041,0.6494845360824743,0.7731958762886598,0.8144329896907216,0.8041237113402062,0.8041237113402062,0.0
validation,medium,48,0.8333333333333334,0.125,0.3125,0.6041666666666666,0.6041666666666666,0.7083333333333334,0.9375,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.041666666666666664,0.16666666666666666,0.4166666666666667,0.6875,0.8541666666666666,0.8958333333333334,0.8541666666666666,0.8541666666666666,0.0
