section,parameter,value,status
event_generation,prior_lookback_sessions,250,v0_fixed_contract_constant
event_generation,seed_low_lookback_sessions,60,v0_fixed_contract_constant
event_generation,anchor_search_horizon_sessions,120,v0_fixed_contract_constant
event_generation,e2_quality_window,5,v0_fixed_contract_constant
event_generation,e4_relative_strength_window,10,v0_fixed_contract_constant
event_generation,e3_false_repair_drawdown,-0.1,v0_fixed_contract_constant
event_generation,e3_variants,"[5, 10]",v0_fixed_contract_constant
quality_flags,amount_ratio_20d,1.5,v0_fixed_contract_constant
quality_flags,amount_ratio_60d,1.2,v0_fixed_contract_constant
quality_flags,close_to_derived_daily_vwap,0.0,v0_fixed_contract_constant
quality_flags,close_position_in_range,0.6,v0_fixed_contract_constant
quality_flags,upper_shadow_pct,0.35,v0_fixed_contract_constant
relative_strength,stock_vs_market_5d,0.03,v0_fixed_contract_constant
relative_strength,stock_vs_market_10d,0.05,v0_fixed_contract_constant
relative_strength,stock_vs_market_20d,0.05,v0_fixed_contract_constant
density,seed_density_window,20,v0_fixed_contract_constant
density,reclaim_density_window,20,v0_fixed_contract_constant
density,union_density_window,20,v0_fixed_contract_constant
labels,confirm_20,"{""horizon_days"": 20, ""upper_barrier"": 0.12, ""lower_barrier"": -0.08, ""touch_priority"": ""lower_barrier_first""}",v0_fixed_contract_constant
labels,failure_10,"{""horizon_days"": 10, ""lower_barrier"": -0.1}",v0_fixed_contract_constant
labels,continuous_horizons,"[10, 20, 30, 60, 120]",v0_fixed_contract_constant
labels,big_winner_mfe_120d,0.5,v0_fixed_contract_constant
labels,super_winner_mfe_120d,1.0,v0_fixed_contract_constant
labels,near_winner_mfe_lower,0.3,v0_fixed_contract_constant
labels,near_winner_mfe_upper,0.5,v0_fixed_contract_constant
labels,false_repair_drawdown,-0.1,v0_fixed_contract_constant
gates,min_total_target_episode_count,150,v0_fixed_contract_constant
gates,min_validation_target_episode_count,30,v0_fixed_contract_constant
gates,min_robustness_target_episode_count,30,v0_fixed_contract_constant
gates,min_total_episode_recall_low_to_plus_30d,0.7,v0_fixed_contract_constant
gates,min_validation_episode_recall_low_to_plus_30d,0.6,v0_fixed_contract_constant
gates,min_robustness_episode_recall_low_to_plus_30d,0.6,v0_fixed_contract_constant
gates,min_total_episode_recall_before_first_50pct,0.7,v0_fixed_contract_constant
gates,min_validation_episode_recall_before_first_50pct,0.6,v0_fixed_contract_constant
gates,min_robustness_episode_recall_before_first_50pct,0.6,v0_fixed_contract_constant
gates,min_total_episode_recall_low_to_plus_20d,0.6,v0_fixed_contract_constant
gates,min_validation_episode_recall_low_to_plus_20d,0.5,v0_fixed_contract_constant
gates,min_robustness_episode_recall_low_to_plus_20d,0.5,v0_fixed_contract_constant
gates,max_setup_inclusive_events_per_instrument_year_p95,18,v0_fixed_contract_constant
gates,max_setup_inclusive_events_per_instrument_year_mean,8,v0_fixed_contract_constant
gates,max_reclaim_based_events_per_instrument_year_p95,12,v0_fixed_contract_constant
gates,max_reclaim_based_events_per_instrument_year_mean,6,v0_fixed_contract_constant
gates,min_executable_rate,0.8,v0_fixed_contract_constant
gates,min_main_label_complete_rate,0.7,v0_fixed_contract_constant
gates,min_120d_outcome_complete_rate_for_precision_readout,0.6,v0_fixed_contract_constant
gates,min_supported_positive_rate_for_clean_support,0.1,v0_fixed_contract_constant
gates,max_supported_false_repair_20d_rate_for_clean_support,0.5,v0_fixed_contract_constant
