event_family,union_family,canonical_event_scope,event_split,event_count,non_executable_next_open_count,executable_count,executable_rate,limit_rule_unavailable_count,main_label_complete_rate
E0_seed_low_setup,raw_family,raw_family,robustness,8823,4,8819,0.9995466394650345,0,0.995579734784087
E0_seed_low_setup,raw_family,raw_family,train,6150,8,6142,0.9986991869918699,0,0.9986991869918699
E0_seed_low_setup,raw_family,raw_family,validation,8812,0,8812,1.0,0,1.0
E1_first_ema60_reclaim,raw_family,raw_family,robustness,1885,0,1885,1.0,0,0.9973474801061007
E1_first_ema60_reclaim,raw_family,raw_family,train,1350,0,1350,1.0,0,1.0
E1_first_ema60_reclaim,raw_family,raw_family,validation,1489,0,1489,1.0,0,1.0
E2_reclaim_quality_burst,raw_family,raw_family,robustness,1268,0,1268,1.0,0,0.9968454258675079
E2_reclaim_quality_burst,raw_family,raw_family,train,944,0,944,1.0,0,1.0
E2_reclaim_quality_burst,raw_family,raw_family,validation,925,0,925,1.0,0,1.0
E3_early_no_false_repair,raw_family,raw_family,robustness,2414,1,2413,0.9995857497928748,0,0.9975144987572494
E3_early_no_false_repair,raw_family,raw_family,train,1744,0,1744,1.0,0,1.0
E3_early_no_false_repair,raw_family,raw_family,validation,1712,0,1712,1.0,0,1.0
E4_early_relative_strength_turn,raw_family,raw_family,robustness,1107,0,1107,1.0,0,0.996386630532972
E4_early_relative_strength_turn,raw_family,raw_family,train,809,0,809,1.0,0,1.0
E4_early_relative_strength_turn,raw_family,raw_family,validation,862,0,862,1.0,0,1.0
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,667,1,666,0.9985007496251874,0,0.9970014992503748
E5_strict_rank_persistence_reference,raw_family,raw_family,train,491,0,491,1.0,0,1.0
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,613,0,613,1.0,0,1.0
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,10393,4,10389,0.9996151255652843,0,0.9957663812181275
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,7262,8,7254,0.9988983751032773,0,0.9988983751032773
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,9887,0,9887,1.0,0,1.0
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,2465,4,2461,0.9983772819472616,0,0.9939148073022313
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,1926,4,1922,0.9979231568016614,0,0.9979231568016614
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,2203,0,2203,1.0,0,1.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,1573,0,1573,1.0,0,0.9968213604577241
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,1115,0,1115,1.0,0,1.0
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,1076,0,1076,1.0,0,1.0
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,1268,0,1268,1.0,0,0.9968454258675079
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,944,0,944,1.0,0,1.0
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,925,0,925,1.0,0,1.0
