event_family,union_family,canonical_event_scope,event_split,market_regime_bucket,event_count,false_repair_10d_count,false_repair_20d_count,false_repair_10d_rate,false_repair_20d_rate
E0_seed_low_setup,raw_family,raw_family,robustness,risk_off,3617,261,582,0.07215924799557645,0.1609068288636992
E0_seed_low_setup,raw_family,raw_family,robustness,risk_on,2994,114,372,0.03807615230460922,0.12424849699398798
E0_seed_low_setup,raw_family,raw_family,robustness,transition,2212,157,330,0.07097649186256781,0.1491862567811935
E0_seed_low_setup,raw_family,raw_family,train,risk_off,2236,177,312,0.07915921288014312,0.13953488372093023
E0_seed_low_setup,raw_family,raw_family,train,risk_on,2028,203,450,0.10009861932938856,0.22189349112426035
E0_seed_low_setup,raw_family,raw_family,train,transition,1886,93,203,0.049310710498409335,0.10763520678685047
E0_seed_low_setup,raw_family,raw_family,validation,risk_off,4762,487,970,0.10226795464090718,0.20369592608147838
E0_seed_low_setup,raw_family,raw_family,validation,risk_on,699,64,212,0.09155937052932761,0.3032904148783977
E0_seed_low_setup,raw_family,raw_family,validation,transition,3351,300,796,0.08952551477170993,0.2375410325276037
E1_first_ema60_reclaim,raw_family,raw_family,robustness,risk_off,1049,47,104,0.044804575786463297,0.09914204003813155
E1_first_ema60_reclaim,raw_family,raw_family,robustness,risk_on,1778,91,303,0.051181102362204724,0.1704161979752531
E1_first_ema60_reclaim,raw_family,raw_family,robustness,transition,682,28,55,0.04105571847507331,0.08064516129032258
E1_first_ema60_reclaim,raw_family,raw_family,train,risk_off,555,51,97,0.0918918918918919,0.17477477477477477
E1_first_ema60_reclaim,raw_family,raw_family,train,risk_on,1325,86,220,0.0649056603773585,0.1660377358490566
E1_first_ema60_reclaim,raw_family,raw_family,train,transition,560,61,161,0.10892857142857143,0.2875
E1_first_ema60_reclaim,raw_family,raw_family,validation,risk_off,969,140,263,0.14447884416924664,0.2714138286893705
E1_first_ema60_reclaim,raw_family,raw_family,validation,risk_on,731,59,241,0.08071135430916553,0.32968536251709984
E1_first_ema60_reclaim,raw_family,raw_family,validation,transition,1297,130,309,0.1002313030069391,0.2382420971472629
E2_reclaim_quality_burst,raw_family,raw_family,robustness,risk_off,219,13,27,0.0593607305936073,0.1232876712328767
E2_reclaim_quality_burst,raw_family,raw_family,robustness,risk_on,759,58,145,0.0764163372859025,0.19104084321475626
E2_reclaim_quality_burst,raw_family,raw_family,robustness,transition,290,16,40,0.05517241379310345,0.13793103448275862
E2_reclaim_quality_burst,raw_family,raw_family,train,risk_off,172,21,37,0.12209302325581395,0.21511627906976744
E2_reclaim_quality_burst,raw_family,raw_family,train,risk_on,536,52,113,0.09701492537313433,0.21082089552238806
E2_reclaim_quality_burst,raw_family,raw_family,train,transition,236,27,47,0.11440677966101695,0.19915254237288135
E2_reclaim_quality_burst,raw_family,raw_family,validation,risk_off,334,42,80,0.12574850299401197,0.23952095808383234
E2_reclaim_quality_burst,raw_family,raw_family,validation,risk_on,229,23,53,0.10043668122270742,0.2314410480349345
E2_reclaim_quality_burst,raw_family,raw_family,validation,transition,362,27,82,0.07458563535911603,0.2265193370165746
E3_early_no_false_repair,raw_family,raw_family,robustness,risk_off,385,31,58,0.08051948051948052,0.15064935064935064
E3_early_no_false_repair,raw_family,raw_family,robustness,risk_on,1506,130,299,0.08632138114209828,0.19853917662682602
E3_early_no_false_repair,raw_family,raw_family,robustness,transition,523,20,49,0.03824091778202677,0.09369024856596558
E3_early_no_false_repair,raw_family,raw_family,train,risk_off,335,28,57,0.08358208955223881,0.1701492537313433
E3_early_no_false_repair,raw_family,raw_family,train,risk_on,1050,96,233,0.09142857142857143,0.2219047619047619
E3_early_no_false_repair,raw_family,raw_family,train,transition,359,23,50,0.06406685236768803,0.1392757660167131
E3_early_no_false_repair,raw_family,raw_family,validation,risk_off,518,61,122,0.11776061776061776,0.23552123552123552
E3_early_no_false_repair,raw_family,raw_family,validation,risk_on,462,45,113,0.09740259740259741,0.24458874458874458
E3_early_no_false_repair,raw_family,raw_family,validation,transition,732,52,148,0.07103825136612021,0.20218579234972678
E4_early_relative_strength_turn,raw_family,raw_family,robustness,risk_off,205,12,25,0.05853658536585366,0.12195121951219512
E4_early_relative_strength_turn,raw_family,raw_family,robustness,risk_on,619,67,139,0.10823909531502424,0.2245557350565428
E4_early_relative_strength_turn,raw_family,raw_family,robustness,transition,283,16,44,0.05653710247349823,0.15547703180212014
E4_early_relative_strength_turn,raw_family,raw_family,train,risk_off,170,23,38,0.13529411764705881,0.2235294117647059
E4_early_relative_strength_turn,raw_family,raw_family,train,risk_on,435,52,109,0.11954022988505747,0.25057471264367814
E4_early_relative_strength_turn,raw_family,raw_family,train,transition,204,27,46,0.1323529411764706,0.22549019607843138
E4_early_relative_strength_turn,raw_family,raw_family,validation,risk_off,323,40,79,0.1238390092879257,0.24458204334365324
E4_early_relative_strength_turn,raw_family,raw_family,validation,risk_on,198,23,48,0.11616161616161616,0.24242424242424243
E4_early_relative_strength_turn,raw_family,raw_family,validation,transition,341,27,79,0.07917888563049853,0.2316715542521994
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,risk_off,112,13,21,0.11607142857142858,0.1875
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,risk_on,402,41,111,0.10199004975124377,0.27611940298507465
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,transition,153,7,15,0.0457516339869281,0.09803921568627451
E5_strict_rank_persistence_reference,raw_family,raw_family,train,risk_off,139,12,26,0.08633093525179857,0.18705035971223022
E5_strict_rank_persistence_reference,raw_family,raw_family,train,risk_on,221,37,67,0.167420814479638,0.3031674208144796
E5_strict_rank_persistence_reference,raw_family,raw_family,train,transition,131,6,24,0.04580152671755725,0.183206106870229
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,risk_off,235,33,61,0.14042553191489363,0.25957446808510637
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,risk_on,145,19,50,0.1310344827586207,0.3448275862068966
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,transition,233,19,43,0.0815450643776824,0.18454935622317598
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,risk_off,3881,274,609,0.07060036073177016,0.15691832002061323
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,risk_on,3951,195,561,0.04935459377372817,0.1419893697798026
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,transition,2561,173,375,0.06755173760249902,0.14642717688402968
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,risk_off,2442,205,357,0.08394758394758395,0.14619164619164618
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,risk_on,2670,264,587,0.09887640449438202,0.2198501872659176
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,transition,2150,122,255,0.05674418604651163,0.1186046511627907
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,risk_off,5125,531,1054,0.10360975609756097,0.20565853658536584
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,risk_on,977,90,274,0.09211873080859775,0.2804503582395087
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,transition,3785,330,886,0.08718626155878467,0.23408190224570674
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,risk_off,745,48,116,0.06442953020134229,0.15570469798657718
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,risk_on,1164,72,192,0.061855670103092786,0.16494845360824742
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,transition,556,39,87,0.07014388489208633,0.1564748201438849
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,risk_off,627,53,101,0.08452950558213716,0.16108452950558214
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,risk_on,745,86,182,0.11543624161073826,0.2442953020134228
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,transition,554,55,96,0.09927797833935018,0.17328519855595667
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,risk_off,998,140,255,0.1402805611222445,0.25551102204408815
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,risk_on,333,34,88,0.1021021021021021,0.26426426426426425
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,transition,872,77,197,0.08830275229357798,0.22591743119266056
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,risk_off,265,13,27,0.04905660377358491,0.1018867924528302
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,risk_on,958,81,189,0.08455114822546973,0.19728601252609604
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,transition,350,16,45,0.045714285714285714,0.12857142857142856
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,risk_off,207,28,45,0.13526570048309178,0.21739130434782608
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,risk_on,644,61,137,0.09472049689440994,0.2127329192546584
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,transition,264,29,52,0.10984848484848485,0.19696969696969696
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,risk_off,364,44,84,0.12087912087912088,0.23076923076923078
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,risk_on,278,26,62,0.09352517985611511,0.22302158273381295
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,transition,434,30,90,0.06912442396313365,0.2073732718894009
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,risk_off,219,13,27,0.0593607305936073,0.1232876712328767
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,risk_on,759,58,145,0.0764163372859025,0.19104084321475626
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,transition,290,16,40,0.05517241379310345,0.13793103448275862
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,risk_off,172,21,37,0.12209302325581395,0.21511627906976744
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,risk_on,536,52,113,0.09701492537313433,0.21082089552238806
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,transition,236,27,47,0.11440677966101695,0.19915254237288135
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,risk_off,334,42,80,0.12574850299401197,0.23952095808383234
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,risk_on,229,23,53,0.10043668122270742,0.2314410480349345
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,transition,362,27,82,0.07458563535911603,0.2265193370165746
