episode_split,duration_bucket,captured_episode_count,lead_time_mean,lead_time_median,lead_time_p25,lead_time_p75
all,all,482,50.84647302904564,50.0,28.0,73.0
robustness,fast,25,8.76,5.0,2.0,16.0
robustness,long,167,58.02395209580838,61.0,37.0,79.5
robustness,medium,35,35.05714285714286,37.0,25.5,43.5
train,fast,6,19.5,14.5,10.75,27.25
train,long,112,59.17857142857143,61.5,37.75,78.0
train,medium,36,39.583333333333336,39.5,27.75,50.25
validation,fast,10,8.2,5.5,4.25,12.75
validation,long,57,71.52631578947368,73.0,54.0,85.0
validation,medium,34,30.676470588235293,30.0,12.25,43.75
