factor_id,signal_period,signal_month_end,holding_period,holding_month_end,split,past_12m_factor_return,tsfm_position,has_complete_12m_history,has_current_factor_return,active_factor,current_factor_return,history_start_period,history_end_period,tsfm_contribution,active_factor_count
SIZE,2017-07,2017-07-31,2017-08,2017-08-31,train,,0,False,True,False,0.008509929863128474,2016-08,2017-07,,0
ILL,2017-07,2017-07-31,2017-08,2017-08-31,train,,0,False,True,False,-0.007700745958361215,2016-08,2017-07,,0
TURN,2017-07,2017-07-31,2017-08,2017-08-31,train,,0,False,True,False,0.018449653183517836,2016-08,2017-07,,0
BAB,2017-07,2017-07-31,2017-08,2017-08-31,train,,0,False,True,False,0.004346644633654885,2016-08,2017-07,,0
SIZE,2017-08,2017-08-31,2017-09,2017-09-29,train,,0,False,True,False,-0.013152215192182832,2016-09,2017-08,,0
ILL,2017-08,2017-08-31,2017-09,2017-09-29,train,,0,False,True,False,-0.02035088505853073,2016-09,2017-08,,0
TURN,2017-08,2017-08-31,2017-09,2017-09-29,train,,0,False,True,False,-0.007661441639205522,2016-09,2017-08,,0
BAB,2017-08,2017-08-31,2017-09,2017-09-29,train,,0,False,True,False,-0.0106700680420822,2016-09,2017-08,,0
SIZE,2017-09,2017-09-29,2017-10,2017-10-31,train,,0,False,True,False,0.0693947258110031,2016-10,2017-09,,0
ILL,2017-09,2017-09-29,2017-10,2017-10-31,train,,0,False,True,False,-0.010574009207509002,2016-10,2017-09,,0
TURN,2017-09,2017-09-29,2017-10,2017-10-31,train,,0,False,True,False,-0.019860984824503155,2016-10,2017-09,,0
BAB,2017-09,2017-09-29,2017-10,2017-10-31,train,,0,False,True,False,-0.049304699034070136,2016-10,2017-09,,0
SIZE,2017-10,2017-10-31,2017-11,2017-11-30,train,,0,False,True,False,0.04408767913608818,2016-11,2017-10,,0
ILL,2017-10,2017-10-31,2017-11,2017-11-30,train,,0,False,True,False,-0.04349505983675057,2016-11,2017-10,,0
TURN,2017-10,2017-10-31,2017-11,2017-11-30,train,,0,False,True,False,-0.035951068724873886,2016-11,2017-10,,0
BAB,2017-10,2017-10-31,2017-11,2017-11-30,train,,0,False,True,False,0.014850713878110123,2016-11,2017-10,,0
SIZE,2017-11,2017-11-30,2017-12,2017-12-29,train,,0,False,True,False,0.0037184486834204904,2016-12,2017-11,,0
