split,J,K,primary_local_decision_cell,decile_monthly_mean_return,quintile_monthly_mean_return,tertile_monthly_mean_return,decile_after_cost_monthly_mean_return,quintile_after_cost_monthly_mean_return,tertile_after_cost_monthly_mean_return,decile_month_count,quintile_month_count,tertile_month_count,decile_ge_tertile,decile_ge_quintile,quintile_ge_tertile
robustness,1,1,False,-0.002607408140887023,-0.0017030196892445307,-0.005304140057583906,-0.02219959840767874,-0.019508812891334118,-0.02038958258848278,24.0,24.0,24.0,True,False,True
robustness,1,6,False,0.0019228011144519046,0.0005809748887559649,-0.0002855478564608569,-0.0027774612528061763,-0.0037594001495455305,-0.004139578083706961,28.0,28.0,28.0,True,True,True
robustness,1,12,False,0.003745183204139169,0.0024822718269094553,0.0011480875783914362,7.075823526906626e-05,-0.0009228639296400212,-0.0019103322786151286,28.0,28.0,28.0,True,True,True
robustness,1,18,False,0.0043944086555029365,0.003722776954230067,0.0030034981671778226,0.0009675457857038662,0.0006250741197484332,0.00022210055463139773,28.0,28.0,28.0,True,True,True
robustness,1,24,False,-0.00010944815890969564,-0.0032223197838547215,-0.0011737276795476621,-0.0026064181957166886,-0.005567492940051052,-0.003286065006095249,28.0,28.0,28.0,True,True,False
robustness,6,1,False,0.007863245758725814,0.003827510523422485,0.0020102096266208483,-0.0023812304236398595,-0.005134759693839298,-0.005215746333957944,24.0,24.0,24.0,True,True,True
robustness,6,6,False,-0.010745613488411044,-0.008288618457762407,-0.007492427326999951,-0.014765876600619688,-0.011997183506974254,-0.010694125646541375,28.0,28.0,28.0,False,False,False
robustness,6,12,False,0.0036836084950019024,0.0017189145046513081,-0.0007522844507940443,0.0005675693083828207,-0.0011392707767032193,-0.0031745662932417063,28.0,28.0,28.0,True,True,True
robustness,6,18,False,-0.00782412965859691,-0.0009322148125429453,-0.0021499241516145635,-0.01052667611198571,-0.003443225890007295,-0.0042942843767451635,28.0,28.0,28.0,False,False,True
robustness,6,24,False,-0.0049395026361880095,-0.001697386938229182,-0.0034188565737525473,-0.006743536219110118,-0.0034043112295844774,-0.004883814960160499,28.0,28.0,28.0,False,False,True
robustness,12,1,False,-0.003202713802364169,-0.004029296899058103,-0.008591183694834638,-0.011755817121481979,-0.011230544833454079,-0.014149224120081941,24.0,24.0,24.0,True,True,True
robustness,12,6,False,-0.01566201113631092,-0.01109364231860248,-0.010329830685920771,-0.019041609524651178,-0.014077431111789884,-0.012867713489133351,28.0,28.0,28.0,False,False,False
robustness,12,12,False,-0.007027378761457046,-0.0045242829383240635,-0.005575403564080975,-0.009644782447150465,-0.0069022230823997275,-0.007557843125609656,28.0,28.0,28.0,False,False,True
robustness,12,18,False,-0.011874008110332176,-0.008559751863781585,-0.007296301478630039,-0.014202632910961011,-0.010639249901181301,-0.009043152900409029,28.0,28.0,28.0,False,False,False
robustness,12,24,False,-0.014159503704859444,-0.007862467728203067,-0.007498295287486275,-0.01578125412235418,-0.009368553107621842,-0.008812218907038703,28.0,28.0,28.0,False,False,False
robustness,18,1,True,-0.005987294388355355,-0.00946643643860988,-0.008135144547475113,-0.013576803016469054,-0.01558164266627087,-0.013275510149462877,24.0,24.0,24.0,True,True,False
robustness,18,6,True,-0.020167096118805565,-0.014805945440358455,-0.011326710408313689,-0.02317503139032367,-0.0174263079219094,-0.013622020913332884,28.0,28.0,28.0,False,False,False
robustness,18,12,True,-0.013847910754236779,-0.011536064067241872,-0.008710855600858708,-0.016257632450556597,-0.013595028462499008,-0.01051760067670573,28.0,28.0,28.0,False,False,False
robustness,18,18,False,-0.01429255460456183,-0.010996827856096018,-0.00819548859206128,-0.01649405026766128,-0.01287276968914064,-0.00984961625788346,28.0,28.0,28.0,False,False,False
robustness,18,24,False,-0.013479201852048876,-0.009587408705836705,-0.006501404298576063,-0.015088660344510186,-0.010974435540014663,-0.007793890064878696,28.0,28.0,28.0,False,False,False
robustness,24,1,True,-0.008534704226481317,-0.012412783383988596,-0.01057755996526527,-0.015189554657518345,-0.017879338328833313,-0.015170763947408614,24.0,24.0,24.0,True,True,False
robustness,24,6,True,-0.018908912435846078,-0.015692606918009087,-0.012690522145901209,-0.021733351692365833,-0.018138612570551802,-0.014826431370004988,28.0,28.0,28.0,False,False,False
robustness,24,12,True,-0.011074896998727374,-0.010509257078165019,-0.009186347103600005,-0.013384086284910291,-0.01246909128969992,-0.010888074279606846,28.0,28.0,28.0,False,False,False
robustness,24,18,False,-0.008219885996850352,-0.007584745748090695,-0.006958258239631721,-0.010380897446687123,-0.009411197450191365,-0.008538303589542448,28.0,28.0,28.0,False,False,False
robustness,24,24,False,-0.008795332812761134,-0.007709342450282436,-0.007014607618454476,-0.010329964655264217,-0.009098113224263526,-0.008257380834196788,28.0,28.0,28.0,False,False,False
robustness,30,1,True,-0.014957550333704767,-0.010702366589498358,-0.007853383203422064,-0.02164639949115804,-0.015926703321397066,-0.012517790569929443,24.0,24.0,24.0,False,False,False
robustness,30,6,True,-0.021321632668986176,-0.015826338920835785,-0.010247196341236612,-0.024010554793114956,-0.01812126966458167,-0.012388288257786817,28.0,28.0,28.0,False,False,False
robustness,30,12,True,-0.005289104114107165,-0.008385263293538142,-0.005379438348924939,-0.0075502482088138775,-0.010309823727212477,-0.007158845771295866,28.0,28.0,28.0,True,True,False
robustness,30,18,False,-0.006572100876166173,-0.008798683060438949,-0.006081273968687022,-0.008686595825229413,-0.010553533990721559,-0.007761225783855927,28.0,28.0,28.0,False,True,False
robustness,30,24,False,-0.008296009626047797,-0.007133589817682366,-0.003853967774486978,-0.00982541130484797,-0.008454743439596285,-0.005178120930726328,28.0,28.0,28.0,False,False,False
robustness,36,1,True,-0.004228211489278078,-0.0026575897199797673,-0.005948263214700593,-0.010666983002711109,-0.007881171634071394,-0.010453755806566706,24.0,24.0,24.0,True,False,True
robustness,36,6,True,-0.007666644489759981,-0.006075174564384768,-0.00726893583305848,-0.010388536361528216,-0.008443823231228328,-0.009332672133931377,28.0,28.0,28.0,False,False,True
robustness,36,12,True,-0.0022639930808103156,-0.004281863540815487,-0.004875898589614946,-0.004470072397746245,-0.006203863869863825,-0.006587533645185292,28.0,28.0,28.0,True,True,True
robustness,36,18,False,-0.00278002149017608,-0.006673260465972952,-0.006175620165943657,-0.004830289364452559,-0.008445942724516356,-0.0077971014484609575,28.0,28.0,28.0,True,True,False
robustness,36,24,False,-0.006104353601163004,-0.006285428487729308,-0.0057271865163636216,-0.007492114154214634,-0.007611072730729822,-0.006960981839175048,28.0,28.0,28.0,False,True,False
robustness,42,1,True,0.0013133621478424156,0.003615496434050375,-0.0007672400004646683,-0.004395256285240165,-0.0014941458219296041,-0.005309778578097897,24.0,24.0,24.0,True,False,True
robustness,42,6,True,-0.002415030591859605,-0.0018427293568725343,-0.0026384755323405167,-0.005082414930148041,-0.004248100480806445,-0.004771070396657925,28.0,28.0,28.0,True,False,True
robustness,42,12,True,0.0013407840293652902,2.131787943708056e-05,-0.0010287528610764417,-0.000849379220387563,-0.0019208542550986276,-0.002802997871241397,28.0,28.0,28.0,True,True,True
robustness,42,18,False,-0.004241961799988231,-0.0047750758696683175,-0.0031505078843223583,-0.00619351793122958,-0.006533874783459329,-0.0047623923589309855,28.0,28.0,28.0,False,True,False
robustness,42,24,False,-0.004922907467734869,-0.004818126371116276,-0.003910567104640396,-0.006301047149045989,-0.006144389546336333,-0.005136171077289477,28.0,28.0,28.0,False,False,False
