gate,passed,value,threshold,final_decision
data_inputs_available,True,True,True,ep6_monthly_contrarian_validation_only_not_robust
execution_replay_available,True,matched,cost_contract matched and calendar returns non-empty,ep6_monthly_contrarian_validation_only_not_robust
validation_evaluable_primary_local_decision_cell_count,True,18,15,ep6_monthly_contrarian_validation_only_not_robust
robustness_evaluable_primary_local_decision_cell_count,True,18,15,ep6_monthly_contrarian_validation_only_not_robust
validation_primary_local_decision_mean_positive,True,0.0147797092055255,0,ep6_monthly_contrarian_validation_only_not_robust
validation_primary_local_decision_t_stat_positive,True,1.6044646914250038,0,ep6_monthly_contrarian_validation_only_not_robust
validation_loser_leg_beats_winner_leg,True,0.004727310948397849 > -0.010052398257127648,loser > winner,ep6_monthly_contrarian_validation_only_not_robust
robustness_primary_local_decision_mean_positive,False,-0.00760871352582703,0,ep6_monthly_contrarian_validation_only_not_robust
robustness_primary_local_decision_t_stat_positive,False,-0.7581065046048122,0,ep6_monthly_contrarian_validation_only_not_robust
robustness_loser_leg_beats_winner_leg,False,0.007351217236255839 > 0.014959930762082869,loser > winner,ep6_monthly_contrarian_validation_only_not_robust
validation_decile_mean_ge_tertile_mean,True,0.016210393158957184 >= 0.01099784073125971,decile >= tertile,ep6_monthly_contrarian_validation_only_not_robust
robustness_decile_mean_ge_tertile_mean,False,-0.006660121603466447 >= -0.00555238142207941,decile >= tertile,ep6_monthly_contrarian_validation_only_not_robust
validation_after_cost_decile_L_minus_W_mean_positive,True,0.011396073755100817,0,ep6_monthly_contrarian_validation_only_not_robust
robustness_after_cost_decile_L_minus_W_mean_positive,False,-0.01138040480066039,0,ep6_monthly_contrarian_validation_only_not_robust
validation_loser_long_only_after_cost_mean_positive,True,0.0030154717795849704,diagnostic label only,ep6_monthly_contrarian_validation_only_not_robust
robustness_loser_long_only_after_cost_mean_positive,True,0.005540854330951617,diagnostic label only,ep6_monthly_contrarian_validation_only_not_robust
