split,grouping,J,K,skip_mode,calendar_month_min,calendar_month_max,month_count,monthly_mean_return,annualized_mean_return,monthly_volatility,annualized_sharpe,positive_month_share,t_stat_monthly_mean_newey_west,newey_west_lag_used,newey_west_alt_lag_used,t_stat_monthly_mean_newey_west_alt_lag,max_drawdown,loser_monthly_mean_return,winner_monthly_mean_return,after_cost_monthly_mean_return,after_cost_annualized_mean_return,after_cost_t_stat_newey_west,after_cost_positive_month_share,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,active_vintage_count_median,mean_buy_turnover,mean_sell_turnover,mean_loser_long_only_buy_turnover,mean_loser_long_only_sell_turnover,terminal_settlement_months,months_requiring_short_exposure
robustness,decile,1,1,no_skip,2024-01,2025-12,24,-0.002607408140887023,-0.031288897690644274,0.06478898940771116,-0.13941144683289414,0.4166666666666667,-0.20139799148279178,0,2,-0.17400771182308183,-0.3703762816393342,0.008687919244990506,0.011295327385877527,-0.02219959840767874,-0.26639518089214487,-1.7286811292765742,0.25,-0.0011549205339905753,-0.08561232878037806,1.0,1.781108206071974,1.781108206071974,0.8948036162710075,0.8948036162710072,1,24
robustness,decile,1,1,skip1,2024-01,2025-12,24,-0.004325490380150146,-0.05190588456180176,0.05289647795748844,-0.2832691096027821,0.4166666666666667,-0.4092191209485262,0,2,-0.4777685386352397,-0.1711667589346152,0.012085377586260805,0.01641086796641095,-0.02395345004729459,-0.2874414005675351,-2.2295595687887,0.2916666666666667,0.0022261687596606774,0.18465907411130758,1.0,1.7843599697404045,1.7843599697404045,0.8962917115091026,0.8962917115091026,1,24
robustness,decile,1,6,no_skip,2024-01,2026-04,28,0.0019228011144519046,0.023073613373422855,0.031221411624882036,0.2133400797564573,0.5714285714285714,0.2927130385962109,5,3,0.28930204687846717,-0.16907552842532858,0.015295593463352563,0.013372792348900655,-0.0027774612528061763,-0.03332953503367411,-0.41330316498777014,0.5,0.012907171186119093,1.7284796755442422,6.0,0.42729657884164396,0.4272965788416439,0.21712929793031543,0.2171292979303154,1,28
robustness,decile,1,12,no_skip,2024-01,2026-04,28,0.003745183204139169,0.044942198449670026,0.03444868838187868,0.3766092642665009,0.5,1.1121961747042612,11,3,0.7460667026519561,-0.11600901212310977,0.015308907102782392,0.011563723898643222,7.075823526906626e-05,0.0008490988232287952,0.022410144241654675,0.4642857142857143,0.013347524275705827,2.502239881167955,7.5,0.3340386335336457,0.33403863353364566,0.17830752973423317,0.17830752973423314,1,28
robustness,decile,1,18,no_skip,2024-01,2026-04,28,0.0043944086555029365,0.05273290386603524,0.02836842954448013,0.5366063037516663,0.5,1.7798479840109596,17,3,0.9473693273849157,-0.08440758355979416,0.013269583845377825,0.008875175189874884,0.0009675457857038662,0.011610549428446394,0.5091759587296464,0.5,0.011461446179120505,2.7644283116447017,7.5,0.31153298816355185,0.31153298816355185,0.16437615147793797,0.1643761514779379,1,28
robustness,decile,1,24,no_skip,2024-01,2026-04,28,-0.00010944815890969564,-0.0013133779069163477,0.022843361028036795,-0.0165973625154194,0.39285714285714285,-0.053068158175897544,23,3,-0.03133120794854485,-0.12422661273247826,0.00872964031106758,0.008839088469977276,-0.0026064181957166886,-0.03127701834860026,-1.4383376352950414,0.35714285714285715,0.007466709595303013,2.2930788890631546,5.0,0.226997276073363,0.22699727607336295,0.11481188325132423,0.1148118832513242,1,28
robustness,decile,6,1,no_skip,2024-01,2025-12,24,0.007863245758725814,0.09435894910470977,0.06912144927026301,0.3940756830274653,0.625,0.5692936473794231,0,2,0.673609432198749,-0.14892447603591608,0.013415108721885524,0.005551862963159713,-0.0023812304236398595,-0.028574765083678316,-0.16957090282040344,0.4583333333333333,0.008127669569183689,0.5139414777618179,1.0,0.9313160165786977,0.9313160165786977,0.48067628660925754,0.48067628660925754,1,24
robustness,decile,6,6,no_skip,2024-01,2026-04,28,-0.010745613488411044,-0.12894736186093253,0.06873707083005134,-0.541540344843684,0.4642857142857143,-0.9257014055675725,5,3,-0.9848972600087553,-0.3434571163541287,0.011248616591017455,0.021994230079428495,-0.014765876600619688,-0.17719051920743625,-1.2371071600055745,0.39285714285714285,0.009203729328095638,1.1252738970215759,6.0,0.3654784647462402,0.36547846474624013,0.18589884208380178,0.18589884208380175,1,28
robustness,decile,6,6,skip1,2024-01,2026-04,28,-0.012135688909245074,-0.14562826691094088,0.060946793641914826,-0.689769831015583,0.42857142857142855,-1.2232636688851235,5,3,-1.2324475104217874,-0.3389731638844907,0.010375018705637314,0.022510707614882386,-0.016214621680839567,-0.19457546017007482,-1.576270104982073,0.39285714285714285,0.008319956451666445,0.993771718311161,6.0,0.3708120701449539,0.3708120701449538,0.18682384127007917,0.18682384127007912,1,28
robustness,decile,6,12,no_skip,2024-01,2026-04,28,0.0036836084950019024,0.04420330194002283,0.05671382783944289,0.22499617153678955,0.5357142857142857,0.5622631013297681,11,3,0.3707494237269454,-0.1849957472846957,0.01659225796930639,0.01290864947430449,0.0005675693083828207,0.006810831700593848,0.08722164063629921,0.5357142857142857,0.015015268119571558,2.26166227494701,7.5,0.2832762896926438,0.2832762896926438,0.14336271361225736,0.14336271361225736,1,28
robustness,decile,6,18,no_skip,2024-01,2026-04,28,-0.00782412965859691,-0.09388955590316292,0.05351843737600354,-0.5064344460764356,0.32142857142857145,-1.2517774825350017,17,3,-0.873591926403055,-0.2702576398945843,0.010860683726616206,0.018684813385213113,-0.01052667611198571,-0.1263201133438285,-1.5455915142825167,0.32142857142857145,0.00953187840293018,1.6763439504727067,7.5,0.24568604121716348,0.24568604121716348,0.1208004839714569,0.12080048397145686,1,28
robustness,decile,6,24,no_skip,2024-01,2026-04,28,-0.0049395026361880095,-0.05927403163425611,0.05901372564743865,-0.2899484632138073,0.42857142857142855,-0.8642123709240578,23,3,-0.47710158969567146,-0.21412508035272682,0.00892476840226024,0.013864271038448247,-0.006743536219110118,-0.08092243462932142,-1.0895435166277874,0.42857142857142855,0.008011724048363075,1.6302078677284966,5.0,0.16400305299291892,0.16400305299291892,0.08300403217246957,0.08300403217246954,1,28
robustness,decile,12,1,no_skip,2024-01,2025-12,24,-0.003202713802364169,-0.038432565628370025,0.07654116355574593,-0.14494848967788956,0.4166666666666667,-0.20939697100039859,0,2,-0.21698316094009426,-0.2710931775749974,0.00681666145706401,0.010019375259428183,-0.011755817121481979,-0.14106980545778375,-0.7566029121786301,0.4166666666666667,0.002700159802518877,0.17260538166149922,1.0,0.7775548471925283,0.7775548471925283,0.3742274231404667,0.37422742314046653,1,24
robustness,decile,12,6,no_skip,2024-01,2026-04,28,-0.01566201113631092,-0.18794413363573104,0.07115118271994575,-0.7625284078150814,0.39285714285714285,-1.2478796523001265,5,3,-1.2805066384046067,-0.38282405565917454,0.0065973178801000286,0.022259329016410954,-0.019041609524651178,-0.22849931429581413,-1.4688818947949795,0.35714285714285715,0.004956081465324129,0.5374030102302174,6.0,0.30723621712184146,0.3072362171218415,0.14920331043417295,0.14920331043417293,1,28
robustness,decile,12,12,no_skip,2024-01,2026-04,28,-0.007027378761457046,-0.08432854513748456,0.05787808587880551,-0.42060053901441335,0.39285714285714285,-0.9857583331542547,11,3,-0.6421806685209566,-0.24299056932930918,0.008625157484510202,0.015652536245967248,-0.009644782447150465,-0.11573738936580558,-1.3113942523448718,0.35714285714285715,0.007405287909209727,1.0951403100690122,7.5,0.2379457896084929,0.2379457896084929,0.11089723411822507,0.11089723411822505,1,28
