split,grouping,J,K,skip_mode,month_count,loser_monthly_mean_return,winner_monthly_mean_return,monthly_mean_return,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,loser_minus_winner_monthly_mean_return
robustness,decile,1,1,no_skip,24,0.008687919244990506,0.011295327385877527,-0.002607408140887023,-0.0011549205339905753,-0.08561232878037806,-0.002607408140887021
robustness,decile,1,1,skip1,24,0.012085377586260805,0.01641086796641095,-0.004325490380150146,0.0022261687596606774,0.18465907411130758,-0.004325490380150145
robustness,decile,1,6,no_skip,28,0.015295593463352563,0.013372792348900655,0.0019228011144519046,0.012907171186119093,1.7284796755442422,0.001922801114451908
robustness,decile,1,12,no_skip,28,0.015308907102782392,0.011563723898643222,0.003745183204139169,0.013347524275705827,2.502239881167955,0.00374518320413917
robustness,decile,1,18,no_skip,28,0.013269583845377825,0.008875175189874884,0.0043944086555029365,0.011461446179120505,2.7644283116447017,0.004394408655502941
robustness,decile,1,24,no_skip,28,0.00872964031106758,0.008839088469977276,-0.00010944815890969564,0.007466709595303013,2.2930788890631546,-0.000109448158909696
robustness,decile,6,1,no_skip,24,0.013415108721885524,0.005551862963159713,0.007863245758725814,0.008127669569183689,0.5139414777618179,0.007863245758725811
robustness,decile,6,6,no_skip,28,0.011248616591017455,0.021994230079428495,-0.010745613488411044,0.009203729328095638,1.1252738970215759,-0.01074561348841104
robustness,decile,6,6,skip1,28,0.010375018705637314,0.022510707614882386,-0.012135688909245074,0.008319956451666445,0.993771718311161,-0.012135688909245072
robustness,decile,6,12,no_skip,28,0.01659225796930639,0.01290864947430449,0.0036836084950019024,0.015015268119571558,2.26166227494701,0.003683608495001902
robustness,decile,6,18,no_skip,28,0.010860683726616206,0.018684813385213113,-0.00782412965859691,0.00953187840293018,1.6763439504727067,-0.007824129658596907
robustness,decile,6,24,no_skip,28,0.00892476840226024,0.013864271038448247,-0.0049395026361880095,0.008011724048363075,1.6302078677284966,-0.004939502636188007
robustness,decile,12,1,no_skip,24,0.00681666145706401,0.010019375259428183,-0.003202713802364169,0.002700159802518877,0.17260538166149922,-0.0032027138023641728
robustness,decile,12,6,no_skip,28,0.0065973178801000286,0.022259329016410954,-0.01566201113631092,0.004956081465324129,0.5374030102302174,-0.015662011136310924
robustness,decile,12,12,no_skip,28,0.008625157484510202,0.015652536245967248,-0.007027378761457046,0.007405287909209727,1.0951403100690122,-0.007027378761457046
robustness,decile,12,12,skip1,28,0.006795276919652615,0.019232653391404807,-0.01243737647175219,0.005631207549424562,0.7540582161987568,-0.012437376471752193
robustness,decile,12,18,no_skip,28,0.006178723845470296,0.018052731955802478,-0.011874008110332176,0.0051199296925630395,0.7517707826926366,-0.011874008110332183
