split,state_window_months,market_state,month_count,monthly_mean_return,t_stat_monthly_mean_newey_west,after_cost_monthly_mean_return,after_cost_t_stat_newey_west,positive_month_share
robustness,12,down,9,-0.006615777340943251,-0.2804723514588164,-0.01075234984877191,-0.4457681967866682,0.3333333333333333
robustness,12,middle,16,-0.006801925320076634,-0.5953692746861479,-0.010579231826204117,-0.9010565504856147,0.4375
robustness,12,up,3,-0.014890392511147146,-2.5268712445294867,-0.017537492186759304,-3.13209082655056,0.0
robustness,24,down,18,-0.009009252603634626,-0.6476458476202707,-0.0125086622161714,-0.8840358386321815,0.2777777777777778
robustness,24,middle,6,-0.005994122481688967,-0.2945696625913053,-0.01166907224562598,-0.5441899331566742,0.5
robustness,24,up,4,-0.0037281742418999388,-0.42044145580555164,-0.005870245263412446,-0.6611647820981581,0.5
train,12,down,24,0.016976339050181904,0.9920873379853571,0.013557743453370954,0.7958254206765341,0.5833333333333334
train,12,middle,14,-0.023718762340342568,-1.5247626451972771,-0.026920491432483016,-1.7252925714926384,0.42857142857142855
train,12,up,14,-0.017238399909229807,-0.6674504809679184,-0.020522791191290808,-0.7945769802672362,0.5
train,24,down,17,-0.02422270756644603,-1.2337463300685636,-0.02819026238894319,-1.4395953163497766,0.47058823529411764
train,24,middle,17,0.009415282693469943,0.513048977351127,0.006426303136063434,0.34865973321899935,0.5294117647058824
train,24,up,12,-0.003788556305125665,-0.1355526973725666,-0.006862997672319181,-0.2461795760966211,0.5833333333333334
validation,12,down,31,0.013835362334632041,1.3638418938611867,0.010707887563022062,1.0644041824074235,0.5161290322580645
validation,12,middle,4,0.022098397454949792,1.2747139656885018,0.016729516743711148,0.9392236591114265,0.75
validation,24,down,27,0.011044301834683782,1.0879141378600996,0.008238547200728936,0.8124519305364224,0.48148148148148145
validation,24,middle,8,0.02738670908211628,1.32924575955554,0.022052725876105905,1.0873936035709146,0.75
