required_artifact,artifact_type,required_by_section,exists,has_required_columns,row_count,status_only_allowed,status_only_emitted,authority_pass,pass
explore10d_run_manifest.json,report,13,True,True,1,False,False,True,True
explore10d_preflight_reference_artifact_audit.csv,report,13,True,True,15,True,False,True,True
explore10d_explore10c_inheritance_gate.csv,report,13,True,True,1,True,False,True,True
explore10d_launch_seed_freeze_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_launch_seed_relabel_audit.csv,report,13,True,True,14,True,False,True,True
explore10d_launch_risk_filter_metric_contract.csv,report,13,True,True,1,True,False,True,True
explore10d_support_matched_null_audit.csv,report,13,True,True,28000,True,False,True,True
explore10d_support_matched_null_summary.csv,report,13,True,True,56,True,False,True,True
explore10d_structural_matched_null_audit.csv,report,13,True,True,28000,True,False,True,True
explore10d_matched_null_fdr_audit.csv,report,13,True,True,112,True,False,True,True
explore10d_family_ablation_audit.csv,report,13,True,True,112,True,False,True,True
explore10d_family_ablation_summary.csv,report,13,True,True,14,True,False,True,True
explore10d_token_coverage_carry_forward_audit.csv,report,13,True,True,42,True,False,True,True
explore10d_concentration_carry_forward_audit.csv,report,13,True,True,14,True,False,True,True
explore10d_slice_stability_carry_forward_audit.csv,report,13,True,True,14,True,False,True,True
explore10d_manualizability_carry_forward_audit.csv,report,13,True,True,14,True,False,True,True
explore10d_metric_nonselection_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_threshold_nonselection_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_model_nonselection_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_score_bucket_nonselection_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_fold_2024_nonselection_audit.csv,report,13,True,True,1,True,False,True,True
explore10d_forbidden_recommendation_self_check.csv,report,13,True,True,12,True,False,True,True
explore10d_cache_tracking_audit.csv,report,13,True,True,5,True,False,True,True
explore10d_required_artifact_authority_audit.csv,report,13,True,True,31,True,False,True,True
explore10d_recommendation_gate.csv,report,13,True,True,1,True,False,True,True
explore10d_report.md,report,13,True,True,296,False,False,True,True
explore10d_frozen_launch_seed_panel.parquet,cache,13,True,True,14,False,False,True,True
explore10d_support_matched_null_panel.parquet,cache,13,True,True,28000,False,False,True,True
explore10d_structural_matched_null_panel.parquet,cache,13,True,True,28000,False,False,True,True
explore10d_family_ablation_panel.parquet,cache,13,True,True,112,False,False,True,True
explore10d_launch_risk_filter_oof_panel.parquet,cache,13,True,True,7694,False,False,True,True
