selection_family_id,primitive_seed_id,null_family,frozen_seed_count_in_family,real_metric,empirical_p_value,included_in_fdr_family,candidate_dropped_before_fdr,bh_rank,bh_q_value,fdr_pass,pass
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_86d5dde1c52d602c,support_matched_same_token_count_null,14,1.180305066488164,0.32934131736526945,True,False,41.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,support_matched_random_row_null,14,1.2362199161550136,0.001996007984031936,True,False,1.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,support_matched_same_fold_presence_null,14,1.2362199161550136,0.001996007984031936,True,False,2.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,support_matched_same_instrument_year_null,14,1.2362199161550136,0.001996007984031936,True,False,3.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,support_matched_same_token_count_null,14,1.2362199161550136,0.001996007984031936,True,False,4.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,support_matched_random_row_null,14,0.9734177461285225,0.38323353293413176,True,False,52.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,support_matched_same_fold_presence_null,14,0.9734177461285225,0.3812375249500998,True,False,51.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,support_matched_same_instrument_year_null,14,0.9734177461285225,0.39520958083832336,True,False,57.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,support_matched_same_token_count_null,14,0.9734177461285225,0.3712574850299401,True,False,48.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,support_matched_random_row_null,14,0.9649185663014684,0.35129740518962077,True,False,47.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,support_matched_same_fold_presence_null,14,0.9649185663014684,0.2894211576846307,True,False,29.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,support_matched_same_instrument_year_null,14,0.9649185663014684,0.3093812375249501,True,False,36.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,support_matched_same_token_count_null,14,0.9649185663014684,0.3313373253493014,True,False,42.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,support_matched_random_row_null,14,1.2825011984053993,0.001996007984031936,True,False,5.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,support_matched_same_fold_presence_null,14,1.2825011984053993,0.001996007984031936,True,False,6.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,support_matched_same_instrument_year_null,14,1.2825011984053993,0.001996007984031936,True,False,7.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,support_matched_same_token_count_null,14,1.2825011984053993,0.001996007984031936,True,False,8.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,support_matched_random_row_null,14,0.5013481124202218,0.8882235528942116,True,False,106.0,0.9226637633823261,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,support_matched_same_fold_presence_null,14,0.5013481124202218,0.9021956087824351,True,False,109.0,0.9226637633823261,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,support_matched_same_instrument_year_null,14,0.5013481124202218,0.9001996007984032,True,False,107.0,0.9226637633823261,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,support_matched_same_token_count_null,14,0.5013481124202218,0.9001996007984032,True,False,108.0,0.9226637633823261,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,support_matched_random_row_null,14,1.0723439830309636,0.25748502994011974,True,False,20.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,support_matched_same_fold_presence_null,14,1.0723439830309636,0.26147704590818366,True,False,21.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,support_matched_same_instrument_year_null,14,1.0723439830309636,0.24750499001996007,True,False,18.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,support_matched_same_token_count_null,14,1.0723439830309636,0.2634730538922156,True,False,22.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,support_matched_random_row_null,14,0.7428915323248738,0.590818363273453,True,False,93.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,support_matched_same_fold_presence_null,14,0.7428915323248738,0.6107784431137725,True,False,96.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,support_matched_same_instrument_year_null,14,0.7428915323248738,0.5748502994011976,True,False,88.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,support_matched_same_token_count_null,14,0.7428915323248738,0.6387225548902196,True,False,98.0,0.7299686341602509,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_3bd310d43fd4eb55,same_feature_family_set_null,14,0.7987633131175941,0.499001996007984,True,False,76.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_3bd310d43fd4eb55,same_fold_presence_null,14,0.7987633131175941,0.5449101796407185,True,False,81.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_3bd310d43fd4eb55,same_quantile_direction_mix_null,14,0.7987633131175941,0.5289421157684631,True,False,79.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_3bd310d43fd4eb55,same_token_count_null,14,0.7987633131175941,0.5668662674650699,True,False,87.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40178f7159342c21,same_feature_family_set_null,14,1.0644409057553152,0.4311377245508982,True,False,63.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40178f7159342c21,same_fold_presence_null,14,1.0644409057553152,0.3992015968063872,True,False,58.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40178f7159342c21,same_quantile_direction_mix_null,14,1.0644409057553152,1.0,True,False,111.0,1.0,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40178f7159342c21,same_token_count_null,14,1.0644409057553152,0.3912175648702595,True,False,54.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_407e18d7d05fdc98,same_feature_family_set_null,14,0.9033450532918635,0.6107784431137725,True,False,97.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_407e18d7d05fdc98,same_fold_presence_null,14,0.9033450532918635,0.4471057884231537,True,False,69.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_407e18d7d05fdc98,same_quantile_direction_mix_null,14,0.9033450532918635,0.5568862275449101,True,False,84.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_407e18d7d05fdc98,same_token_count_null,14,0.9033450532918635,0.5568862275449101,True,False,85.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40eb71b01d3d40de,same_feature_family_set_null,14,1.195325238676527,0.2954091816367265,True,False,31.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40eb71b01d3d40de,same_fold_presence_null,14,1.195325238676527,0.30538922155688625,True,False,34.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40eb71b01d3d40de,same_quantile_direction_mix_null,14,1.195325238676527,0.30538922155688625,True,False,35.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_40eb71b01d3d40de,same_token_count_null,14,1.195325238676527,0.3473053892215569,True,False,45.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_590e25e49151d6bc,same_feature_family_set_null,14,1.0414049259259375,0.4311377245508982,True,False,64.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_590e25e49151d6bc,same_fold_presence_null,14,1.0414049259259375,0.3912175648702595,True,False,55.0,0.7052287178220878,False,False
