primitive_seed_id,source_formula_text_resolved,source_oof_lift_vs_scope_baseline,source_best_fdr_q,source_null_pass,original_interpretation,explore10d_interpretation,risk_filter_token_count,winner_trigger_token_count,formula_family_group,relabel_reason,relabel_used_metric,relabel_pass,pass
E10C_SEED_40178f7159342c21,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,1.0644409057553152,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,2,1,cross_section_rank+industry_market_context+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_c161b734a948d4e1,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,0.9649185663014684,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,2,1,kbar_candle_shape+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_bdada75fdd341add,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,0.9734177461285224,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,industry_market_context+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_a802bbc1ee927370,atr20_pct_market_rank <= train_q60_65 and atr_like_10 >= train_q00_05 and atr_like_10 <= train_q80_85,1.2362199161550136,0.2970490521790111,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,cross_section_rank+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_590e25e49151d6bc,atr20_pct <= train_q75_80 and volatility_return_std_20 >= train_q05_10 and volatility_return_std_20 >= train_q20_25,1.0414049259259377,0.7605417837975977,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_7a91a9802f40eb58,high_vol_destructive_ratio <= train_q80_85 and gap_open_pct >= train_q25_30 and ret_20d_market_rank <= train_q85_90,0.8371330251868927,0.7705085612062356,False,direct_launch_winner_trigger,launch_risk_filter_candidate,1,2,cross_section_rank+kbar_candle_shape+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_40eb71b01d3d40de,atr20_pct_market_rank <= train_q70_75 and volatility_return_std_5 >= train_q10_15 and volatility_return_std_5 <= train_q85_90,1.195325238676527,0.2970490521790111,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,cross_section_rank+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_407e18d7d05fdc98,atr20_pct <= train_q70_75 and market_volatility_regime >= train_q15_20 and close_over_median_10 <= train_q85_90,0.9033450532918637,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,2,1,industry_market_context+price_distance+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_f41f0c1cf62a7319,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q05_10 and atr20_pct_industry_rank >= train_q30_35,1.0723439830309636,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,cross_section_rank+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_fcda47e3c4b6e009,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q25_30 and industry_relative_strength_vs_market_60d >= train_q00_05,0.7428915323248738,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,industry_market_context+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_c8cecb2b23026b7d,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and money_over_mean_5 <= train_q75_80,0.5013481124202218,0.7679664276971498,False,direct_launch_winner_trigger,launch_risk_filter_candidate,2,1,kbar_candle_shape+volatility_range+volume_money,risk_filter_family_or_token_present,False,True,True
E10C_SEED_c645f9790305e9cb,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and atr20_pct_market_rank <= train_q55_60,1.2825011984053991,0.2970490521790111,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,cross_section_rank+volatility_range,risk_filter_family_or_token_present,False,True,True
E10C_SEED_86d5dde1c52d602c,money_price_coherence_20 <= train_q65_70 and volume_price_divergence_20 <= train_q90_95 and atr20_pct_market_rank <= train_q70_75,1.180305066488164,0.3853820598006645,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,cross_section_rank+volume_money,risk_filter_family_or_token_present,False,True,True
E10C_SEED_3bd310d43fd4eb55,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and volatility_return_std_10 <= train_q60_65,0.7987633131175941,0.6930862926745583,False,direct_launch_winner_trigger,launch_risk_filter_candidate,3,0,industry_market_context+volatility_range,risk_filter_family_or_token_present,False,True,True
