primitive_seed_id,top_instrument_weight_share,top_instrument_year_weight_share,top5_instrument_weight_share,instrument_hhi,instrument_year_hhi,max_single_event_weight_share,support_count,weighted_support,concentration_pass,pass,concentration_carry_forward_pass
E10C_SEED_40178f7159342c21,0.1280148946106338,0.0537041743606968,0.5663953323189594,0.0846449255398383,0.0341092715436176,0.0184725063810836,582,646.8139126309509,False,False,False
E10C_SEED_c161b734a948d4e1,0.1360009298666806,0.0654428053604339,0.5327322770085866,0.0781508123153846,0.0344676531413438,0.0238846325227932,531,500.24944353012734,True,True,True
E10C_SEED_bdada75fdd341add,0.1333763651843012,0.0696911790193353,0.5697752578317123,0.0888194016120784,0.0382970248767737,0.019791488905028,420,423.6190651321564,False,False,False
E10C_SEED_a802bbc1ee927370,0.1369962905966555,0.0627881287708587,0.54448770476451,0.0821558355140724,0.0368899352689249,0.0191288548096655,614,624.6204619845623,True,True,True
E10C_SEED_590e25e49151d6bc,0.1391466378053499,0.0523878592354311,0.4844088029093136,0.0729463216316736,0.0328196608244927,0.017864770421294,528,439.0624572846781,True,True,True
E10C_SEED_7a91a9802f40eb58,0.1206014073759418,0.0477332775250376,0.4769596541377121,0.0717261565525397,0.0278198175719453,0.0181778576866447,679,657.2982545257405,True,True,True
E10C_SEED_40eb71b01d3d40de,0.1102262812713887,0.0474654152952811,0.4292865366905091,0.0651553974462334,0.0268286243287126,0.0118663538238202,717,661.0075947891094,True,True,True
E10C_SEED_407e18d7d05fdc98,0.1094195660569078,0.060425181809653,0.482955049294499,0.0739256560053144,0.0320852717610207,0.0129174914566265,656,649.0464542339978,True,True,True
E10C_SEED_f41f0c1cf62a7319,0.1906721909246954,0.0826661650575466,0.6265640439581023,0.1041644601111336,0.0520927645272386,0.0325525269163764,428,367.0459795377053,False,False,False
E10C_SEED_fcda47e3c4b6e009,0.1283444985914874,0.0732240091331198,0.5781067856754467,0.089420498432212,0.0439542528091329,0.0146448018266239,508,535.5995999713844,False,False,False
E10C_SEED_c8cecb2b23026b7d,0.1581520586083144,0.0712233330760584,0.5532279862372956,0.0857989054908689,0.0374277380960834,0.0253151505149194,431,471.98116090233054,False,False,False
E10C_SEED_c645f9790305e9cb,0.1408238173609581,0.0650330178240647,0.536912131486751,0.0827434877501851,0.0378324472376937,0.0198127763980807,591,603.0590508055359,True,True,True
E10C_SEED_86d5dde1c52d602c,0.1254026597611599,0.0518611380177468,0.4515989733519147,0.0691061898545386,0.0295508766633991,0.0195430620258152,568,611.3818864549419,True,True,True
E10C_SEED_3bd310d43fd4eb55,0.1440795351748675,0.0804709857251001,0.6045786273821098,0.095957519647822,0.0427404270530336,0.0172028157711598,441,487.3650999377165,False,False,False
