artifact_name,artifact_path,artifact_role,exists,content_hash,row_count,column_count,readable,required_for_gate,source_phase,read_before_freeze_allowed,preflight_pass,pass
explore10c_manifest,Explore10/outputs/explore10c/reports/explore10c_run_manifest.json,report_or_reference,True,e8cea06e398c47245b60e0f16593c906c0082cc76a995d50bb95c0ec77831a8b,1,24,True,Explore10D,Explore10C,True,True,True
explore10c_recommendation_gate,Explore10/outputs/explore10c/reports/explore10c_recommendation_gate.csv,report_or_reference,True,ff144f1419eb1c71f55e67ca47b8cd887d5690d66696153b8378489b03d01a91,1,27,True,Explore10D,Explore10C,True,True,True
explore10c_seed_table,Explore10/outputs/explore10c/reports/explore10c_atomic_primitive_seed_table.csv,report_or_reference,True,faf5083b0075ef88ea0d7f75acbb180ca67040a7c7825cc7c30587e5f55a1792,120,25,True,Explore10D,Explore10C,True,True,True
explore10c_real_metric,Explore10/outputs/explore10c/reports/explore10c_primitive_real_metric_audit.csv,report_or_reference,True,60dc2544807e64835bdaa89b2ff6bd7a220258c33db9c31dd8a39ba72e7fa826,120,13,True,Explore10D,Explore10C,True,True,True
explore10c_fdr,Explore10/outputs/explore10c/reports/explore10c_candidate_family_fdr_audit.csv,report_or_reference,True,3ee4552d06e40873ca6a44bc2cf191e40807c2c339ce4eec711822f7ab927c11,480,18,True,Explore10D,Explore10C,True,True,True
explore10c_placebo_guardrail,Explore10/outputs/explore10c/reports/explore10c_placebo_guardrail_audit.csv,report_or_reference,True,29442a65c9e7a6fdaffba0aed0308c20c8929c85264192d5dc39eb9be312214d,4,6,True,Explore10D,Explore10C,True,True,True
explore10c_concentration,Explore10/outputs/explore10c/reports/explore10c_concentration_audit.csv,report_or_reference,True,0107198da48f79813a33935b2c9d4afa1d0ff49a30eb6d378b98a1abd32b3f12,120,11,True,Explore10D,Explore10C,True,True,True
explore10c_slice_stability,Explore10/outputs/explore10c/reports/explore10c_slice_stability_audit.csv,report_or_reference,True,8ab96d5fc5645c22103a7ea3e527246e5fb59ec444feae074d058844a2824db5,8767,10,True,Explore10D,Explore10C,True,True,True
explore10c_manualizability,Explore10/outputs/explore10c/reports/explore10c_manualizability_audit.csv,report_or_reference,True,d74df817a95ae2b86577448dd9edde60a966334b48a3d9f7c211fabe5d69218d,120,14,True,Explore10D,Explore10C,True,True,True
explore10c_token_coverage,Explore10/outputs/explore10c/reports/explore10c_primitive_token_coverage_audit.csv,report_or_reference,True,cb5f8dd32a439e4bb35e6e1726eb3ddaa0ac9d9595960e9c5440dc97135c3807,360,16,True,Explore10D,Explore10C,True,True,True
explore10c_path_pattern_canonicalization,Explore10/outputs/explore10c/reports/explore10c_path_pattern_canonicalization.csv,report_or_reference,True,db48ab0bdf57f04055dc044a23508706fec762384756252c8fc9440c60dea585,120,32,True,Explore10D,Explore10C,True,True,True
explore10c_path_pattern_fold_presence,Explore10/outputs/explore10c/reports/explore10c_path_pattern_fold_presence.csv,report_or_reference,True,784d47b28a682c36e5b68d610ea731d40b1c33547940a5d0077912d15c443787,1732,6,True,Explore10D,Explore10C,True,True,True
explore10c_path_support_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_path_support_panel.parquet,row_level_cache,True,7939ab21f108b7d9292bdc3b719919f8dc9804966241a8f67dca398f38787ed0,1979,31,True,Explore10D,Explore10C,True,True,True
explore10c_v2_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_v2_hygiene_train_eval_panel.parquet,row_level_cache,True,d7f3fb8f2cbea106fa7f66eb37b151ccf46d988ca83b035c0f903906a5d83526,19093,414,True,Explore10D,Explore10C,True,True,True
explore10c_primitive_seed_oof_panel,Explore10/outputs/explore10c/cache/explore10c_electronics_primitive_seed_oof_panel.parquet,row_level_cache,True,c77ca17a1a2320828ad259fd270dfd54cd1bc5d3b87b5d113d28f80440372c4c,126778,413,True,Explore10D,Explore10C,True,True,True
