item,value
最新,4343.38
最高,4625.2
最低,4336.3
开盘,4572.42
成交量,12354615.0
成交额,56227830418.00001
换手率,5.45
涨跌额,-198.67000000000002
涨跌幅,-4.37
振幅,6.36
