日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-01-02,1339.174,1342.985,1324.845,1324.845,2511682700,31768588000.0
2024-01-03,1320.971,1325.518,1305.566,1315.565,2298530700,30345669000.0
2024-01-04,1313.292,1313.292,1299.937,1307.205,2001129200,27552185000.0
2024-01-05,1308.051,1309.16,1274.03,1280.628,2263255300,28009975000.0
2024-01-08,1277.037,1277.037,1251.185,1251.185,2073629300,25735531000.0
2024-01-09,1254.817,1267.092,1242.161,1251.63,2035509700,24444189000.0
2024-01-10,1247.319,1249.768,1222.518,1231.672,1900449400,22496417000.0
2024-01-11,1231.87,1267.759,1231.322,1264.507,2310214600,29940397000.0
2024-01-12,1261.565,1262.858,1241.754,1241.786,1935878700,24451591000.0
2024-01-15,1238.322,1250.896,1232.458,1240.289,1691224000,21463486000.0
2024-01-16,1239.542,1239.542,1213.664,1232.286,1985482500,23602804000.0
2024-01-17,1230.87,1231.02,1200.738,1200.738,1780628300,23434743000.0
2024-01-18,1193.547,1201.403,1164.747,1201.191,2745278100,33401729000.0
2024-01-19,1199.698,1206.593,1183.643,1183.643,2095960000,26789915000.0
2024-01-22,1182.217,1184.048,1103.335,1111.713,2665958400,30958673000.0
2024-01-23,1109.326,1128.509,1097.359,1123.171,2406998700,29187476000.0
2024-01-24,1129.154,1144.102,1100.264,1142.453,2550330400,29430488000.0
2024-01-25,1142.703,1187.548,1134.138,1187.375,3006405000,36145902000.0
2024-01-26,1185.072,1203.902,1177.588,1180.03,2947460000,36046533000.0
2024-01-29,1183.299,1187.698,1136.065,1136.065,2402395200,29567948000.0
