name,code
半导体,881121
白酒,881273
白色家电,881131
保险,881156
包装印刷,881138
厨卫电器,881174
电池,881281
电机,881277
电力,881145
电网设备,881278
多元金融,881283
电子化学品,881172
房地产,881153
风电设备,881280
非金属材料,881167
服装家纺,881136
纺织制造,881135
工程机械,881268
光伏设备,881279
贵金属,881169
