项目,值
今开,21227.88
昨收,20930.54
最低,20031.04
最高,21347.51
成交量(万手),4913.81
板块涨幅,-0.40%
涨幅排名,34/90
涨跌家数,71/108
资金净流入(亿),76.54
成交额(亿),5151.69
