日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-01-02,933.78,945.99,949.42,933.69,1.22,11.39,30156982,19588986042.0,1.68,0.58
2024-01-03,943.64,954.24,954.34,943.08,0.87,8.25,29907153,20310463899.0,1.19,0.58
2024-01-04,954.8,952.13,954.86,946.32,-0.22,-2.11,25350380,17740978297.0,0.89,0.49
2024-01-05,950.85,942.57,956.68,938.89,-1.0,-9.56,27865533,18869003351.0,1.87,0.54
2024-01-08,941.67,928.34,941.67,928.31,-1.51,-14.23,26285497,17345549168.0,1.42,0.51
2024-01-09,927.47,930.69,936.85,924.22,0.25,2.35,23328036,16230513048.0,1.36,0.45
2024-01-10,928.01,924.91,933.08,918.98,-0.62,-5.78,21039051,14481694825.0,1.52,0.41
2024-01-11,922.97,931.3,933.64,921.47,0.69,6.39,26569147,16650652229.0,1.32,0.51
2024-01-12,931.95,939.5,947.09,931.78,0.88,8.2,29136772,18369799122.0,1.64,0.56
2024-01-15,937.41,933.27,940.15,931.29,-0.66,-6.23,25107752,15587775849.0,0.94,0.48
2024-01-16,932.32,927.9,932.63,915.83,-0.58,-5.37,25740837,15997607968.0,1.8,0.5
2024-01-17,926.48,907.9,926.48,907.9,-2.16,-20.0,22128323,14198122583.0,2.0,0.43
2024-01-18,903.08,894.56,903.08,870.35,-1.47,-13.34,35792779,22449458918.0,3.61,0.69
2024-01-19,893.41,883.76,895.87,882.36,-1.21,-10.8,25037823,15732894607.0,1.51,0.48
2024-01-22,882.28,837.21,882.28,832.18,-5.27,-46.55,30795065,19021622269.0,5.67,0.59
2024-01-23,835.88,842.46,845.62,820.25,0.63,5.25,25378556,15358545973.0,3.03,0.49
2024-01-24,844.56,858.01,858.36,828.31,1.85,15.55,27829562,17317816409.0,3.57,0.54
2024-01-25,859.25,892.74,892.8,857.82,4.05,34.73,32960785,21353753347.0,4.08,0.64
2024-01-26,892.66,897.93,904.31,891.63,0.58,5.19,29404304,19877097039.0,1.42,0.57
2024-01-29,898.93,882.49,901.24,881.92,-1.72,-15.44,32502591,21194327054.0,2.15,0.63
