日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-01-02,7035.381,7035.458,6925.206,6927.422,1003518330,34598815000.0
2024-01-03,6902.829,6910.968,6747.251,6795.765,1048345130,35016473000.0
2024-01-04,6786.57,6786.57,6678.107,6709.327,871550290,29912383000.0
2024-01-05,6705.292,6758.432,6519.091,6555.37,984047340,29594317000.0
2024-01-08,6539.586,6539.586,6345.68,6345.68,1023636990,30163687000.0
2024-01-09,6383.143,6458.51,6299.01,6342.872,975679860,29641063000.0
2024-01-10,6328.251,6379.115,6197.954,6274.353,863958500,25695066000.0
2024-01-11,6271.133,6420.448,6256.88,6390.763,920999880,28715468000.0
2024-01-12,6376.554,6396.573,6270.883,6270.883,836234360,25322050000.0
2024-01-15,6246.851,6394.171,6204.042,6308.964,1017394440,31280910000.0
2024-01-16,6300.233,6312.708,6182.223,6277.476,993903600,31107560000.0
2024-01-17,6273.024,6273.024,6081.352,6081.352,865055170,26325018000.0
2024-01-18,6051.599,6125.523,5920.872,6122.122,1299664870,39403141000.0
2024-01-19,6129.789,6199.756,6046.857,6046.857,1047441860,31410974000.0
2024-01-22,6043.3,6063.973,5666.616,5705.281,1278403600,37664698000.0
2024-01-23,5695.079,5793.85,5638.567,5761.999,1185850260,34782317000.0
2024-01-24,5783.75,5801.097,5519.357,5735.917,1261926970,37177186000.0
2024-01-25,5735.302,5949.304,5673.58,5934.045,1351191700,38789047000.0
2024-01-26,5904.493,5907.514,5743.863,5758.31,1315298680,37905125000.0
2024-01-29,5784.705,5848.317,5555.483,5555.483,1271513750,35652234000.0
