排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,猪肉概念,BK0882,1138.75,32.31,2.92,719964944000,2.92,33,3,巨星农牧,9.99
2,EDA概念,BK0946,1737.59,48.7,2.88,290347440000,2.88,7,5,概伦电子,20.01
3,鸡肉概念,BK0887,708.86,19.73,2.86,322574848000,2.28,18,2,巨星农牧,9.99
4,青蒿素,BK0872,1986.36,55.04,2.85,317675376000,2.5,10,1,德龙汇能,9.99
5,CAR-T细胞疗法,BK0986,1146.85,26.47,2.36,677268416000,4.95,20,5,三元基因,13.46
6,红利破净股,BK1636,993.99,20.22,2.08,13729386240000,0.29,45,1,兰花科创,5.05
7,减肥药,BK1146,1247.58,24.78,2.03,1006577328000,3.79,29,10,甘李药业,10.0
8,钛白粉概念,BK0805,1414.92,25.96,1.87,217266336000,2.26,8,4,振华股份,10.0
9,CRO,BK0899,1909.55,34.62,1.85,873489840000,5.01,29,11,诚达药业,12.83
10,红利股,BK1641,945.97,16.74,1.8,18111503360000,0.33,87,11,陕西煤业,7.29
11,船舶制造,BK0729,1230.66,21.21,1.75,774585648000,1.66,9,6,松发股份,10.0
12,重组蛋白,BK1063,961.75,16.24,1.72,253136087000,4.75,15,4,诺思兰德,7.06
13,单抗概念,BK0870,1697.87,27.3,1.63,1739499104000,3.76,42,6,华海药业,9.02
14,维生素,BK0895,1874.55,29.97,1.62,484696384000,3.26,28,5,振华股份,10.0
15,免疫治疗,BK0698,1463.89,21.67,1.5,521576448000,2.72,33,10,热景生物,9.78
16,昨日连板_含一字,BK1051,26230.07,385.03,1.49,314823456000,4.85,25,20,恒尚节能,9.99
17,价值股,BK1640,916.31,13.0,1.44,9251463168000,0.73,81,15,华旺科技,9.98
18,培育钻石,BK1023,3474.27,48.82,1.43,347576816000,5.22,10,7,黄河旋风,10.02
19,生态农业,BK0669,1386.57,19.56,1.43,262816881000,2.48,26,11,庄园牧场,9.99
20,创新药,BK1106,1442.77,19.73,1.39,3823744928000,3.38,130,49,罗欣药业,9.98
