项目,值
今开,1874.09
昨收,1870.23
最低,1837.06
最高,1882.82
成交量(万手),9701.31
板块涨幅,-1.49%
涨幅排名,201/389
涨跌家数,85/256
资金净流入(亿),-64.24
成交额(亿),2706.49
