label_id,threshold_id,cluster_split_bucket,horizon_sessions,labelable_step_n,positive_step_n,negative_step_n,neutral_step_n,positive_rate,negative_rate,neutral_rate,effective_sample_size_nonoverlap,positive_effective_sample_size,negative_effective_sample_size,episode_cluster_n,anchor_n_reference_only,base_rate_status
continuation_survival_h20_no_deep_drawdown,up100pct,train,5,55652,28816,2464,24372,0.517789118090994,0.04427513835980738,0.43793574354919856,55652,28816,2464,383,4575067,pass
continuation_progress_h20_positive_path,up100pct,train,5,55652,28008,2464,25180,0.5032703227197585,0.04427513835980738,0.45245453892043414,55652,28008,2464,383,4575067,pass
continuation_survival_h20_no_episode_break,up100pct,train,5,55652,55652,0,0,1.0,0.0,0.0,55652,55652,0,383,4575067,pass
continuation_survival_h20_no_deep_drawdown,up100pct,train,8,34712,18101,3135,13476,0.5214623185065683,0.09031458861488822,0.38822309287854345,34712,18101,3135,383,2854715,pass
continuation_progress_h20_positive_path,up100pct,train,8,34712,17788,3135,13789,0.5124452638856879,0.09031458861488822,0.3972401474994238,34712,17788,3135,383,2854715,pass
continuation_survival_h20_no_episode_break,up100pct,train,8,34712,34712,0,0,1.0,0.0,0.0,34712,34712,0,383,2854715,pass
continuation_survival_h20_no_deep_drawdown,up100pct,train,13,21282,10976,3519,6787,0.5157410017855465,0.16535100084578516,0.31890799736866837,21282,10976,3519,381,1748476,pass
continuation_progress_h20_positive_path,up100pct,train,13,21282,10811,3519,6952,0.507987971055352,0.16535100084578516,0.3266610280988629,21282,10811,3519,381,1748476,pass
continuation_survival_h20_no_episode_break,up100pct,train,13,21282,21282,0,0,1.0,0.0,0.0,21282,21282,0,381,1748476,pass
continuation_survival_h20_no_deep_drawdown,up100pct,train,15,18426,9474,3449,5503,0.5141647671768154,0.18718115706067515,0.2986540757625095,18426,9474,3449,380,1515839,pass
continuation_progress_h20_positive_path,up100pct,train,15,18426,9350,3449,5627,0.5074351459893629,0.18718115706067515,0.30538369694996204,18426,9350,3449,380,1515839,pass
continuation_survival_h20_no_episode_break,up100pct,train,15,18426,18426,0,0,1.0,0.0,0.0,18426,18426,0,380,1515839,pass
continuation_survival_h20_no_deep_drawdown,up100pct,train,20,13774,6977,3444,3353,0.5065340496587774,0.2500363002758821,0.2434296500653405,13774,6977,3444,378,1134030,pass
continuation_progress_h20_positive_path,up100pct,train,20,13774,6912,3444,3418,0.5018150137941049,0.2500363002758821,0.24814868593001307,13774,6912,3444,378,1134030,pass
continuation_survival_h20_no_episode_break,up100pct,train,20,13774,13774,0,0,1.0,0.0,0.0,13774,13774,0,378,1134030,pass
continuation_survival_h20_no_deep_drawdown,up50pct,train,5,81906,42108,3239,36559,0.5141015310233682,0.039545332454276855,0.4463531365223549,81906,42108,3239,667,8508786,pass
continuation_progress_h20_positive_path,up50pct,train,5,81906,40729,3239,37938,0.4972651576197104,0.039545332454276855,0.46318950992601277,81906,40729,3239,667,8508786,pass
continuation_survival_h20_no_episode_break,up50pct,train,5,81906,81906,0,0,1.0,0.0,0.0,81906,81906,0,667,8508786,pass
continuation_survival_h20_no_deep_drawdown,up50pct,train,8,51062,26435,4302,20325,0.5177039677255102,0.08425051897693,0.3980455132975598,51062,26435,4302,667,5308096,pass
continuation_progress_h20_positive_path,up50pct,train,8,51062,25810,4302,20950,0.5054639457913909,0.08425051897693,0.41028553523167915,51062,25810,4302,667,5308096,pass
continuation_survival_h20_no_episode_break,up50pct,train,8,51062,51062,0,0,1.0,0.0,0.0,51062,51062,0,667,5308096,pass
continuation_survival_h20_no_deep_drawdown,up50pct,train,13,31281,15895,4935,10451,0.508135929158275,0.1577634986093795,0.3341005722323455,31281,15895,4935,660,3252101,pass
continuation_progress_h20_positive_path,up50pct,train,13,31281,15609,4935,10737,0.4989929989450465,0.1577634986093795,0.343243502445574,31281,15609,4935,660,3252101,pass
