label_id,threshold_id,cluster_split_bucket,horizon_sessions,labelable_step_n,positive_step_n,negative_step_n,neutral_step_n,positive_rate,negative_rate,neutral_rate,effective_sample_size_nonoverlap,positive_effective_sample_size,negative_effective_sample_size,episode_cluster_n,anchor_n_reference_only,base_rate_status
continuation_survival_h20_no_deep_drawdown,up100pct,train,20,13774,6977,3444,3353,0.5065340496587774,0.2500363002758821,0.2434296500653405,13774,6977,3444,378,1134030,pass
continuation_progress_h20_positive_path,up100pct,train,20,13774,6912,3444,3418,0.5018150137941049,0.2500363002758821,0.24814868593001307,13774,6912,3444,378,1134030,pass
continuation_survival_h20_no_episode_break,up100pct,train,20,13774,13774,0,0,1.0,0.0,0.0,13774,13774,0,378,1134030,pass
continuation_survival_h20_no_deep_drawdown,up50pct,train,20,20245,10078,4884,5283,0.49780192640158066,0.24124475179056556,0.2609533218078538,20245,10078,4884,652,2107209,pass
continuation_progress_h20_positive_path,up50pct,train,20,20245,9954,4884,5407,0.4916769572734008,0.24124475179056556,0.2670782909360336,20245,9954,4884,652,2107209,pass
continuation_survival_h20_no_episode_break,up50pct,train,20,20245,20245,0,0,1.0,0.0,0.0,20245,20245,0,652,2107209,pass
continuation_survival_h20_no_deep_drawdown,up150pct,train,20,8597,4459,2146,1992,0.5186693032453181,0.2496219611492381,0.23170873560544375,8597,4459,2146,233,632090,pass
continuation_progress_h20_positive_path,up150pct,train,20,8597,4427,2146,2024,0.5149470745608933,0.2496219611492381,0.23543096428986857,8597,4427,2146,233,632090,pass
continuation_survival_h20_no_episode_break,up150pct,train,20,8597,8597,0,0,1.0,0.0,0.0,8597,8597,0,233,632090,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,20,2496,1346,526,624,0.5392628205128205,0.2107371794871795,0.25,2496,1346,526,204,194442,pass
continuation_progress_h20_positive_path,up50pct,robustness,20,2496,1336,526,634,0.5352564102564102,0.2107371794871795,0.25400641025641024,2496,1336,526,204,194442,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,20,2496,2496,0,0,1.0,0.0,0.0,2496,2496,0,204,194442,pass
continuation_survival_h20_no_deep_drawdown,up100pct,robustness,20,1355,737,326,292,0.5439114391143911,0.24059040590405903,0.2154981549815498,1355,737,326,87,114999,pass
continuation_progress_h20_positive_path,up100pct,robustness,20,1355,736,326,293,0.5431734317343173,0.24059040590405903,0.21623616236162363,1355,736,326,87,114999,pass
continuation_survival_h20_no_episode_break,up100pct,robustness,20,1355,1355,0,0,1.0,0.0,0.0,1355,1355,0,87,114999,pass
continuation_survival_h20_no_deep_drawdown,up150pct,robustness,20,906,525,205,176,0.5794701986754967,0.22626931567328917,0.19426048565121412,906,525,205,54,77032,pass
continuation_progress_h20_positive_path,up150pct,robustness,20,906,524,205,177,0.5783664459161147,0.22626931567328917,0.19536423841059603,906,524,205,54,77032,pass
continuation_survival_h20_no_episode_break,up150pct,robustness,20,906,906,0,0,1.0,0.0,0.0,906,906,0,54,77032,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,20,664,325,180,159,0.4894578313253012,0.2710843373493976,0.2394578313253012,664,325,180,41,20856,pass
continuation_progress_h20_positive_path,up50pct,validation,20,664,323,180,161,0.4864457831325301,0.2710843373493976,0.24246987951807228,664,323,180,41,20856,pass
continuation_survival_h20_no_episode_break,up50pct,validation,20,664,664,0,0,1.0,0.0,0.0,664,664,0,41,20856,pass
continuation_survival_h20_no_deep_drawdown,up100pct,validation,20,129,66,41,22,0.5116279069767442,0.3178294573643411,0.17054263565891473,129,66,41,8,2106,pass
continuation_progress_h20_positive_path,up100pct,validation,20,129,66,41,22,0.5116279069767442,0.3178294573643411,0.17054263565891473,129,66,41,8,2106,pass
continuation_survival_h20_no_episode_break,up100pct,validation,20,129,129,0,0,1.0,0.0,0.0,129,129,0,8,2106,pass
continuation_survival_h20_no_deep_drawdown,up150pct,validation,20,82,42,28,12,0.5121951219512195,0.34146341463414637,0.14634146341463414,82,42,28,5,1425,pass
continuation_progress_h20_positive_path,up150pct,validation,20,82,42,28,12,0.5121951219512195,0.34146341463414637,0.14634146341463414,82,42,28,5,1425,pass
continuation_survival_h20_no_episode_break,up150pct,validation,20,82,82,0,0,1.0,0.0,0.0,82,82,0,5,1425,pass
