label_id,threshold_id,known_failed_family,overlap_source,cluster_split_bucket,horizon_sessions,positive_step_n,failed_family_positive_step_n,failed_family_positive_share,all_step_failed_family_share,share_delta,hard_projection_coverage,soft_overlap_coverage,soft_overlap_status,overlap_status,blocking_reason
continuation_survival_h20_no_deep_drawdown,up100pct,choppy_reversal_winner,hard_15b_taxonomy,train,5,28816,50,0.0017351471404775125,0.001994537482929634,-0.00025939034245212153,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,late_rescue_winner,hard_15b_taxonomy,train,5,28816,15970,0.5542059966685174,0.5693595917487242,-0.01515359508020675,1.0,0.2,soft_overlap_partial_coverage_caveat,episode_context_exposure_caveat,nonblocking_episode_context_exposure_caveat
continuation_survival_h20_no_deep_drawdown,up100pct,jump_repricing_winner,hard_15b_taxonomy,train,5,28816,103,0.0035744031093836756,0.0036836052612664416,-0.000109202151882766,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,unclassified_mixed_path,hard_15b_taxonomy,train,5,28816,3794,0.13166296501943364,0.13322072881477753,-0.0015577637953438916,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,choppy_reversal_winner,hard_15b_taxonomy,train,8,18101,28,0.0015468758632119772,0.001987785203964047,-0.00044090934075206997,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,late_rescue_winner,hard_15b_taxonomy,train,8,18101,9879,0.5457709518811116,0.5698605669509104,-0.024089615069798787,1.0,0.2,soft_overlap_partial_coverage_caveat,episode_context_exposure_caveat,nonblocking_episode_context_exposure_caveat
continuation_survival_h20_no_deep_drawdown,up100pct,jump_repricing_winner,hard_15b_taxonomy,train,8,18101,68,0.003756698524943373,0.0036586771145425212,9.802141040085198e-05,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,unclassified_mixed_path,hard_15b_taxonomy,train,8,18101,2416,0.1334732887685763,0.13297994929707305,0.0004933394715032624,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,choppy_reversal_winner,hard_15b_taxonomy,train,13,10976,18,0.0016399416909620992,0.002020486796353726,-0.000380545105391627,1.0,0.2,soft_overlap_partial_coverage_caveat,pass,
continuation_survival_h20_no_deep_drawdown,up100pct,late_rescue_winner,hard_15b_taxonomy,train,13,10976,6000,0.5466472303206997,0.5710459543276007,-0.024398724006901018,1.0,0.2,soft_overlap_partial_coverage_caveat,episode_context_exposure_caveat,nonblocking_episode_context_exposure_caveat
