instrument,qfq_path,qfq_row_n,required_by_labelable_step_n,missing_qfq_file_flag,missing_required_columns,nonfinite_close_n,nonpositive_close_n,step_bounds_out_of_qfq_n,qfq_row_n_15a,qfq_row_n_15b,qfq_price_source_status,blocking_reason
SH600273,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600273.csv,2189,850,False,,0,0,0,2189,2189,pass,
SH600276,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600276.csv,2281,441,False,,0,0,0,2281,2281,pass,
SH600298,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600298.csv,2281,1109,False,,0,0,0,2281,2281,pass,
SH600305,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600305.csv,2281,285,False,,0,0,0,2281,2281,pass,
SH600309,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600309.csv,2156,859,False,,0,0,0,2156,2156,pass,
SH600315,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600315.csv,2269,896,False,,0,0,0,2269,2269,pass,
SH600316,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600316.csv,2281,142,False,,0,0,0,2281,2281,pass,
SH600323,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600323.csv,2279,1573,False,,0,0,0,2279,2279,pass,
SH600325,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600325.csv,2278,1293,False,,0,0,0,2278,2278,pass,
SH600338,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600338.csv,2274,1323,False,,0,0,0,2274,2274,pass,
SH600339,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600339.csv,2279,1743,False,,0,0,0,2279,2279,pass,
SH600346,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600346.csv,2218,1164,False,,0,0,0,2218,2218,pass,
SH600352,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600352.csv,2281,330,False,,0,0,0,2281,2281,pass,
SH600399,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600399.csv,2072,285,False,,0,0,0,2072,2072,pass,
SH600409,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600409.csv,2281,1109,False,,0,0,0,2281,2281,pass,
SH600410,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600410.csv,2271,2878,False,,0,0,0,2271,2271,pass,
SH600435,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600435.csv,2281,2815,False,,0,0,0,2281,2281,pass,
SH600436,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600436.csv,2281,1326,False,,0,0,0,2281,2281,pass,
SH600446,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600446.csv,2266,307,False,,0,0,0,2266,2266,pass,
SH600460,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600460.csv,2205,1583,False,,0,0,0,2205,2205,pass,
SH600486,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600486.csv,2276,1155,False,,0,0,0,2276,2276,pass,
SH600498,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600498.csv,2281,396,False,,0,0,0,2281,2281,pass,
SH600499,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600499.csv,2271,1867,False,,0,0,0,2271,2271,pass,
SH600500,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600500.csv,2272,916,False,,0,0,0,2272,2272,pass,
SH600511,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600511.csv,2276,962,False,,0,0,0,2276,2276,pass,
SH600515,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600515.csv,2142,915,False,,0,0,0,2142,2142,pass,
SH600516,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600516.csv,2279,525,False,,0,0,0,2279,2279,pass,
SH600519,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600519.csv,2281,1164,False,,0,0,0,2281,2281,pass,
SH600529,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600529.csv,2281,300,False,,0,0,0,2281,2281,pass,
