instrument,qfq_row_n,upstream_15a_price_path_status,upstream_15b_price_path_status,qfq_price_source_status,required_labelable_step_n,max_step_end_pos,step_bounds_out_of_qfq_n,price_path_status,blocking_reason
SH600004,2281,pass,pass,pass,296,670,0,pass,
SH600009,2270,pass,pass,pass,406,645,0,pass,
SH600010,2272,pass,pass,pass,1192,1126,0,pass,
SH600019,2262,pass,pass,pass,707,1123,0,pass,
SH600031,2281,pass,pass,pass,133,1000,0,pass,
SH600036,2281,pass,pass,pass,846,1074,0,pass,
SH600037,2275,pass,pass,pass,444,848,0,pass,
SH600038,2271,pass,pass,pass,997,1215,0,pass,
SH600056,2281,pass,pass,pass,1446,1272,0,pass,
SH600062,2281,pass,pass,pass,1485,1298,0,pass,
SH600095,2261,pass,pass,pass,80,1058,0,pass,
SH600132,2281,pass,pass,pass,1212,1107,0,pass,
SH600143,2200,pass,pass,pass,1155,914,0,pass,
SH600161,2186,pass,pass,pass,960,775,0,pass,
SH600166,2281,pass,pass,pass,1143,1138,0,pass,
SH600185,2266,pass,pass,pass,893,840,0,pass,
SH600196,2281,pass,pass,pass,1382,2110,0,pass,
SH600201,2279,pass,pass,pass,470,872,0,pass,
SH600211,2281,pass,pass,pass,6,869,0,pass,
SH600221,2150,pass,pass,pass,318,1774,0,pass,
SH600273,2189,pass,pass,pass,850,2125,0,pass,
SH600276,2281,pass,pass,pass,441,976,0,pass,
SH600298,2281,pass,pass,pass,1109,2178,0,pass,
SH600305,2281,pass,pass,pass,285,885,0,pass,
SH600309,2156,pass,pass,pass,859,2100,0,pass,
SH600315,2269,pass,pass,pass,896,1078,0,pass,
SH600316,2281,pass,pass,pass,142,1116,0,pass,
SH600323,2279,pass,pass,pass,1573,2257,0,pass,
SH600325,2278,pass,pass,pass,1293,1517,0,pass,
SH600338,2274,pass,pass,pass,1323,1128,0,pass,
SH600339,2279,pass,pass,pass,1743,2220,0,pass,
SH600346,2218,pass,pass,pass,1164,939,0,pass,
SH600352,2281,pass,pass,pass,330,550,0,pass,
SH600399,2072,pass,pass,pass,285,919,0,pass,
SH600409,2281,pass,pass,pass,1109,1141,0,pass,
SH600410,2271,pass,pass,pass,2878,2215,0,pass,
SH600435,2281,pass,pass,pass,2815,2191,0,pass,
SH600436,2281,pass,pass,pass,1326,1106,0,pass,
SH600446,2266,pass,pass,pass,307,553,0,pass,
SH600460,2205,pass,pass,pass,1583,2200,0,pass,
SH600486,2276,pass,pass,pass,1155,995,0,pass,
SH600498,2281,pass,pass,pass,396,2269,0,pass,
SH600499,2271,pass,pass,pass,1867,2248,0,pass,
SH600500,2272,pass,pass,pass,916,1140,0,pass,
SH600511,2276,pass,pass,pass,962,954,0,pass,
SH600515,2142,pass,pass,pass,915,1006,0,pass,
SH600516,2279,pass,pass,pass,525,1144,0,pass,
SH600519,2281,pass,pass,pass,1164,1002,0,pass,
SH600529,2281,pass,pass,pass,300,867,0,pass,
SH600536,2279,pass,pass,pass,519,853,0,pass,
SH600556,2112,pass,pass,pass,140,717,0,pass,
SH600559,2084,pass,pass,pass,730,778,0,pass,
SH600563,2281,pass,pass,pass,398,1193,0,pass,
SH600570,2279,pass,pass,pass,1287,2097,0,pass,
SH600585,2281,pass,pass,pass,633,866,0,pass,
SH600588,2279,pass,pass,pass,246,2188,0,pass,
SH600596,2267,pass,pass,pass,814,1121,0,pass,
SH600597,2281,pass,pass,pass,621,890,0,pass,
SH600598,2281,pass,pass,pass,842,882,0,pass,
SH600604,2281,pass,pass,pass,423,528,0,pass,
SH600621,2275,pass,pass,pass,624,849,0,pass,
SH600623,2281,pass,pass,pass,786,1147,0,pass,
SH600633,2242,pass,pass,pass,1492,1928,0,pass,
SH600635,2280,pass,pass,pass,1975,2160,0,pass,
SH600640,2281,pass,pass,pass,159,725,0,pass,
SH600641,2201,pass,pass,pass,707,1114,0,pass,
SH600667,2281,pass,pass,pass,1351,2278,0,pass,
SH600685,2157,pass,pass,pass,718,741,0,pass,
SH600702,2269,pass,pass,pass,264,1473,0,pass,
SH600703,2281,pass,pass,pass,1447,2229,0,pass,
SH600704,2281,pass,pass,pass,1119,1087,0,pass,
SH600707,2280,pass,pass,pass,903,1034,0,pass,
SH600733,1857,pass,pass,pass,670,638,0,pass,
SH600739,2274,pass,pass,pass,687,863,0,pass,
SH600740,2269,pass,pass,pass,1071,1129,0,pass,
SH600763,2281,pass,pass,pass,1179,1087,0,pass,
SH600765,2271,pass,pass,pass,332,1183,0,pass,
SH600776,2281,pass,pass,pass,765,2191,0,pass,
SH600779,2279,pass,pass,pass,1337,1154,0,pass,
SH600782,2281,pass,pass,pass,1133,1143,0,pass,
SH600783,2281,pass,pass,pass,2609,2192,0,pass,
SH600808,2281,pass,pass,pass,1172,1142,0,pass,
SH600809,2270,pass,pass,pass,1305,1089,0,pass,
SH600812,2272,pass,pass,pass,216,863,0,pass,
SH600816,2225,pass,pass,pass,457,1851,0,pass,
SH600827,2281,pass,pass,pass,1009,1072,0,pass,
SH600835,2281,pass,pass,pass,2632,2160,0,pass,
SH600859,2156,pass,pass,pass,933,742,0,pass,
SH600862,2281,pass,pass,pass,783,1903,0,pass,
SH600869,2268,pass,pass,pass,2100,2191,0,pass,
SH600872,2281,pass,pass,pass,989,890,0,pass,
SH600884,2281,pass,pass,pass,1699,2263,0,pass,
SH600885,2281,pass,pass,pass,279,2278,0,pass,
SH600893,2270,pass,pass,pass,1389,2213,0,pass,
SH600956,1435,pass,pass,pass,523,1384,0,pass,
SH600958,2259,pass,pass,pass,786,1135,0,pass,
SH600999,2275,pass,pass,pass,747,975,0,pass,
SH601021,2281,pass,pass,pass,842,1069,0,pass,
SH601066,1926,pass,pass,pass,641,1550,0,pass,
SH601098,2281,pass,pass,pass,1481,2007,0,pass,
SH601100,2281,pass,pass,pass,1128,978,0,pass,
SH601106,2279,pass,pass,pass,2535,2190,0,pass,
SH601117,2281,pass,pass,pass,1246,1141,0,pass,
SH601118,2163,pass,pass,pass,1692,2110,0,pass,
SH601136,829,pass,pass,pass,171,456,0,pass,
SH601138,1933,pass,pass,pass,620,1793,0,pass,
SH601139,2281,pass,pass,pass,966,1142,0,pass,
SH601155,2279,pass,pass,pass,858,2202,0,pass,
SH601216,2200,pass,pass,pass,846,792,0,pass,
SH601231,2273,pass,pass,pass,739,2210,0,pass,
SH601233,2281,pass,pass,pass,1023,2219,0,pass,
SH601236,1666,pass,pass,pass,260,1484,0,pass,
SH601319,1825,pass,pass,pass,6,70,0,pass,
SH601360,2159,pass,pass,pass,259,2070,0,pass,
SH601377,2270,pass,pass,pass,991,2168,0,pass,
SH601611,2281,pass,pass,pass,154,2190,0,pass,
SH601618,2281,pass,pass,pass,1143,2127,0,pass,
SH601669,2281,pass,pass,pass,984,1150,0,pass,
SH601788,2281,pass,pass,pass,894,855,0,pass,
SH601799,2281,pass,pass,pass,894,1089,0,pass,
SH601811,2281,pass,pass,pass,1062,1536,0,pass,
SH601866,2270,pass,pass,pass,887,1135,0,pass,
SH601877,2281,pass,pass,pass,1625,2226,0,pass,
SH601888,2281,pass,pass,pass,1326,2194,0,pass,
SH601949,2127,pass,pass,pass,1990,1387,0,pass,
SH601966,2272,pass,pass,pass,451,1167,0,pass,
SH601969,2263,pass,pass,pass,1287,1123,0,pass,
SH601975,1789,pass,pass,pass,826,914,0,pass,
SH601990,1930,pass,pass,pass,534,503,0,pass,
SH603005,2278,pass,pass,pass,111,853,0,pass,
SH603025,2266,pass,pass,pass,797,1061,0,pass,
