label_id,threshold_id,cluster_split_bucket,horizon_sessions,labelable_step_n,positive_step_n,negative_step_n,neutral_step_n,positive_rate,negative_rate,neutral_rate,effective_sample_size_nonoverlap,positive_effective_sample_size,negative_effective_sample_size,episode_cluster_n,anchor_n_reference_only,base_rate_status
continuation_progress_h20_positive_path,up50pct,train,20,20245,9954,4884,5407,0.4916769572734008,0.24124475179056556,0.2670782909360336,20245,9954,4884,652,2107209,pass
continuation_survival_h20_no_episode_break,up50pct,train,20,20245,20245,0,0,1.0,0.0,0.0,20245,20245,0,652,2107209,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,5,10280,5340,343,4597,0.519455252918288,0.03336575875486381,0.44717898832684827,10280,5340,343,209,792910,pass
continuation_progress_h20_positive_path,up50pct,robustness,5,10280,5273,343,4664,0.5129377431906614,0.03336575875486381,0.4536964980544747,10280,5273,343,209,792910,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,5,10280,10280,0,0,1.0,0.0,0.0,10280,10280,0,209,792910,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,8,6385,3402,458,2525,0.5328112764291307,0.07173061863743148,0.39545810493343775,6385,3402,458,208,493666,pass
continuation_progress_h20_positive_path,up50pct,robustness,8,6385,3366,458,2561,0.5271730618637431,0.07173061863743148,0.40109631949882535,6385,3366,458,208,493666,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,8,6385,6385,0,0,1.0,0.0,0.0,6385,6385,0,208,493666,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,13,3881,2072,570,1239,0.5338830198402473,0.1468693635660912,0.3192476165936614,3881,2072,570,206,301823,pass
continuation_progress_h20_positive_path,up50pct,robustness,13,3881,2060,570,1251,0.530791033238856,0.1468693635660912,0.32233960319505284,3881,2060,570,206,301823,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,13,3881,3881,0,0,1.0,0.0,0.0,3881,3881,0,206,301823,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,15,3354,1805,542,1007,0.5381633870005963,0.16159809183064996,0.3002385211687537,3354,1805,542,206,259948,pass
continuation_progress_h20_positive_path,up50pct,robustness,15,3354,1799,542,1013,0.5363744782349433,0.16159809183064996,0.3020274299344067,3354,1799,542,206,259948,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,15,3354,3354,0,0,1.0,0.0,0.0,3354,3354,0,206,259948,pass
continuation_survival_h20_no_deep_drawdown,up50pct,robustness,20,2496,1346,526,624,0.5392628205128205,0.2107371794871795,0.25,2496,1346,526,204,194442,pass
continuation_progress_h20_positive_path,up50pct,robustness,20,2496,1336,526,634,0.5352564102564102,0.2107371794871795,0.25400641025641024,2496,1336,526,204,194442,pass
continuation_survival_h20_no_episode_break,up50pct,robustness,20,2496,2496,0,0,1.0,0.0,0.0,2496,2496,0,204,194442,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,5,2729,1343,112,1274,0.4921216562843532,0.041040674239648224,0.46683766947599853,2729,1343,112,45,85435,pass
continuation_progress_h20_positive_path,up50pct,validation,5,2729,1323,112,1294,0.48479296445584463,0.041040674239648224,0.4741663613045071,2729,1323,112,45,85435,pass
continuation_survival_h20_no_episode_break,up50pct,validation,5,2729,2729,0,0,1.0,0.0,0.0,2729,2729,0,45,85435,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,8,1698,844,155,699,0.49705535924617195,0.09128386336866902,0.411660777385159,1698,844,155,45,53255,pass
continuation_progress_h20_positive_path,up50pct,validation,8,1698,830,155,713,0.48881036513545345,0.09128386336866902,0.4199057714958775,1698,830,155,45,53255,pass
continuation_survival_h20_no_episode_break,up50pct,validation,8,1698,1698,0,0,1.0,0.0,0.0,1698,1698,0,45,53255,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,13,1036,519,184,333,0.500965250965251,0.1776061776061776,0.32142857142857145,1036,519,184,45,32548,pass
continuation_progress_h20_positive_path,up50pct,validation,13,1036,519,184,333,0.500965250965251,0.1776061776061776,0.32142857142857145,1036,519,184,45,32548,pass
continuation_survival_h20_no_episode_break,up50pct,validation,13,1036,1036,0,0,1.0,0.0,0.0,1036,1036,0,45,32548,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,15,895,429,177,289,0.4793296089385475,0.19776536312849163,0.3229050279329609,895,429,177,45,28048,pass
continuation_progress_h20_positive_path,up50pct,validation,15,895,421,177,297,0.47039106145251397,0.19776536312849163,0.3318435754189944,895,421,177,45,28048,pass
continuation_survival_h20_no_episode_break,up50pct,validation,15,895,895,0,0,1.0,0.0,0.0,895,895,0,45,28048,pass
continuation_survival_h20_no_deep_drawdown,up50pct,validation,20,664,325,180,159,0.4894578313253012,0.2710843373493976,0.2394578313253012,664,325,180,41,20856,pass
continuation_progress_h20_positive_path,up50pct,validation,20,664,323,180,161,0.4864457831325301,0.2710843373493976,0.24246987951807228,664,323,180,41,20856,pass
continuation_survival_h20_no_episode_break,up50pct,validation,20,664,664,0,0,1.0,0.0,0.0,664,664,0,41,20856,pass
