code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap
601398,工商银行,SH601398,SH,2025-12-31,2025-12-31,7.93,2015-02-12,356406257089.0,stock_zh_a_gbjg_em,2826301618715.77
601288,农业银行,SH601288,SH,2025-12-31,2025-12-31,7.68,2023-07-03,349983033873.0,stock_zh_a_gbjg_em,2687869700144.64
601939,建设银行,SH601939,SH,2025-12-31,2025-12-31,9.28,2025-06-24,261600381459.0,stock_zh_a_gbjg_em,2427651539939.52
600941,中国移动,SH600941,SH,2025-12-31,2025-12-31,101.05,2025-12-31,21644606612.0,stock_zh_a_gbjg_em,2187187498142.5999
601857,中国石油,SH601857,SH,2025-12-31,2025-12-31,10.41,2013-11-08,183020977818.0,stock_zh_a_gbjg_em,1905248379085.3801
601988,中国银行,SH601988,SH,2025-12-31,2025-12-31,5.73,2025-06-17,322212411814.0,stock_zh_a_gbjg_em,1846277119694.2202
600519,贵州茅台,SH600519,SH,2025-12-31,2025-12-31,1377.18,2025-09-01,1252270215.0,stock_zh_a_gbjg_em,1724601494693.7002
600938,中国海油,SH600938,SH,2025-12-31,2025-12-31,30.18,2025-04-21,47529953984.0,stock_zh_a_gbjg_em,1434454011237.1199
601628,中国人寿,SH601628,SH,2025-12-31,2025-12-31,45.5,2010-01-11,28264705000.0,stock_zh_a_gbjg_em,1286044077500.0
601318,中国平安,SH601318,SH,2025-12-31,2025-12-31,68.4,2025-09-03,18107641995.0,stock_zh_a_gbjg_em,1238562712458.0
601138,工业富联,SH601138,SH,2025-12-31,2025-12-31,62.05,2025-12-31,19858195781.0,stock_zh_a_gbjg_em,1232201048211.05
600036,招商银行,SH600036,SH,2025-12-31,2025-12-31,42.1,2013-10-02,25219845601.0,stock_zh_a_gbjg_em,1061755499802.1
601899,紫金矿业,SH601899,SH,2025-12-31,2025-12-31,34.47,2025-12-18,26589733140.0,stock_zh_a_gbjg_em,916548101335.7999
002594,比亚迪,SZ002594,SZ,2025-12-31,2025-12-31,97.72,2025-12-31,9117197565.0,stock_zh_a_gbjg_em,890932546051.8
601088,中国神华,SH601088,SH,2025-12-31,2025-12-31,40.5,2021-03-08,19868519955.0,stock_zh_a_gbjg_em,804675058177.5
600028,中国石化,SH600028,SH,2025-12-31,2025-12-31,6.18,2025-12-30,120925514222.0,stock_zh_a_gbjg_em,747319677891.96
600900,长江电力,SH600900,SH,2025-12-31,2025-12-31,27.19,2024-02-20,24468217716.0,stock_zh_a_gbjg_em,665290839698.04
601658,邮储银行,SH601658,SH,2025-12-31,2025-12-31,5.45,2025-06-30,120095053492.0,stock_zh_a_gbjg_em,654518041531.4
601328,交通银行,SH601328,SH,2025-12-31,2025-12-31,7.25,2025-06-30,88363784223.0,stock_zh_a_gbjg_em,640637435616.75
601728,中国电信,SH601728,SH,2025-12-31,2025-12-31,6.3,2025-02-20,91507138699.0,stock_zh_a_gbjg_em,576494973803.7
601166,兴业银行,SH601166,SH,2025-12-31,2025-12-31,21.06,2025-12-31,21162855196.0,stock_zh_a_gbjg_em,445689730427.75995
601998,中信银行,SH601998,SH,2025-12-31,2025-12-31,7.7,2025-03-03,55645162264.0,stock_zh_a_gbjg_em,428467749432.8
603993,洛阳钼业,SH603993,SH,2025-12-31,2025-12-31,20.0,2025-07-16,21394310176.0,stock_zh_a_gbjg_em,427886203520.0
600030,中信证券,SH600030,SH,2025-12-31,2025-12-31,28.71,2024-09-11,14820546829.0,stock_zh_a_gbjg_em,425497899460.59
600000,浦发银行,SH600000,SH,2025-12-31,2025-12-31,12.44,2025-10-27,33305838300.0,stock_zh_a_gbjg_em,414324628452.0
002475,立讯精密,SZ002475,SZ,2025-12-31,2025-12-31,56.71,2025-12-31,7285822884.0,stock_zh_a_gbjg_em,413179015751.64
000858,五 粮 液,SZ000858,SZ,2025-12-31,2025-12-31,105.94,2025-12-31,3881608005.0,stock_zh_a_gbjg_em,411217552049.7
601601,中国太保,SH601601,SH,2025-12-31,2025-12-31,41.91,2020-07-06,9620341455.0,stock_zh_a_gbjg_em,403188510379.05
601319,中国人保,SH601319,SH,2025-12-31,2025-12-31,8.95,2022-09-26,44223990583.0,stock_zh_a_gbjg_em,395804715717.85
600276,恒瑞医药,SH600276,SH,2025-12-31,2025-12-31,59.57,2025-06-24,6637199874.0,stock_zh_a_gbjg_em,395377996494.18
601211,国泰海通,SH601211,SH,2025-12-31,2025-12-31,20.55,2025-08-15,17628925829.0,stock_zh_a_gbjg_em,362274425785.95
002371,北方华创,SZ002371,SZ,2025-12-31,2025-12-31,459.08,2025-12-31,724608405.0,stock_zh_a_gbjg_em,332653226567.39996
002714,牧原股份,SZ002714,SZ,2025-12-31,2025-12-31,50.58,2025-12-31,5462771148.0,stock_zh_a_gbjg_em,276306964665.83997
002415,海康威视,SZ002415,SZ,2025-12-31,2025-12-31,29.84,2025-12-31,9164871550.0,stock_zh_a_gbjg_em,273479767052.0
603259,药明康德,SH603259,SH,2025-12-31,2025-12-31,90.64,2025-10-10,2983757155.0,stock_zh_a_gbjg_em,270447748529.2
600930,华电新能,SH600930,SH,2025-12-31,2025-12-31,6.29,2025-08-14,41714285714.0,stock_zh_a_gbjg_em,262382857141.06
601816,京沪高铁,SH601816,SH,2025-12-31,2025-12-31,5.15,2025-06-03,48925679370.0,stock_zh_a_gbjg_em,251967248755.50003
600150,中国船舶,SH600150,SH,2025-12-31,2025-12-31,33.26,2025-12-31,7525621288.0,stock_zh_a_gbjg_em,250302164038.87997
600690,海尔智家,SH600690,SH,2025-12-31,2025-12-31,26.09,2025-12-16,9377629650.0,stock_zh_a_gbjg_em,244662357568.5
600309,万华化学,SH600309,SH,2025-12-31,2025-12-31,76.68,2025-07-14,3130471626.0,stock_zh_a_gbjg_em,240044564281.68002
601919,中远海控,SH601919,SH,2025-12-31,2025-12-31,15.18,2025-12-31,15489882673.0,stock_zh_a_gbjg_em,235136418976.13998
002050,三花智控,SZ002050,SZ,2025-12-31,2025-12-31,55.31,2025-12-31,4208013935.0,stock_zh_a_gbjg_em,232745250744.85
000651,格力电器,SZ000651,SZ,2025-12-31,2025-12-31,40.22,2025-12-31,5601405741.0,stock_zh_a_gbjg_em,225288538903.02
000001,平安银行,SZ000001,SZ,2025-12-31,2025-12-31,11.41,2025-06-30,19405918198.0,stock_zh_a_gbjg_em,221421526639.18
601336,新华保险,SH601336,SH,2025-12-31,2025-12-31,69.7,2014-12-16,3119546600.0,stock_zh_a_gbjg_em,217432398020.0
603288,海天味业,SH603288,SH,2025-12-31,2025-12-31,37.02,2025-07-21,5851824944.0,stock_zh_a_gbjg_em,216634559426.88
601688,华泰证券,SH601688,SH,2025-12-31,2025-12-31,23.59,2025-09-11,9026863786.0,stock_zh_a_gbjg_em,212943716711.74
601668,中国建筑,SH601668,SH,2025-12-31,2025-12-31,5.13,2025-01-07,41320390444.0,stock_zh_a_gbjg_em,211973602977.72
601127,赛力斯,SH601127,SH,2025-12-31,2025-12-31,120.96,2025-11-05,1741985086.0,stock_zh_a_gbjg_em,210710516002.56
601600,中国铝业,SH601600,SH,2025-12-31,2025-12-31,12.22,2025-12-23,17155632078.0,stock_zh_a_gbjg_em,209641823993.16
600809,山西汾酒,SH600809,SH,2025-12-31,2025-12-31,171.7,2023-05-09,1219964222.0,stock_zh_a_gbjg_em,209467856917.4
601066,中信建投,SH601066,SH,2025-12-31,2025-12-31,26.77,2024-12-02,7756694797.0,stock_zh_a_gbjg_em,207646719715.69
601225,陕西煤业,SH601225,SH,2025-12-31,2025-12-31,21.32,2021-07-29,9695000000.0,stock_zh_a_gbjg_em,206697400000.0
601818,光大银行,SH601818,SH,2025-12-31,2025-12-31,3.49,2023-03-16,59085551061.0,stock_zh_a_gbjg_em,206208573202.89
601766,中国中车,SH601766,SH,2025-12-31,2025-12-31,6.82,2020-01-17,28698864088.0,stock_zh_a_gbjg_em,195726253080.16
601888,中国中免,SH601888,SH,2025-12-31,2025-12-31,94.56,2022-09-21,2068859044.0,stock_zh_a_gbjg_em,195631311200.64
600031,三一重工,SH600031,SH,2025-12-31,2025-12-31,21.13,2025-11-26,9195004437.0,stock_zh_a_gbjg_em,194290443753.81
601633,长城汽车,SH601633,SH,2025-12-31,2025-12-31,22.63,2025-12-31,8557872087.0,stock_zh_a_gbjg_em,193664645328.81
002352,顺丰控股,SZ002352,SZ,2025-12-31,2025-12-31,38.32,2025-12-31,5039430409.0,stock_zh_a_gbjg_em,193110973272.88
600919,江苏银行,SH600919,SH,2025-12-31,2025-12-31,10.4,2024-08-02,18351324463.0,stock_zh_a_gbjg_em,190853774415.2
600362,江西铜业,SH600362,SH,2025-12-31,2025-12-31,54.92,2010-10-08,3462729405.0,stock_zh_a_gbjg_em,190173098922.6
003816,中国广核,SZ003816,SZ,2025-12-31,2025-12-31,3.76,2022-08-29,50498611100.0,stock_zh_a_gbjg_em,189874777736.0
002142,宁波银行,SZ002142,SZ,2025-12-31,2025-12-31,28.09,2025-12-31,6603590792.0,stock_zh_a_gbjg_em,185494865347.28
000063,中兴通讯,SZ000063,SZ,2025-12-31,2025-12-31,37.84,2025-12-12,4783534887.0,stock_zh_a_gbjg_em,181008960124.08002
600887,伊利股份,SH600887,SH,2025-12-31,2025-12-31,28.6,2025-05-20,6325360667.0,stock_zh_a_gbjg_em,180905315076.2
600406,国电南瑞,SH600406,SH,2025-12-31,2025-12-31,22.48,2025-12-29,8031756156.0,stock_zh_a_gbjg_em,180553878386.88
600547,山东黄金,SH600547,SH,2025-12-31,2025-12-31,38.71,2025-09-09,4609929525.0,stock_zh_a_gbjg_em,178450371912.75
601985,中国核电,SH601985,SH,2025-12-31,2025-12-31,8.65,2025-01-10,20568002074.0,stock_zh_a_gbjg_em,177913217940.1
600104,上汽集团,SH600104,SH,2025-12-31,2025-12-31,15.22,2025-08-29,11495277504.0,stock_zh_a_gbjg_em,174958123610.88
600183,生益科技,SH600183,SH,2025-12-31,2025-12-31,71.41,2025-10-31,2429119230.0,stock_zh_a_gbjg_em,173463404214.3
601881,中国银河,SH601881,SH,2025-12-31,2025-12-31,15.72,2023-12-18,10934402256.0,stock_zh_a_gbjg_em,171888803464.32
000568,泸州老窖,SZ000568,SZ,2025-12-31,2025-12-31,116.22,2025-11-22,1471941963.0,stock_zh_a_gbjg_em,171069094939.86
600025,华能水电,SH600025,SH,2025-12-31,2025-12-31,9.08,2025-12-31,18631094257.0,stock_zh_a_gbjg_em,169170335853.56
600660,福耀玻璃,SH600660,SH,2025-12-31,2025-12-31,64.77,2021-05-10,2609743532.0,stock_zh_a_gbjg_em,169033088567.63998
601995,中金公司,SH601995,SH,2025-12-31,2025-12-31,35.0,2023-11-30,4827256868.0,stock_zh_a_gbjg_em,168953990380.0
600016,民生银行,SH600016,SH,2025-12-31,2025-12-31,3.83,2018-07-05,43782418502.0,stock_zh_a_gbjg_em,167686662862.66
000776,广发证券,SZ000776,SZ,2025-12-31,2025-12-31,22.02,2025-02-25,7605845511.0,stock_zh_a_gbjg_em,167480718152.22
600111,北方稀土,SH600111,SH,2025-12-31,2025-12-31,46.12,2022-12-27,3615065842.0,stock_zh_a_gbjg_em,166726836633.03998
601898,中煤能源,SH601898,SH,2025-12-31,2025-12-31,12.44,2014-02-07,13258663400.0,stock_zh_a_gbjg_em,164937772696.0
601111,中国国航,SH601111,SH,2025-12-31,2025-12-31,9.37,2024-12-10,17448421000.0,stock_zh_a_gbjg_em,163491704770.0
600019,宝钢股份,SH600019,SH,2025-12-31,2025-12-31,7.45,2025-07-24,21782084749.0,stock_zh_a_gbjg_em,162276531380.05002
600050,中国联通,SH600050,SH,2025-12-31,2025-12-31,5.11,2025-03-18,31264425327.0,stock_zh_a_gbjg_em,159761213420.97
600760,中航沈飞,SH600760,SH,2025-12-31,2025-12-31,56.15,2025-07-28,2835094714.0,stock_zh_a_gbjg_em,159190568191.1
600346,恒力石化,SH600346,SH,2025-12-31,2025-12-31,22.53,2021-02-08,7039099786.0,stock_zh_a_gbjg_em,158590918178.58002
000725,京东方Ａ,SZ000725,SZ,2025-12-31,2025-12-31,4.21,2025-12-31,37413880464.0,stock_zh_a_gbjg_em,157512436753.44
002384,东山精密,SZ002384,SZ,2025-12-31,2025-12-31,84.65,2025-06-27,1831607532.0,stock_zh_a_gbjg_em,155045577583.80002
002916,深南电路,SZ002916,SZ,2025-12-31,2025-12-31,232.29,2025-12-31,666740795.0,stock_zh_a_gbjg_em,154877219270.55
603501,豪威集团,SH603501,SH,2025-12-31,2025-12-31,125.9,2025-12-31,1209759889.0,stock_zh_a_gbjg_em,152308770025.1
601698,中国卫通,SH601698,SH,2025-12-31,2025-12-31,35.73,2023-04-24,4224385412.0,stock_zh_a_gbjg_em,150937290770.75998
000338,潍柴动力,SZ000338,SZ,2025-12-31,2025-12-31,17.2,2025-12-31,8713581296.0,stock_zh_a_gbjg_em,149873598291.19998
000792,盐湖股份,SZ000792,SZ,2025-12-31,2025-12-31,28.16,2025-12-31,5291572541.0,stock_zh_a_gbjg_em,149010682754.56
601100,恒立液压,SH601100,SH,2025-12-31,2025-12-31,109.91,2023-07-07,1340820992.0,stock_zh_a_gbjg_em,147369635230.72
600029,南方航空,SH600029,SH,2025-12-31,2025-12-31,8.01,2025-12-31,18120922035.0,stock_zh_a_gbjg_em,145148585500.35
600999,招商证券,SH600999,SH,2025-12-31,2025-12-31,16.64,2020-08-20,8696526806.0,stock_zh_a_gbjg_em,144710206051.84
600989,宝丰能源,SH600989,SH,2025-12-31,2025-12-31,19.63,2023-01-12,7333360000.0,stock_zh_a_gbjg_em,143953856800.0
601229,上海银行,SH601229,SH,2025-12-31,2025-12-31,10.1,2025-12-31,14209010070.0,stock_zh_a_gbjg_em,143511001707.0
603986,兆易创新,SH603986,SH,2025-12-31,2025-12-31,214.25,2025-12-22,667849351.0,stock_zh_a_gbjg_em,143086723451.75
601009,南京银行,SH601009,SH,2025-12-31,2025-12-31,11.43,2025-07-17,12363567245.0,stock_zh_a_gbjg_em,141315573610.35
002463,沪电股份,SZ002463,SZ,2025-12-31,2025-12-31,73.07,2025-09-30,1924363537.0,stock_zh_a_gbjg_em,140613243648.59
605499,东鹏饮料,SH605499,SH,2025-12-31,2025-12-31,267.39,2024-10-09,520013000.0,stock_zh_a_gbjg_em,139046276070.0
601012,隆基绿能,SH601012,SH,2025-12-31,2025-12-31,18.2,2025-12-31,7578064239.0,stock_zh_a_gbjg_em,137920769149.8
000425,徐工机械,SZ000425,SZ,2025-12-31,2025-12-31,11.58,2025-12-31,11752972482.0,stock_zh_a_gbjg_em,136099421341.56
002736,国信证券,SZ002736,SZ,2025-12-31,2025-12-31,13.12,2025-12-31,10241743060.0,stock_zh_a_gbjg_em,134371668947.2
601689,拓普集团,SH601689,SH,2025-12-31,2025-12-31,77.18,2025-03-13,1737835580.0,stock_zh_a_gbjg_em,134126150064.40001
601800,中国交建,SH601800,SH,2025-12-31,2025-12-31,8.24,2025-11-28,16274644225.0,stock_zh_a_gbjg_em,134103068414.0
601727,上海电气,SH601727,SH,2025-12-31,2025-12-31,8.61,2025-08-15,15540121636.0,stock_zh_a_gbjg_em,133800447285.95999
601390,中国中铁,SH601390,SH,2025-12-31,2025-12-31,5.41,2025-11-24,24686285629.0,stock_zh_a_gbjg_em,133552805252.89
000408,藏格矿业,SZ000408,SZ,2025-12-31,2025-12-31,84.4,2025-12-31,1570225745.0,stock_zh_a_gbjg_em,132527052878.00002
600115,中国东航,SH600115,SH,2025-12-31,2025-12-31,6.0,2025-11-11,22087736670.0,stock_zh_a_gbjg_em,132526420020.0
600188,兖矿能源,SH600188,SH,2025-12-31,2025-12-31,13.15,2025-04-29,10037480544.0,stock_zh_a_gbjg_em,131992869153.6
000166,申万宏源,SZ000166,SZ,2025-12-31,2025-12-31,5.27,2020-07-31,25039944560.0,stock_zh_a_gbjg_em,131960507831.2
002460,赣锋锂业,SZ002460,SZ,2025-12-31,2025-12-31,62.89,2025-12-31,2096694404.0,stock_zh_a_gbjg_em,131861111067.56
603799,华友钴业,SH603799,SH,2025-12-31,2025-12-31,68.26,2025-12-25,1896727497.0,stock_zh_a_gbjg_em,129470618945.22002
600018,上港集团,SH600018,SH,2025-12-31,2025-12-31,5.42,2025-12-24,23279960504.0,stock_zh_a_gbjg_em,126177385931.68
001280,中国铀业,SZ001280,SZ,2025-12-31,2025-12-31,60.92,2025-12-31,2068181818.0,stock_zh_a_gbjg_em,125993636352.56
002602,世纪华通,SZ002602,SZ,2025-12-31,2025-12-31,17.06,2025-12-31,7370682322.0,stock_zh_a_gbjg_em,125743840413.31999
001289,龙源电力,SZ001289,SZ,2025-12-31,2025-12-31,15.04,2025-01-24,8359816164.0,stock_zh_a_gbjg_em,125731635106.56
603019,中科曙光,SH603019,SH,2025-12-31,2025-12-31,85.64,2025-06-30,1463115784.0,stock_zh_a_gbjg_em,125301235741.76
000617,中油资本,SZ000617,SZ,2025-12-31,2025-12-31,9.6,2020-07-23,12642079079.0,stock_zh_a_gbjg_em,121363959158.4
002028,思源电气,SZ002028,SZ,2025-12-31,2025-12-31,154.59,2025-12-31,782057732.0,stock_zh_a_gbjg_em,120898304789.88
000625,长安汽车,SZ000625,SZ,2025-12-31,2025-12-31,11.86,2025-12-17,9914086060.0,stock_zh_a_gbjg_em,117581060671.59999
002938,鹏鼎控股,SZ002938,SZ,2025-12-31,2025-12-31,50.58,2025-12-31,2318051016.0,stock_zh_a_gbjg_em,117247020389.28
600011,华能国际,SH600011,SH,2025-12-31,2025-12-31,7.46,2019-10-15,15698093359.0,stock_zh_a_gbjg_em,117107776458.14
002493,荣盛石化,SZ002493,SZ,2025-12-31,2025-12-31,11.71,2025-12-31,9989442254.0,stock_zh_a_gbjg_em,116976368794.34001
600905,三峡能源,SH600905,SH,2025-12-31,2025-12-31,4.09,2025-07-14,28587650142.0,stock_zh_a_gbjg_em,116923489080.78
002230,科大讯飞,SZ002230,SZ,2025-12-31,2025-12-31,50.29,2025-12-31,2311847493.0,stock_zh_a_gbjg_em,116262810422.97
601169,北京银行,SH601169,SH,2025-12-31,2025-12-31,5.48,2020-12-28,21142984272.0,stock_zh_a_gbjg_em,115863553810.56001
600585,海螺水泥,SH600585,SH,2025-12-31,2025-12-31,21.86,2011-06-16,5299302579.0,stock_zh_a_gbjg_em,115842754376.94
000807,云铝股份,SZ000807,SZ,2025-12-31,2025-12-31,32.84,2025-12-31,3467957405.0,stock_zh_a_gbjg_em,113887721180.20001
002600,领益智造,SZ002600,SZ,2025-12-31,2025-12-31,15.54,2025-12-31,7307109252.0,stock_zh_a_gbjg_em,113552477776.07999
600489,中金黄金,SH600489,SH,2025-12-31,2025-12-31,23.36,2023-05-11,4847312564.0,stock_zh_a_gbjg_em,113233221495.04
600118,中国卫星,SH600118,SH,2025-12-31,2025-12-31,94.95,2013-08-14,1182489135.0,stock_zh_a_gbjg_em,112277343368.25
600089,特变电工,SH600089,SH,2025-12-31,2025-12-31,22.22,2024-11-23,5052792571.0,stock_zh_a_gbjg_em,112273050927.62
