contrast_order,contrast_id,family_id,fold,left_arm_id,left_score_variant,right_arm_id,right_score_variant,paired_day_n,mean_rankic_delta,median_rankic_delta,positive_seed_n,raw_p_value,holm_p_value,material_improvement,status
1,C01,mechanism_single_factor,validation_early,D1_R2_RETURN_PATH_CSZ_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,107,0.001460742650463763,0.006798510282347242,nan,0.8768246350729854,1.0,,pass
1,C01,mechanism_single_factor,validation_late,D1_R2_RETURN_PATH_CSZ_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,103,0.019889323918889167,0.012087089401725662,3.0,0.028594281143771244,0.08578284343131373,True,pass
2,C02,mechanism_single_factor,validation_early,D2_R2_GRADBAL_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,107,-0.0016391521971816552,-0.002373273090112836,nan,0.626874625074985,1.0,,pass
2,C02,mechanism_single_factor,validation_late,D2_R2_GRADBAL_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,103,-0.0015510699589053514,-0.0030364590419647355,1.0,0.7480503899220156,1.0,False,pass
3,C03,mechanism_single_factor,validation_early,D3_R2_ST_HARD_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,107,-0.0007687758201168396,-0.0001576636953268198,nan,0.17376524695060988,0.5212957408518296,,pass
3,C03,mechanism_single_factor,validation_late,D3_R2_ST_HARD_ONLY,primary,D0_R2_RAW_EXACT_REPLAY,prefix8,103,-7.39724081791643e-05,0.00030431086499629716,3.0,0.8922215556888622,1.0,False,pass
4,C04A,combined_draw_decomposition,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix8,D0_R2_RAW_EXACT_REPLAY,prefix8,107,-0.003425010546538163,-0.00894344545830466,nan,0.6816636672665467,,,pass
4,C04A,combined_draw_decomposition,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix8,D0_R2_RAW_EXACT_REPLAY,prefix8,103,0.02113938869866141,0.014598534908445168,3.0,0.0007998400319936012,,True,pass
5,C04B,combined_draw_decomposition,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix64,D4_R2_REPAIR_COMBINED_V1,prefix8,107,0.030451323821431744,0.029332135117690943,nan,0.0001999600079984003,,,pass
5,C04B,combined_draw_decomposition,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix64,D4_R2_REPAIR_COMBINED_V1,prefix8,103,0.018479604326189676,0.0137521314013484,nan,0.005198960207958408,,,pass
6,C04C,combined_draw_decomposition,validation_early,D0_R2_RAW_EXACT_REPLAY,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix8,107,-0.00898180240154273,-0.009612058258082357,nan,0.08898220355928814,,,pass
6,C04C,combined_draw_decomposition,validation_late,D0_R2_RAW_EXACT_REPLAY,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix8,103,0.005723020867308502,0.005120858769246403,nan,0.15016996600679863,,,pass
7,C04D,combined_draw_decomposition,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix64,107,0.03600811567643631,0.04403121878547593,nan,0.0001999600079984003,,,pass
7,C04D,combined_draw_decomposition,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix64,103,0.0338959721575426,0.02972016504180108,3.0,0.0005998800239952009,,False,pass
8,C04E,combined_draw_decomposition,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix8,107,0.02702631327489358,0.026000469391896354,nan,0.002999400119976005,,,pass
8,C04E,combined_draw_decomposition,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix64,D0_R2_RAW_EXACT_REPLAY,prefix8,103,0.039618993024851085,0.03437019197772184,3.0,0.0005998800239952009,,True,pass
9,C05,residual_attribution,validation_early,D0_R2_RAW_EXACT_REPLAY,prefix8,D5_K2_RAW_NO_RESIDUAL,primary,107,-0.030146337312131975,-0.035539186371003256,nan,0.001999600079984003,0.00599880023995201,,pass
9,C05,residual_attribution,validation_late,D0_R2_RAW_EXACT_REPLAY,prefix8,D5_K2_RAW_NO_RESIDUAL,primary,103,-0.01850001564832695,-0.021335281718191126,nan,0.09658068386322735,0.1931613677264547,,pass
10,C06,residual_attribution,validation_early,D0_R2_RAW_EXACT_REPLAY,prefix8,D6_R1_RAW_MLP_RESIDUAL,primary,107,-0.011074687676717293,-0.0064932163186716615,nan,0.40071985602879423,0.40071985602879423,,pass
10,C06,residual_attribution,validation_late,D0_R2_RAW_EXACT_REPLAY,prefix8,D6_R1_RAW_MLP_RESIDUAL,primary,103,-0.0038625034794986537,0.001738421263757936,nan,0.6712657468506299,0.6712657468506299,,pass
11,C07,residual_attribution,validation_early,D6_R1_RAW_MLP_RESIDUAL,primary,D5_K2_RAW_NO_RESIDUAL,primary,107,-0.01907164963541468,-0.011882413261625327,nan,0.008398320335932814,0.016796640671865627,,pass
11,C07,residual_attribution,validation_late,D6_R1_RAW_MLP_RESIDUAL,primary,D5_K2_RAW_NO_RESIDUAL,primary,103,-0.014637512168828292,-0.015172817381644863,nan,0.0027994401119776045,0.008398320335932814,,pass
12,C08,candidate_ordering,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix64,M1_LIGHTGBM_ALPHA158,primary,107,0.012105587229135012,-0.0020105502654832186,nan,0.14237152569486103,0.28474305138972206,,pass
12,C08,candidate_ordering,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix64,M1_LIGHTGBM_ALPHA158,primary,103,0.017720971580363103,0.004264589827463812,nan,0.30293941211757647,0.30293941211757647,,pass
13,C09,candidate_ordering,validation_early,D4_R2_REPAIR_COMBINED_V1,prefix64,M3_GATED_DUAL_PATH_LSTM,primary,107,0.00013223848900154446,0.010866160059378266,nan,0.9772045590881824,0.9772045590881824,,pass
13,C09,candidate_ordering,validation_late,D4_R2_REPAIR_COMBINED_V1,prefix64,M3_GATED_DUAL_PATH_LSTM,primary,103,0.02663250450313403,0.027105844430560896,nan,0.0001999600079984003,0.0003999200159968006,,pass
