stage_order,stage_id,status,started_at_utc,ended_at_utc,first_failure_gate,worker_exit_code,artifact_group_id
0,E0_PREAUTH_AND_PREFLIGHT,pass,,2026-07-18T01:46:23.820711Z,,0,G_PRE
1,E1_SEALED_CHECKPOINT_INFERENCE,pass,,2026-07-18T01:46:23.820722Z,,0,G_INF
2,E2_TRAINING_AND_EARLY_SELECTION,pass,,2026-07-18T01:46:23.820724Z,,0,G_TRAIN
3,E3_PRE_LATE_SEAL,pass,,2026-07-18T01:46:23.820725Z,,0,G_TRAIN
4,E4_FRESH_LATE_READOUT,pass,,2026-07-18T01:46:23.820726Z,,0,G_LATE
5,E5_FINALIZE,pass,,2026-07-18T01:46:23.820727Z,,0,G_TERMINAL
