fold,arm_order,arm_id,score_variant,aggregation_role,seed_a,seed_b,decision_date,metric_id,metric_value,row_n,status
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-04,daily_score_spearman,0.11313534648596887,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-04,top30_overlap,4.0,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-04,daily_score_spearman,-0.029566903322090044,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-04,top30_overlap,4.0,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-04,daily_score_spearman,0.025487293070280623,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-04,top30_overlap,3.0,481,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-06,daily_score_spearman,0.011788763186923032,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-06,top30_overlap,1.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-06,daily_score_spearman,-0.05556359570431374,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-06,top30_overlap,0.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-06,daily_score_spearman,-0.06988422882343143,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-06,top30_overlap,1.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-10,daily_score_spearman,-0.012789123198648729,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-10,top30_overlap,2.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-10,daily_score_spearman,0.05341209833362098,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-10,top30_overlap,1.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-10,daily_score_spearman,-0.07479215471277534,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-10,top30_overlap,3.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-11,daily_score_spearman,0.09886112736554739,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-11,top30_overlap,4.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-11,daily_score_spearman,0.03679283401455512,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-11,top30_overlap,1.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-11,daily_score_spearman,-0.024543112221264853,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-11,top30_overlap,0.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-12,daily_score_spearman,-0.006597928842200899,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-12,top30_overlap,2.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-12,daily_score_spearman,0.029077899003931845,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260715.0,2023-01-12,top30_overlap,3.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-12,daily_score_spearman,-0.04936329255290108,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260714.0,20260715.0,2023-01-12,top30_overlap,1.0,482,pass
validation_early,0,D0_R2_RAW_EXACT_REPLAY,prefix64,seed_pair,20260713.0,20260714.0,2023-01-13,daily_score_spearman,-0.026496466510899135,482,pass
