contrast_order,contrast_id,fold,replicate_n,mean_block_length,bootstrap_seed,observed_mean_delta,ci_lower_025,ci_upper_975,p_value_two_sided,day_key_sha256,status
1,C01,validation_early,5000,20,20260717,0.001460742650463763,-0.01640245304423862,0.02115492477734766,0.8768246350729854,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
1,C01,validation_late,5000,20,20260717,0.019889323918889167,0.001532708617599576,0.03650292527298727,0.028594281143771244,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
2,C02,validation_early,5000,20,20260717,-0.0016391521971816552,-0.008019173370264818,0.005020285166120469,0.626874625074985,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
2,C02,validation_late,5000,20,20260717,-0.0015510699589053514,-0.0110004168508964,0.007407274344987955,0.7480503899220156,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
3,C03,validation_early,5000,20,20260717,-0.0007687758201168396,-0.0018356233996802043,0.0003897342678942594,0.17376524695060988,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
3,C03,validation_late,5000,20,20260717,-7.39724081791643e-05,-0.0011712155553886576,0.0010423980221187564,0.8922215556888622,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
4,C04A,validation_early,5000,20,20260717,-0.003425010546538163,-0.019201803616631003,0.012729104818572035,0.6816636672665467,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
4,C04A,validation_late,5000,20,20260717,0.02113938869866141,0.008943452747610428,0.03319639209937717,0.0007998400319936012,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
5,C04B,validation_early,5000,20,20260717,0.030451323821431744,0.02349487864070167,0.03732377296705407,0.0001999600079984003,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
5,C04B,validation_late,5000,20,20260717,0.018479604326189676,0.004457702222917023,0.03196856060083686,0.005198960207958408,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
6,C04C,validation_early,5000,20,20260717,-0.00898180240154273,-0.01883022463824326,0.001729030623731177,0.08898220355928814,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
6,C04C,validation_late,5000,20,20260717,0.005723020867308502,-0.0019111140117110703,0.013583885985828523,0.15016996600679863,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
7,C04D,validation_early,5000,20,20260717,0.03600811567643631,0.0234852768825457,0.048089968940276576,0.0001999600079984003,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
7,C04D,validation_late,5000,20,20260717,0.0338959721575426,0.016176031959099214,0.05222491584468141,0.0005998800239952009,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
8,C04E,validation_early,5000,20,20260717,0.02702631327489358,0.009162440799548373,0.045436593199342054,0.002999400119976005,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
8,C04E,validation_late,5000,20,20260717,0.039618993024851085,0.01750411906524508,0.06123136704071902,0.0005998800239952009,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
9,C05,validation_early,5000,20,20260717,-0.030146337312131975,-0.05020298607087007,-0.009876430693455894,0.001999600079984003,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
9,C05,validation_late,5000,20,20260717,-0.01850001564832695,-0.03967998512525834,0.0031569820280615583,0.09658068386322735,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
10,C06,validation_early,5000,20,20260717,-0.011074687676717293,-0.036066299662050584,0.014424120259294317,0.40071985602879423,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
10,C06,validation_late,5000,20,20260717,-0.0038625034794986537,-0.022380879045366647,0.01477075522088129,0.6712657468506299,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
11,C07,validation_early,5000,20,20260717,-0.01907164963541468,-0.03385695160199488,-0.004745419364703877,0.008398320335932814,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
11,C07,validation_late,5000,20,20260717,-0.014637512168828292,-0.024211047595433348,-0.005476825536722503,0.0027994401119776045,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
12,C08,validation_early,5000,20,20260717,0.012105587229135012,-0.004189552962120802,0.028389435183616116,0.14237152569486103,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
12,C08,validation_late,5000,20,20260717,0.017720971580363103,-0.015571002326789278,0.050684248168261226,0.30293941211757647,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
13,C09,validation_early,5000,20,20260717,0.00013223848900154446,-0.012557106754803352,0.012677598883084068,0.9772045590881824,bc86bb932a1de91c66b25b85ab365b81f1cd62d556214b57d8a7e618d04ead4c,pass
13,C09,validation_late,5000,20,20260717,0.02663250450313403,0.017294241972756096,0.036110059095656045,0.0001999600079984003,5ea8a32fc00e0935cb2aba6d598e049d2f86971b517533eec1d8be1076d00e61,pass
