gate_order,gate_id,stage_id,status,check_n,pass_n,fail_n,evidence_paths_json,first_failure_reason
1,execution_authorization_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
2,upstream_hash_and_file_set_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
3,upstream_21c_terminal_state_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
4,input_panel_integrity_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
5,retained_universe_exact_match_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
6,hypothesis_preseal_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
7,historical_holdout_zero_access_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
8,sealed_checkpoint_replay_gate,E1_SEALED_CHECKPOINT_INFERENCE,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
9,zero_solution_recompute_gate,E1_SEALED_CHECKPOINT_INFERENCE,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
10,inference_draw_schedule_gate,E1_SEALED_CHECKPOINT_INFERENCE,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
11,inference_sampling_audit_gate,E1_SEALED_CHECKPOINT_INFERENCE,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
12,arm_registry_exact_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
13,return_path_transform_firewall_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
14,gradient_calibration_train_only_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
15,architecture_shape_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
16,teacher_isolation_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
17,seed_determinism_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
18,resource_probe_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
19,training_completion_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
20,exact_retrain_control_gate,E2_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
21,pre_late_bundle_hash_gate,E3_PRE_LATE_SEAL,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
22,fresh_late_readout_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
23,score_coverage_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
24,metric_implementation_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,"[""preflight/resolved_config.yaml""]",
25,hypothesis_falsification_gate,E5_FINALIZE,pass,1,1,0,"[""semantic_reproducibility_manifest.json""]",
26,repair_candidate_gate,E5_FINALIZE,research_candidate_fail,1,1,0,"[""semantic_reproducibility_manifest.json""]",
27,finalize_transaction_gate,E5_FINALIZE,pass,1,1,0,"[""semantic_reproducibility_manifest.json""]",
28,output_manifest_hash_gate,E5_FINALIZE,pass,1,1,0,"[""semantic_reproducibility_manifest.json""]",
29,failure_bundle_integrity_gate,E5_FINALIZE,pass,1,1,0,"[""semantic_reproducibility_manifest.json""]",
