,,risk
excess_return_without_cost,mean,0.0014286234081940042
excess_return_without_cost,std,0.006330606601622781
excess_return_without_cost,annualized_return,0.34001237115017297
excess_return_without_cost,information_ratio,3.481456026296852
excess_return_without_cost,max_drawdown,-0.06901619798471592
excess_return_with_cost,mean,0.0013680079489367886
excess_return_with_cost,std,0.00632905676403559
excess_return_with_cost,annualized_return,0.3255858918469557
excess_return_with_cost,information_ratio,3.334556716737044
excess_return_with_cost,max_drawdown,-0.06974889817099217
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0021059965633513983
strategy_return_without_cost,std,0.012843970672052011
strategy_return_without_cost,annualized_return,0.5012271820776328
strategy_return_without_cost,information_ratio,2.5295707539666408
strategy_return_without_cost,max_drawdown,-0.14480050397976502
strategy_return_with_cost,mean,0.0020453811040941827
strategy_return_with_cost,std,0.012842615304850967
strategy_return_with_cost,annualized_return,0.4868007027744155
strategy_return_with_cost,information_ratio,2.45702312711179
strategy_return_with_cost,max_drawdown,-0.14657713258371252
