comparison_id,split_bucket,model_id,baseline_id,metric_id,model_denominator_type,baseline_denominator_type,baseline_role,model_value,baseline_value,delta_vs_baseline,required_delta,hard_gate_used,comparison_status
payoff_rank_ic_vs_volatility20d,robustness,ridge_payoff_rank_h20_v1,volatility20d_defense_baseline,payoff_rank_ic,labelable_full,labelable_full,same_denominator_risk_baseline,0.06439789586667599,0.06477154990610473,-0.0003736540394287391,0.005,True,diagnostic_only
monotonicity_vs_volatility20d,robustness,ridge_payoff_rank_h20_v1,volatility20d_defense_baseline,decile_monotonicity,labelable_full,labelable_full,same_denominator_risk_baseline,0.6121212121212121,0.13939393939393938,0.47272727272727266,0.0,False,diagnostic_only
payoff_rank_ic_vs_intercept,robustness,ridge_payoff_rank_h20_v1,intercept_unconditional_payoff_baseline,payoff_rank_ic,labelable_full,labelable_full,baseline_only,0.06439789586667599,,,0.0,False,diagnostic_only
payoff_rank_ic_vs_16x_external,robustness,ridge_payoff_rank_h20_v1,16x_payoff_rank_probe_v1,payoff_rank_ic,labelable_full,winner_episode_probe_rows_only,external_coarse_context_only,0.06439789586667599,0.05187674283077765,0.01252115303589834,0.0,False,external_context_only
monotonicity_vs_16x_external,robustness,ridge_payoff_rank_h20_v1,16x_payoff_rank_probe_v1,decile_monotonicity,labelable_full,winner_episode_probe_rows_only,external_coarse_context_only,0.6121212121212121,0.16363636363636364,0.44848484848484843,0.0,False,external_context_only
bootstrap_ci_low_vs_16x_external,robustness,ridge_payoff_rank_h20_v1,16x_payoff_rank_probe_v1,bootstrap_ci_low,labelable_full,winner_episode_probe_rows_only,external_coarse_context_only,0.020607514420238376,0.007705547248002782,0.012901967172235594,0.0,False,external_context_only
