sensitivity_id,split_bucket,model_id,removal_type,removed_feature_n,removed_feature_names,removed_feature_family_id,base_rank_ic_spearman,sensitivity_rank_ic_spearman,rank_ic_retention_rate,sensitivity_status
top1_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,1,mr_volume_20d_zscore,mixed,0.06439789586667599,-0.056304458327674715,-0.8743213977711748,pass
top3_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,3,mr_volume_20d_zscore|mr_money_20d_zscore|mr_max_drawdown_20d,mixed,0.06439789586667599,0.019902116982912332,0.3090491811116936,pass
top5_abs_coefficient_removed,robustness,ridge_payoff_rank_h20_v1,topk,5,mr_volume_20d_zscore|mr_money_20d_zscore|mr_max_drawdown_20d|mr_turnover_rate_20d_mean|mr_log_total_market_cap_cny,mixed,0.06439789586667599,-0.023141894295562893,-0.359357925971276,pass
family_F1_removed,robustness,ridge_payoff_rank_h20_v1,family,7,mr_ret_5d|mr_ret_10d|mr_ret_20d|mr_ma_5_20_spread|mr_ma_20_60_spread|mr_distance_to_20d_high|mr_distance_to_60d_high,F1,0.06439789586667599,0.035943209748669,0.5581426111046052,pass
family_F2_removed,robustness,ridge_payoff_rank_h20_v1,family,5,mr_turnover_rate_20d_mean|mr_turnover_rate_60d_mean|mr_turnover_rate_20d_zscore|mr_volume_20d_zscore|mr_money_20d_zscore,F2,0.06439789586667599,0.0037981605097536695,0.05897957469941351,pass
family_F3_removed,robustness,ridge_payoff_rank_h20_v1,family,2,mr_board_rank_pct|mr_board_rank_by_market_cap,F3,0.06439789586667599,0.049548117873514784,0.7694058510249319,pass
family_F4_removed,robustness,ridge_payoff_rank_h20_v1,family,5,mr_volatility_20d|mr_volatility_60d|mr_max_drawdown_20d|mr_max_drawdown_60d|mr_intraday_range_20d_mean,F4,0.06439789586667599,0.0743421682355225,1.1544192125381596,pass
family_F5_removed,robustness,ridge_payoff_rank_h20_v1,family,4,mr_board_bucket_chinext|mr_board_bucket_main_board|mr_log_total_market_cap_cny|mr_tradability_status_ok,F5,0.06439789586667599,0.06441920515983099,1.000330900456734,pass
top1_abs_coefficient_removed,validation,ridge_payoff_rank_h20_v1,topk,1,mr_volume_20d_zscore,mixed,0.06376829938716763,0.03615025654057838,0.5669001194636383,pass
top3_abs_coefficient_removed,validation,ridge_payoff_rank_h20_v1,topk,3,mr_volume_20d_zscore|mr_money_20d_zscore|mr_max_drawdown_20d,mixed,0.06376829938716763,-0.020710857536899958,-0.3247829679627256,pass
top5_abs_coefficient_removed,validation,ridge_payoff_rank_h20_v1,topk,5,mr_volume_20d_zscore|mr_money_20d_zscore|mr_max_drawdown_20d|mr_turnover_rate_20d_mean|mr_log_total_market_cap_cny,mixed,0.06376829938716763,-0.0642730298544475,-1.007915068649007,pass
family_F1_removed,validation,ridge_payoff_rank_h20_v1,family,7,mr_ret_5d|mr_ret_10d|mr_ret_20d|mr_ma_5_20_spread|mr_ma_20_60_spread|mr_distance_to_20d_high|mr_distance_to_60d_high,F1,0.06376829938716763,0.06307040350574428,0.9890557551615717,pass
family_F2_removed,validation,ridge_payoff_rank_h20_v1,family,5,mr_turnover_rate_20d_mean|mr_turnover_rate_60d_mean|mr_turnover_rate_20d_zscore|mr_volume_20d_zscore|mr_money_20d_zscore,F2,0.06376829938716763,0.04441275597991193,0.6964707606558705,pass
family_F3_removed,validation,ridge_payoff_rank_h20_v1,family,2,mr_board_rank_pct|mr_board_rank_by_market_cap,F3,0.06376829938716763,0.0875334659080004,1.3726799483320569,pass
family_F4_removed,validation,ridge_payoff_rank_h20_v1,family,5,mr_volatility_20d|mr_volatility_60d|mr_max_drawdown_20d|mr_max_drawdown_60d|mr_intraday_range_20d_mean,F4,0.06376829938716763,-0.008818159991933989,-0.13828438388163297,pass
family_F5_removed,validation,ridge_payoff_rank_h20_v1,family,4,mr_board_bucket_chinext|mr_board_bucket_main_board|mr_log_total_market_cap_cny|mr_tradability_status_ok,F5,0.06376829938716763,0.04031203356893128,0.6321641623869845,pass
