check_id,expected_value,observed_value,matrix_contract_replay_gate,blocking_reason
matrix_row_n,23405,23405,pass,
train_row_n,20245,20245,pass,
robustness_row_n,2496,2496,pass,
validation_row_n,664,664,pass,
model_ready_feature_n,23,23,pass,
target_column_n,19,19,pass,
identity_key_columns,step_id|label_id,step_id|label_id,pass,
identity_key_duplicate_n,0,0,pass,
full_lineage_key_columns,step_id|label_id|threshold_id|horizon_sessions|instrument|episode_cluster_id|step_index|step_start_date|step_end_date,step_id|label_id|threshold_id|horizon_sessions|instrument|episode_cluster_id|step_index|step_start_date|step_end_date,pass,
full_lineage_key_duplicate_n,0,0,pass,
target_lineage_hash_y_payoff_h20,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,pass,
target_lineage_hash_continue_advantage,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,pass,
target_lineage_hash_payoff_ordinal_state,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,pass,
target_lineage_gate_y_payoff_h20,pass,pass,pass,
target_denominator_reconciliation_gate,pass,pass|pass|pass,pass,
target_denominator_labelable_replay,18A_equals_18B_matrix,train:20245|robustness:2496|validation:664,pass,
target_denominator_neutral_replay,18A_equals_18B_matrix,train:5283|robustness:624|validation:159,pass,
neutral_preservation_gate,pass,pass|pass|pass,pass,
neutral_reclassified_as_positive_or_negative,False,False,pass,
neutral_rows_preserved,True,True,pass,
payoff_ordinal_state_string_mapping_complete,True,True,pass,
continue_advantage_affine_replay_max_abs_diff,<=1e-12,0.0,pass,
train_frozen_payoff_cutoff_value_replay,"{'high_upside_top30_stress': 0.0596330275229357, 'high_upside_top20_stress': 0.1012285086722715, 'high_upside_top10_stress': 0.1721071844362347}","{'high_upside_top30_stress': 0.0596330275229357, 'high_upside_top20_stress': 0.1012285086722715, 'high_upside_top10_stress': 0.1721071844362347}",pass,
train_frozen_payoff_cutoff_lineage_hash,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,602ad3986a32d8634cb0948181be74c15a70cb50122d994d3ae7f253acbcc3d3,pass,
split_local_payoff_cutoff_recompute_used,False,False,pass,
train_frozen_payoff_cutoff_gate,pass,pass|pass|pass,pass,
