model_id,feature_name,feature_family_id,coefficient,feature_train_std,standardized_coefficient,abs_coefficient_rank,standardized_abs_coefficient_rank,train_fit_row_n,coefficient_source
elastic_net_payoff_rank_h20_v1,mr_board_rank_pct,F3,0.006189342184445327,0.8835247447188733,0.005468436973489811,11,11,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_board_rank_by_market_cap,F3,-0.0022583131195476995,0.4896258364679922,-0.0011057284501651832,19,20,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_volatility_20d,F4,0.002572653838890097,0.8111554481355102,0.0020868221775824374,17,18,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_volatility_60d,F4,-0.009720261118872055,0.7863799527702472,-0.007643818479573077,6,6,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_max_drawdown_20d,F4,-0.0209704692772498,0.808493786994428,-0.016954494121013998,1,1,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_max_drawdown_60d,F4,-0.007966777789612588,0.7549761748238966,-0.00601472742127369,8,10,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_intraday_range_20d_mean,F4,0.000930037196269255,0.7982450649532657,0.0007423976021449046,21,21,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_board_bucket_chinext,F5,0.005933466933438183,0.48690483057946904,0.0028890337119746,12,14,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_board_bucket_main_board,F5,-0.004863774989089525,0.48690483057946904,-0.002368195537039294,13,16,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_log_total_market_cap_cny,F5,0.010123339953631575,0.9658389046867637,0.009777515572587273,4,4,20245,linear_coefficient
elastic_net_payoff_rank_h20_v1,mr_tradability_status_ok,F5,0.0,1.0,0.0,23,23,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_ret_5d,F1,-0.043726498241432696,1.0132132104374039,-0.04430426566438751,16,11,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_ret_10d,F1,-0.01653960751132737,1.0323240857303713,-0.01707423520247021,20,19,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_ret_20d,F1,0.04464882999845828,0.9877728204084469,0.044102900735514414,13,12,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_ma_5_20_spread,F1,0.027501499855872812,0.9763183515274224,0.02685021900381739,18,15,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_ma_20_60_spread,F1,-0.008849332326373348,0.8895849979222982,-0.007872233279170561,21,21,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_distance_to_20d_high,F1,0.05167959062223763,0.7721372398922111,0.03990373646181396,11,13,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_distance_to_60d_high,F1,0.08654822825239528,0.719975111222924,0.0623125702621653,6,7,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_turnover_rate_20d_mean,F2,-0.0950682289086698,1.3054229558997703,-0.12410424839411172,5,4,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_turnover_rate_60d_mean,F2,0.05434082272055664,1.1655066612792437,0.06333459086020324,10,6,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_turnover_rate_20d_zscore,F2,-0.06750946532875157,0.8209612058047739,-0.05542265205952747,7,8,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_volume_20d_zscore,F2,0.35838076633248195,0.8165206705287886,0.2926253036304193,1,1,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_money_20d_zscore,F2,-0.24399610795144838,0.8236209981294076,-0.2009603179706626,2,2,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_board_rank_pct,F3,0.006634159162446029,0.8835247447188733,0.005861443780424502,22,22,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_board_rank_by_market_cap,F3,-0.02335056524154638,0.4896258364679922,-0.01143304003839257,19,20,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_volatility_20d,F4,-0.02972467795942304,0.8111554481355102,-0.02411133447085952,17,16,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_volatility_60d,F4,-0.04755827618580328,0.7863799527702472,-0.037398874980826356,12,14,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_max_drawdown_20d,F4,-0.17654213290064974,0.808493786994428,-0.1427332175929199,3,3,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_max_drawdown_60d,F4,-0.06353561923964557,0.7549761748238966,-0.04796787877861518,8,10,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_intraday_range_20d_mean,F4,0.15306554424238225,0.7982450649532657,0.12218381530586739,4,5,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_board_bucket_chinext,F5,0.04442564169588295,0.48690483057946904,0.021631059543318083,15,18,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_board_bucket_main_board,F5,-0.04442564169608256,0.48690483057946904,-0.021631059543415276,14,17,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_log_total_market_cap_cny,F5,0.05540323186412509,0.9658389046867637,0.05351059677975338,9,9,20245,linear_coefficient
ridge_ordinal_payoff_state_v1,mr_tradability_status_ok,F5,0.0,1.0,0.0,23,23,20245,linear_coefficient
shallow_tree_payoff_depth2_v1,mr_ret_5d,F1,0.0,1.0132132104374039,0.0,3,3,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_ret_10d,F1,0.0,1.0323240857303713,0.0,4,4,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_ret_20d,F1,0.0,0.9877728204084469,0.0,5,5,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_ma_5_20_spread,F1,0.5271137160317516,0.9763183515274224,0.5146307943036136,1,2,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_ma_20_60_spread,F1,0.0,0.8895849979222982,0.0,6,6,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_distance_to_20d_high,F1,0.0,0.7721372398922111,0.0,7,7,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_distance_to_60d_high,F1,0.0,0.719975111222924,0.0,8,8,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_turnover_rate_20d_mean,F2,0.47288628396824833,1.3054229558997703,0.6173166106222889,2,1,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_turnover_rate_60d_mean,F2,0.0,1.1655066612792437,0.0,9,9,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_turnover_rate_20d_zscore,F2,0.0,0.8209612058047739,0.0,10,10,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_volume_20d_zscore,F2,0.0,0.8165206705287886,0.0,11,11,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_money_20d_zscore,F2,0.0,0.8236209981294076,0.0,12,12,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_board_rank_pct,F3,0.0,0.8835247447188733,0.0,13,13,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_board_rank_by_market_cap,F3,0.0,0.4896258364679922,0.0,14,14,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_volatility_20d,F4,0.0,0.8111554481355102,0.0,15,15,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_volatility_60d,F4,0.0,0.7863799527702472,0.0,16,16,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_max_drawdown_20d,F4,0.0,0.808493786994428,0.0,17,17,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_max_drawdown_60d,F4,0.0,0.7549761748238966,0.0,18,18,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_intraday_range_20d_mean,F4,0.0,0.7982450649532657,0.0,19,19,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_board_bucket_chinext,F5,0.0,0.48690483057946904,0.0,20,20,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_board_bucket_main_board,F5,0.0,0.48690483057946904,0.0,21,21,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_log_total_market_cap_cny,F5,0.0,0.9658389046867637,0.0,22,22,20245,tree_importance
shallow_tree_payoff_depth2_v1,mr_tradability_status_ok,F5,0.0,1.0,0.0,23,23,20245,tree_importance
ridge_logistic_top30_sanity_v1,mr_ret_5d,F1,-0.10050045921451954,1.0132132104374039,-0.10182839293117671,15,11,20245,linear_coefficient
