split_bucket,model_id,target_id,row_n,episode_cluster_n,rank_ic_spearman,continue_advantage_rank_ic_spearman,continue_advantage_replay_abs_diff,coarse_rank_ic_vs_16x_external_delta,rank_ic_status
train,ridge_payoff_rank_h20_v1,y_payoff_h20,20245,652,0.13121434002045085,0.13121434002045085,0.0,,train_in_sample
robustness,ridge_payoff_rank_h20_v1,y_payoff_h20,2496,204,0.06439789586667599,0.06439789586667599,0.0,0.01252115303589834,fail
validation,ridge_payoff_rank_h20_v1,y_payoff_h20,664,41,0.06376829938716763,0.06376829938716763,0.0,,stress_readout_only
train,elastic_net_payoff_rank_h20_v1,y_payoff_h20,20245,652,0.13156911970076218,0.13156911970076218,0.0,,train_in_sample
robustness,elastic_net_payoff_rank_h20_v1,y_payoff_h20,2496,204,0.06331025414094578,0.06331025414094578,0.0,,diagnostic_readout
validation,elastic_net_payoff_rank_h20_v1,y_payoff_h20,664,41,0.07925061492954276,0.07925061492954276,0.0,,diagnostic_readout
train,ridge_ordinal_payoff_state_v1,y_payoff_h20,20245,652,0.05952212526722452,0.05952212526722452,0.0,,train_in_sample
robustness,ridge_ordinal_payoff_state_v1,y_payoff_h20,2496,204,-0.015911419271297866,-0.015911419271297866,0.0,,diagnostic_readout
validation,ridge_ordinal_payoff_state_v1,y_payoff_h20,664,41,0.025015730684250215,0.025015730684250215,0.0,,diagnostic_readout
train,shallow_tree_payoff_depth2_v1,y_payoff_h20,20245,652,0.10842233409793765,0.10842233409793765,0.0,,train_in_sample
robustness,shallow_tree_payoff_depth2_v1,y_payoff_h20,2496,204,0.07679168771622694,0.07679168771622694,0.0,,diagnostic_readout
validation,shallow_tree_payoff_depth2_v1,y_payoff_h20,664,41,0.0746038734673885,0.0746038734673885,0.0,,diagnostic_readout
train,intercept_unconditional_payoff_baseline,y_payoff_h20,20245,652,,,,,train_in_sample
robustness,intercept_unconditional_payoff_baseline,y_payoff_h20,2496,204,,,,,diagnostic_readout
validation,intercept_unconditional_payoff_baseline,y_payoff_h20,664,41,,,,,diagnostic_readout
train,volatility20d_defense_baseline,y_payoff_h20,20245,652,0.03591024082607433,0.03591024082607433,0.0,,train_in_sample
robustness,volatility20d_defense_baseline,y_payoff_h20,2496,204,0.06477154990610473,0.06477154990610473,0.0,,diagnostic_readout
validation,volatility20d_defense_baseline,y_payoff_h20,664,41,-0.03308531064949008,-0.03308531064949008,0.0,,diagnostic_readout
