split_bucket,model_id,target_column,denominator_type,row_n,positive_n,negative_n,neutral_n,roc_auc,average_precision,split_unconditional_positive_rate,precision_lift,binary_metric_used_as_primary_gate,binary_sanity_status
train,ridge_logistic_top30_sanity_v1,top30_yes_no,labelable_full,20245,6075,14170,5283,0.5819418292282716,0.37140092204911446,0.30007409236848603,0.07132682968062842,False,appendix_sanity_only
robustness,ridge_logistic_top30_sanity_v1,top30_yes_no,labelable_full,2496,852,1644,624,0.5221940931884903,0.3663577886972512,0.34134615384615385,0.025011634851097364,False,appendix_sanity_only
validation,ridge_logistic_top30_sanity_v1,top30_yes_no,labelable_full,664,212,452,159,0.5528468859575889,0.3887565094777402,0.3192771084337349,0.0694794010440053,False,appendix_sanity_only
train,ridge_logistic_top20_sanity_v1,top20_yes_no,labelable_full,20245,4049,16196,5283,0.5983223327281064,0.26498861255607353,0.2,0.06498861255607352,False,appendix_sanity_only
robustness,ridge_logistic_top20_sanity_v1,top20_yes_no,labelable_full,2496,586,1910,624,0.541155763629541,0.26779254487609677,0.23477564102564102,0.03301690385045575,False,appendix_sanity_only
validation,ridge_logistic_top20_sanity_v1,top20_yes_no,labelable_full,664,145,519,159,0.5549797355657431,0.269973743769171,0.2183734939759036,0.05160024979326738,False,appendix_sanity_only
train,ridge_payoff_rank_h20_v1,binary_positive_negative,labelable_full,20245,14962,5283,5283,0.5169707988611847,0.763948743777825,0.7390466781921462,0.024902065585678756,False,appendix_sanity_only
robustness,ridge_payoff_rank_h20_v1,binary_positive_negative,labelable_full,2496,1872,624,624,0.4750686568595222,0.742543383225911,0.75,-0.007456616774089042,False,appendix_sanity_only
validation,ridge_payoff_rank_h20_v1,binary_positive_negative,labelable_full,664,505,159,159,0.5197708450090291,0.7947725048760028,0.7605421686746988,0.034230336201304,False,appendix_sanity_only
train,16c_ridge_logistic_bar_state_v1,binary_positive_negative,binary_primary,14962,10078,4884,0,0.6802636405732257,0.8006621307192827,0.673573051731052,0.1270890789882307,False,external_16c_appendix_only
robustness,16c_ridge_logistic_bar_state_v1,binary_positive_negative,binary_primary,1872,1346,526,0,0.6722198995474551,0.8181998121824747,0.719017094017094,0.0991827181653807,False,external_16c_appendix_only
validation,16c_ridge_logistic_bar_state_v1,binary_positive_negative,binary_primary,505,325,180,0,0.6106324786324786,0.7122125403006181,0.6435643564356436,0.0686481838649745,False,external_16c_appendix_only
