split,schedule_id,episode_count,episode_with_probe_count,base_rate_prediction_covered_count,base_rate_prediction_coverage_rate,base_rate_prediction_top50_hit_count,base_rate_prediction_top50_hit_rate,base_rate_order_hit_count,base_rate_order_hit_rate,base_rate_trade_hit_count,base_rate_trade_hit_rate,base_rate_any_hit_count,base_rate_any_hit_rate
robustness,hazard_probe_confirm_add_fast_fail,770,149,149,1.0,50,0.33557046979865773,14,0.09395973154362416,14,0.09395973154362416,50,0.33557046979865773
train,hazard_probe_confirm_add_fast_fail,1142,236,61,0.2584745762711864,5,0.0211864406779661,0,0.0,0,0.0,5,0.0211864406779661
validation,hazard_probe_confirm_add_fast_fail,532,104,104,1.0,13,0.125,1,0.009615384615384616,1,0.009615384615384616,13,0.125
