audit_name,passed,observed_value,expected_value,detail
requirement_02_threshold_unchanged,True,0.3205667777673395,0.3205667777673395,
requirement_02_stop_risk_ceiling_unchanged,True,0.27410397287415667,0.27410397287415667,
base_rate_not_used_for_probe_selection,True,not_loaded_until_stage_5,base_rate_rows_unavailable_stages_1_4,
base_rate_not_used_for_confirm_add_selection,True,confirm_rule_from_config_and_r02,no_baserate_inputs,
base_rate_not_used_for_feature_construction,True,no_features_constructed,no_baserate_inputs,
base_rate_not_used_for_label_selection,True,r02_label_frozen,no_baserate_inputs,
base_rate_not_used_for_schedule_selection,True,schedule_hash_before_after_check,unchanged,
base_rate_portfolio_return_not_used_as_gate,True,no_portfolio_return_gate,not_used,
stage_order_prevents_baserate_pre_schedule_access,True,stages_1_4_false,true,
schedule_action_panel_hash_unchanged_after_baserate_load,True,8a1cf85a03da2c483656fe764a7895edbbe2e499fc15c940ad88bcad2c00a726,8a1cf85a03da2c483656fe764a7895edbbe2e499fc15c940ad88bcad2c00a726,
exposure_daily_panel_hash_unchanged_after_baserate_load,True,5ed2af10405ab1590a0593e93cd8ca15d00eb871c0de7e68ade6d1bd5f3401b2,5ed2af10405ab1590a0593e93cd8ca15d00eb871c0de7e68ade6d1bd5f3401b2,
