split,eligible_ep2_action_count,prediction_coverage_rate,order_coverage_rate,trade_coverage_rate,baserate_overlap_report_coverage
robustness,259,1.0,1.0,1.0,1.0
validation,178,1.0,1.0,1.0,1.0
