split,schedule_id,comparison_schedule_id,mean_after_cost_return_diff,median_after_cost_return_diff,big_winner_coverage_loss,turnover_reduction,missed_gain_to_exposure_diff,confirm_add_return_contribution,fast_fail_return_contribution
robustness,hazard_probe_confirm_add_fast_fail,hazard_probe_with_simple_stop,0.0030803200400542886,0.0,-3.774758283725532e-15,0.8381047088376111,0.0,0.0030803200400542794,-0.001608328404475147
train,hazard_probe_confirm_add_fast_fail,hazard_probe_with_simple_stop,0.0077942348855754295,0.0,-1.1102230246251565e-15,0.8394148500093114,0.0,0.007794234885575349,-0.0009896374817507502
validation,hazard_probe_confirm_add_fast_fail,hazard_probe_with_simple_stop,0.0058986650133127025,0.0,-8.881784197001252e-16,0.8406075652510248,0.0,0.0058986650133126955,-0.0006412448223643615
