split,schedule_id,executed_ep2_exposure_count,base_rate_trade_overlap_count,base_rate_trade_overlap_rate,uncovered_ep2_exposure_count,uncovered_ep2_exposure_share,uncovered_episode_count,uncovered_episode_share,uncovered_mean_after_cost_return,uncovered_big_winner_capture_rate,uncovered_turnover_proxy
robustness,hazard_probe_confirm_add_fast_fail,259,14,0.05405405405405406,245,0.9459459459459459,135,0.17532467532467533,0.0338474482741255,0.06818181818181818,3.8847272727272726
train,hazard_probe_confirm_add_fast_fail,391,0,0.0,391,1.0,236,0.20665499124343256,0.062189866903945665,0.1095890410958904,3.989632224168125
validation,hazard_probe_confirm_add_fast_fail,178,1,0.0056179775280898875,177,0.9943820224719101,103,0.19360902255639098,0.04437907130116638,0.125,3.9457894736842105
