split,schedule_id,gate_name,gate_value,threshold_value,comparison_id,passed,failure_reason,is_hard_stop,failure_category
all,hazard_probe_confirm_add_fast_fail,frozen_contract_and_leakage_audit,True,True,self,True,,True,contract_or_leakage
validation,hazard_probe_confirm_add_fast_fail,mean_after_cost_return_diff_vs_requirement_02,0.0058986650133127025,0.0,hazard_probe_with_simple_stop,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,big_winner_coverage_loss_vs_requirement_02,-8.881784197001252e-16,0.1,hazard_probe_with_simple_stop,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,missed_gain_to_exposure_median,0.0,0.08,self,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,turnover_reduction_vs_daily_baserate,0.8406075652510248,0.5,self,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,top1_instrument_year_exposure_share,0.019230769230769232,0.1,self,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,top5_instrument_exposure_share,0.09615384615384616,0.35,self,True,,True,schedule
validation,hazard_probe_confirm_add_fast_fail,baserate_overlap_report_coverage,1.0,0.95,self,True,,True,baserate
validation,hazard_probe_confirm_add_fast_fail,uncovered_ep2_exposure_share,0.9943820224719101,0.2,self,True,,True,baserate
robustness,hazard_probe_confirm_add_fast_fail,mean_after_cost_return_diff_vs_requirement_02,0.0030803200400542886,-0.001,hazard_probe_with_simple_stop,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,big_winner_coverage_loss_vs_requirement_02,-3.774758283725532e-15,0.1,hazard_probe_with_simple_stop,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,missed_gain_to_exposure_median,0.0,0.08,self,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,turnover_reduction_vs_daily_baserate,0.8381047088376111,0.5,self,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,top1_instrument_year_exposure_share,0.020134228187919462,0.1,self,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,top5_instrument_exposure_share,0.0738255033557047,0.35,self,True,,True,schedule
robustness,hazard_probe_confirm_add_fast_fail,baserate_overlap_report_coverage,1.0,0.95,self,True,,True,baserate
robustness,hazard_probe_confirm_add_fast_fail,uncovered_ep2_exposure_share,0.9459459459459459,0.2,self,True,,True,baserate
