split,action_type,event_count,base_rate_prediction_covered_count,base_rate_prediction_coverage_rate,mean_base_rate_score_rank_pct,median_base_rate_score_rank_pct,high_score_region_count,high_score_region_rate,base_rate_prediction_top50_hit_count,base_rate_prediction_top50_hit_rate
robustness,confirm_add,110,110,1.0,0.5318543322494645,0.5929897470120731,25,0.22727272727272727,18,0.16363636363636364
robustness,probe_entry,149,149,1.0,0.6505122073371415,0.7096774193548387,59,0.3959731543624161,50,0.33557046979865773
train,confirm_add,155,38,0.24516129032258063,0.3622549034975963,0.36867088607594933,2,0.012903225806451613,0,0.0
train,probe_entry,236,61,0.2584745762711864,0.4641373648005493,0.4831804281345566,9,0.038135593220338986,5,0.0211864406779661
validation,confirm_add,74,74,1.0,0.42473870862863555,0.40038108680310514,10,0.13513513513513514,6,0.08108108108108109
validation,probe_entry,104,104,1.0,0.5351058791768859,0.5670284817669023,18,0.17307692307692307,13,0.125
