fold_order,fold,model_seed,decision_date,row_n,daily_spearman,top30_overlap,mean_abs_score_delta,selector_entropy_mean,effective_operator_count_mean,switching_rate,status
1,validation_early,20260713,2023-01-04,481,0.9999987060153035,30,9.763283514985233e-07,1.38598115032775,3.998747307148892,0.0,pass
1,validation_early,20260713,2023-01-06,482,0.9999982854033009,30,9.898279813569388e-07,1.3859811266922852,3.998747210284981,0.0,pass
1,validation_early,20260713,2023-01-10,482,0.9999984997278883,30,9.911686902341899e-07,1.3859810369143348,3.998746849689246,0.0,pass
1,validation_early,20260713,2023-01-11,482,0.9999987140524756,30,9.691628974906052e-07,1.3859810403768453,3.9987468625499996,0.0,pass
1,validation_early,20260713,2023-01-12,482,0.9999990355393568,30,9.706296850708895e-07,1.38598108069036,3.9987470257826367,0.0,pass
1,validation_early,20260713,2023-01-13,482,0.9999981782410072,30,9.975066177503322e-07,1.3859811049279336,3.998747133615106,0.0,pass
1,validation_early,20260713,2023-01-16,482,0.9999981782410072,30,1.0326804158466985e-06,1.3859811440048375,3.998747286460212,0.0,pass
1,validation_early,20260713,2023-01-17,482,0.9999986872618675,30,1.0159208159166155e-06,1.385981126197641,3.998747209295692,0.0,pass
1,validation_early,20260713,2023-01-18,482,0.9999988212147694,30,1.0094078106703819e-06,1.3859811395530384,3.9987472567815505,0.0,pass
1,validation_early,20260713,2023-01-19,482,0.999998606890182,30,1.0205909575233818e-06,1.385981162801323,3.9987473576889987,0.0,pass
1,validation_early,20260713,2023-01-20,483,0.9999995740077413,30,1.0358731969972723e-06,1.3859811559720563,3.9987473226235273,0.0,pass
1,validation_early,20260713,2023-02-01,483,0.9999987220232244,29,1.0317190799469245e-06,1.38598120360641,3.998747512667322,0.0,pass
1,validation_early,20260713,2023-02-02,483,0.9999981895329013,30,1.018777652461722e-06,1.3859813082539023,3.9987479361934937,0.0,pass
1,validation_early,20260713,2023-02-03,483,0.9999987220232244,30,9.875853947960422e-07,1.3859814015481289,3.998748300978856,0.0,pass
1,validation_early,20260713,2023-02-06,483,0.9999982960309661,30,9.606618505131337e-07,1.3859814388164575,3.998748470784221,0.0,pass
1,validation_early,20260713,2023-02-08,482,0.9999983925655946,30,9.633150739318808e-07,1.3859814974282292,3.9987486892716024,0.0,pass
1,validation_early,20260713,2023-02-09,481,0.9999991373435357,30,1.0077197885038913e-06,1.3859815084512912,3.998748729729603,0.0,pass
1,validation_early,20260713,2023-02-10,482,0.9999984997278883,30,9.94661945696862e-07,1.3859816134223304,3.998749156710518,0.0,pass
1,validation_early,20260713,2023-02-13,482,0.999998606890182,30,1.0203643796558026e-06,1.3859816327134604,3.998749218046418,0.0,pass
1,validation_early,20260713,2023-02-14,483,0.9999986155251598,30,1.013363771562581e-06,1.3859816271325816,3.9987492072656288,0.0,pass
1,validation_early,20260713,2023-02-15,482,0.9999989283770631,30,9.865925676422194e-07,1.3859815679150498,3.9987489840796377,0.0,pass
1,validation_early,20260713,2023-02-16,482,0.9999984997278883,30,9.537636742606992e-07,1.3859815233970578,3.998748796114783,0.0,pass
1,validation_early,20260713,2023-02-17,480,0.9999976128368612,30,9.376591947329871e-07,1.3859814152121543,3.998748361070951,0.0,pass
1,validation_early,20260713,2023-02-20,480,0.999998372388769,30,1.0100903864440625e-06,1.3859813941021761,3.998748275140921,0.0,pass
1,validation_early,20260713,2023-02-21,480,0.9999980468665227,30,1.0120905926669366e-06,1.3859813916186492,3.9987482676903405,0.0,pass
1,validation_early,20260713,2023-02-22,482,0.9999983925655946,30,9.926855000230717e-07,1.3859814138333333,3.998748362806328,0.0,pass
1,validation_early,20260713,2023-02-23,481,0.9999985981832455,30,9.781897460925393e-07,1.3859814209650558,3.9987483852370613,0.0,pass
1,validation_early,20260713,2023-02-24,482,0.9999981782410072,30,9.576990578352707e-07,1.3859813957788143,3.9987482851471645,0.0,pass
1,validation_early,20260713,2023-02-27,481,0.9999985981832455,30,9.533916340842552e-07,1.3859813741239837,3.9987482196823723,0.0,pass
