arm_order,arm_id,model_seed,epoch,audit_role,sample_row_n,zero_output_L_source_rec,zero_output_L_shifted_observed_rec,zero_output_L_forecast,zero_output_L_rec,actual_L_rec,zero_solution_improvement,audit_sample_row_key_sha256
-1,SEALED_V4_R2,20260713,8,sealed_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015002886217018,-0.0016828260148806,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
-1,SEALED_V4_R2,20260714,16,sealed_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015001081469249,-0.0015623302103169,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
-1,SEALED_V4_R2,20260715,3,sealed_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015009378530787,-0.0021162918900088,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
0,D0_R2_RAW_EXACT_REPLAY,20260713,8,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015002886217018,-0.0016828260148806,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
0,D0_R2_RAW_EXACT_REPLAY,20260714,16,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015001081469249,-0.0015623302103169,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
0,D0_R2_RAW_EXACT_REPLAY,20260715,3,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015009378530787,-0.0021162918900088,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260713,16,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.0475563315171821,0.9761619892058186,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260714,31,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.0437958595829395,0.9780469573625256,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
1,D1_R2_RETURN_PATH_CSZ_ONLY,20260715,16,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.0463234254091032,0.9767799937527416,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
2,D2_R2_GRADBAL_ONLY,20260713,8,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.001500096138717,-0.0015543128092312,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
2,D2_R2_GRADBAL_ONLY,20260714,16,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015000540548533,-0.0015262150932913,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
2,D2_R2_GRADBAL_ONLY,20260715,12,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015003521698372,-0.00172525456825,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
3,D3_R2_ST_HARD_ONLY,20260713,8,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015002941847008,-0.0016865402072558,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
3,D3_R2_ST_HARD_ONLY,20260714,16,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015001247422052,-0.001573410216543,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
3,D3_R2_ST_HARD_ONLY,20260715,3,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0015008836806157,-0.002080123098854,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
4,D4_R2_REPAIR_COMBINED_V1,20260713,3,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.2751282948515555,0.8620896302717019,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
4,D4_R2_REPAIR_COMBINED_V1,20260714,8,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.2475299761127345,0.8759235194513073,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
4,D4_R2_REPAIR_COMBINED_V1,20260715,18,learned_selected_checkpoint_train_zero_output,335393,0.9974895122553644,0.9974895122269816,0.9974895121323756,1.9949790243735488,0.2446389186808563,0.8773726862829165,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
5,D5_K2_RAW_NO_RESIDUAL,20260713,8,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0010841766053502,0.2761385574500052,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
5,D5_K2_RAW_NO_RESIDUAL,20260714,15,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0010230126408457,0.3169752950809588,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
5,D5_K2_RAW_NO_RESIDUAL,20260715,25,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0009500804964042,0.3656691767079619,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
6,D6_R1_RAW_MLP_RESIDUAL,20260713,8,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0010879738379203,0.273603296836258,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
6,D6_R1_RAW_MLP_RESIDUAL,20260714,7,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0010991812108572,0.266120581288564,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
6,D6_R1_RAW_MLP_RESIDUAL,20260715,6,learned_selected_checkpoint_train_zero_output,335393,0.0007559499440242,0.00075714094955,0.0007412226917268,0.001497768138514,0.0011047351949601,0.2624124078002361,d1d22a89e6b8096645f1f91b7941f22cd30670aabfbb37d3e388ca324daf6e4e
